CloneID_Original(Stanford_Array)	Symbol	Systemic_name	unigene_new_Rosetta	Average_hypoxia_for_LR_training
395708	DPYSL4	AB006713	Hs.100058	0.007712222
345849	LOX	NM_002317	Hs.102267	-0.036528444
324785	P4HA2	NM_004199	Hs.104772	-0.080604333
75254	CSRP2	NM_001321	Hs.10526	-0.030182333
625875	ERO1L_A	A_Contig57222_RC_NM_014584	Hs.10949	0.019434333
221707	DDIT4	NM_019058	Hs.111244	-0.112184333
1571993	CTSF	NM_003793	Hs.11590	-0.036742667
246851	HIPK1	AB014530	Hs.12259	0.061204444
823691	CCNG2	NM_004354	Hs.13291	-0.147688889
365098	BNIP3L	NM_004331	Hs.132955	-0.053921778
1925587	KIAA1285	AB033111	Hs.145661	0.024234
744923	KIAA0776	AB018319	Hs.149367	-0.031652333
471725	ITPR1_A	A_D26070_NM_002222_Contig36193_RC	Hs.149900	-0.050933704
2308429	PPFIA4	AB020704	Hs.153648	0.018804889
823578	STC2	NM_003714	Hs.155223	-0.134513333
770868	NAB2	NM_005967	Hs.159223	0.003895111
454665	E2-230K	AK000926	Hs.16130	-0.009851111
25389	SLC2A1_A	A_NM_006516_Contig40184	Hs.169902	-0.000875944
195988	OCIA	NM_017830	Hs.170291	0.026798333
469297	BHLHB2	NM_003670	Hs.171825	-0.159549333
841620	DPYSL2	NM_001386	Hs.173381	0.035644111
1416782	CKB	NM_001823	Hs.173724	-0.023756333
204569	HEMGN	NM_018437	Hs.176626	-0.020788778
2310556	DUSP10	AB026436	Hs.177534	0.005920222
1455835	GAL3ST1	NM_004861	Hs.17958	-0.010895
1758259	RAB20	NM_017817	Hs.179791	-0.015320556
2557471	CRABP2	NM_001878	Hs.183650	-0.062171222
46958	SULT4A1	NM_014351	Hs.189810	0.026722667
2322039	PPL_A	A_NM_002705__Contig34999_RC	Hs.192233	-0.061247611
283142	KIAA1244	AB033070	Hs.194408	0.020307444
2562051	RAI3	NM_003979	Hs.194691	-0.022081667
1902764	PFKFB3	NM_004566	Hs.195471	-0.124248333
1566955	KIAA1715	Contig45011_RC	Hs.209561	-0.012446667
220376	TncRNA_A	A_U60873__AA553619_RC	Hs.240443	-0.021934611
135900	ARRDC3	AB037797	Hs.24684	0.054866333
2220269	POU5F1	NM_002701	Hs.249184	-0.004709222
565075	STC1	NM_003155	Hs.25590	-0.113343
841663	NARF_A	A_NM_012336__AL137729	Hs.256526	0.004251389
950682	PFKP	D25328	Hs.26010	-0.289130444
430968	ENPP3	NM_005021	Hs.264750	0.008521778
308026	C6orf55	NM_016485	Hs.267288	0.014184889
897567	LDHA	NM_005566	Hs.2795	-0.018889444
1492276	RNASE4_A	A_NM_002937__NM_001145	Hs.283749	-0.155315778
246620	STRBP	NM_018387	Hs.287659	0.026251333
428377	MGC26694	Contig1115_RC	Hs.303669	0.048131444
856174	PIK3R4	Y08991	Hs.306747	-0.040864222
461769	HLA-DRB5	AF005487	Hs.308026	-0.043901889
49284		A_NM_004112__Contig49632_RC	Hs.31339	0.005884389
234004	WSB1	NM_015626	Hs.315379	-0.071082111
1917716	NDRG1_A	A_NM_006096__Contig27182_RC	Hs.318567	-0.139158
204660	RTTN	AL117635	Hs.31931	0.016536667
377452	JMJD1A_A	A_NM_018433__AB018285	Hs.321707	0.003907667
136919	CCL28	NM_019846	Hs.334633	0.019835333
52422	SLC1A6	NM_005071	Hs.337391	-0.006942333
711698	BRCA2	NM_000059	Hs.34012	0.009552
504421	ADFP	NM_001122	Hs.3416	-0.052240222
1630936	EXOSC4	NM_019037	Hs.343589	0.027687444
383098	PRODH_A	A_NM_016335__NM_005974	Hs.343874	0.008122167
269425	ZFHX1B_A	A_NM_014795__AF161345	Hs.34871	0.019236889
366815	SOX4	NM_003107	Hs.357901	0.052440111
45512	LOC283666	AA608991_RC	Hs.359394	0.020381
882434	KIAA0779_A	A_Contig46050__Contig52501_RC__Contig63482_RC__AB018322	Hs.362996	0.013280917
162310	PMP22	NM_000304	Hs.372031	-0.03636
219949		Contig44269_RC	Hs.37648	0.051391111
2449679	PLXNB3_A	A_NM_005393__AB033032	Hs.380742	0.024292333
431280		Contig56534_RC	Hs.381220	0.084006
45632	GYS1	NM_002103	Hs.386225	0.039306444
502151	SLC16A3	NM_004207	Hs.386678	-0.094768667
488505	SLC6A8	NM_005629	Hs.388375	-0.067267556
809569	WASPIP_A	A_NM_003387__Contig46778_RC	Hs.401414	0.012879611
487371	FBXO32_A	A_Contig56270_RC__Contig57076_RC__Contig50592	Hs.403933	-0.125716148
595318	SLC6A3	NM_001044	Hs.406	-0.005626889
1637282	HK2	NM_000189	Hs.406266	0.067564444
