Accession ID	Gene name	Fold change	P
N62394	Gap junction protein, beta 1, 32kD	6.5	0.0047
H59861	Thrombomodulin (THBD)	6.4	0.035
AA775872	Glypican 3	4.2	0.03
AA148737	Syndecan 4 (amphiglycan, ryudocan)	4.1	0.0062
R10382	Serine (or cysteine) proteinase inhibitor, clade A, member 5	4.1	0.022
AA431347	GATA-binding protein 4	3.9	0.0017
H77652	GATA-binding protein 6	3.9	0.0036
AA858026	Serine (or cysteine) proteinase inhibitor, clade A, member 5	3.9	0.023
N26536	ATPase, Cu++ transporting, beta polypeptide	3.2	0.0023
N38992	GATA-binding protein 4	3.1	0.0066
N53172	G protein-coupled receptor	3.1	0.0058
AA457700	Stearoyl-CoA desaturase	3	0.0044
AA452840	Fibulin 2	2.9	0.012
AA001614	Insulin receptor	2.8	0.018
AA487149	Numb (Drosophila) homolog	2.8	0.0088
R02036	KIAA1543 protein	2.7	0.037
AA406266	Hypothetical protein FLJ23309	2.2	0.017
AA490216	CK2 interacting protein 1; HQ0024c protein	-2.4	0.018
AA701933	CUG triplet repeat, RNA-binding protein 2	-2.4	0.029
AA459394	LIS1-interacting protein NUDE1, rat homolog	-2.6	0.05
AA863383	pim-2 oncogene	-2.7	0.036
N39240	Homo sapiens cDNA FLJ11918 fis, clone HEMBB1000272	-3.1	0.0034
AA455925	Four and a half LIM domains 1	-3.1	0.019
AA047478	Coronin, actin-binding protein, 1A	-3.5	0.022
AA157813	Interferon, alpha inducible protein 27	-3.6	0.0096
R06438	Homo sapiens cDNA: FLJ22300 fis, clone HRC04759	-3.7	0.0036
H73590	IMMUNOGLOBULIN HEAVY CHAIN-RELATED	-4	0.0086
T67053	Immunoglobulin lambda-like polypeptide 1	-6.6	0.0091
AA663981	Immunoglobulin heavy constant gamma 3	-6.9	0.046
AA488070	Immunoglobulin kappa constant	-7.4	0.026
N92646	Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	-7.4	0.033
