Gene symbol	Gene/protein identity	Chromosome location
CYP11A	Cytochrome P450 scc; cholesterol side-chain cleavage enzyme	15q24.1
CYP11B1	Steroid 11beta-hydroxylase; cytochrome P450 11beta	8q21
CYP17	Steroid 17alpha-hydroxylase; cytochrome P450 17 alpha	10q24.3
CYP21A2	Cytochrome P450 c21; steroid 21-hydroxylase	6p21.1
HSD3B1	3beta-Hydroxysteroid dehydrogenase/delta-5 isomerase type 1	1q21.2
STAR	Steroidogenic acute regulatory protein	8p11.2
INHA	Inhibin alpha-subunit	2q33-q36
CREM	cAMP-responsive element modulator	10p12.1-p11.2
RB1	Retinoblastoma protein-1	13q14.1-q14.2
PPM1A	Protein phosphatase 1A, magnesium-dependent; protein phosphatase 2C alpha	11q23.1
NME1	Nonmetastatic protein 23 (NM23); nucleoside diphosphate kinase A	17q21.3
S100B	S100 calcium-binding protein B	21q22.3
TGFbetaR3	TGFbeta receptor III; betaglycan	1p22.1
GPC3	Glypican 3	Xq26
