Fisher ratio	Accession number	Abbreviation	Locus	p53 binding site	Function
3.85	X13973	RNH	11p15.5	-710 to -687, -697 to -675	Inhibition of angiogenesis
3.69	U05659	HSD17B3	9q22	-2673 to -2647	Metabolism
3.6	M97287	SATB1	3p23	-1324 to -1301	Immune response
3.29	X60592	TNFRSF5	20q12^q13.2	-1133 to -1106, -318 to -297, -318 to -287	Immune response/cell cycle arrest
3.15	M37457	ATP1A3	19q13.2	ND	Molecular transport
3.11	L76224	GRIN2C	17q25	-927 to -894	Signal transduction
3	Y11897	CHIC1	Xq13^q21	absent	Unknown
2.98	M37245	CTLA4	2q33	-2742 to -2719, -2413 to -2387	Immune response
2.97	M60284	TACR2	10q11^q21	-2980 to -2958, -2793 to -2760, -871 to -842, -716 to -683	Signal transduction
2.78	X12433	ABHD2	15q26	-2833 to -2800, -2422 to -2398, -1433 to -1403	Unknown
2.78	Y08265	CHERP	19p13.1	-2275 to -2255	Neurogenesis
2.53	HG2238-HT2321	NUMA1	11q13	-2813 to -2793, -2803 to -2771	Apoptosis
2.51	Z14000	RING1	6p21.3	absent	Transcription
2.45	M37755	PSG1	19q13.2	absent	Immune response
2.44	X85785	FY	1q21-q22	absent	Signal transduction
2.37	L10338	SCN1B	19q13.1	-1580 to -1557	Molecular transport
2.36	U03642	AGTRL1	11q12	-2388 to -2364, -1987 to -1958, -727 to -700	Signal transduction
2.31	HG2566-HT4867	MAPT	17q21.1	-2874 to -2854, -1379 to -1350	Cell motility/microtubule assembly
2.28	L18983	PTPRN	2q35^q36.1	-585 to -563, -521 to -499	Miscellaneous
2.27	X54870	D12S2489E	12p13.2-p12.3	-2694 to -2664	Immune response
2.24	X99325	STK25	2q37.3	-2667 to -2643, -2667 to -2635	Apoptosis
2.24	D87465	KIAA0275	10pter-q25.3	-2137 to -2116	Unknown
2.17	X52943	ATF7	12q13	absent	Transcription
2.14	U24056	KCNJ4	22q13.1	ND	Molecular transport
2.13	HG3162-HT3339	GTF2A1	14q31.1	-1470 to -1440	Transcription
