Spot ID	I.M.A.G.E. Clone ID	UniGene Cluster	Symbol	Name
296529	296529	In multiple clusters
731356	731356	Hs.140452	M6PRBP1	mannose-6-phosphate receptor binding protein 1
840942	840942	Hs.368409	HLA-DPB1	major histocompatibility complex, class II, DP beta 1
142122	142122	Hs.115912	AFAP	actin filament associated protein
1891918	1891918	Hs.90073	CSE1L	CSE1 chromosome segregation 1-like (yeast)
1323432	1323432	Hs.303154	IDS	iduronate 2-sulfatase (Hunter syndrome)
788566	788566	Hs.80296	PCP4	Purkinje cell protein 4
591281	591281	Hs.80680	MVP	major vault protein
815530	815530	Hs.172813	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7
825312	825312	Hs.246310	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
784830	784830	Hs.412842	C10orf7	chromosome 10 open reading frame 7
840878	840878	Hs.75616	DHCR24	24-dehydrocholesterol reductase
669443	669443	Hs.158195	HSF2	heat shock transcription factor 2
2485436	2485436	Data not found
82903	82903	Hs.370937	TAPBP	TAP binding protein (tapasin)
771258	771258	Hs.85258	CD8A	CD8 antigen, alpha polypeptide (p32)
85128	85128	Hs.8986	C1QB	complement component 1, q subcomponent, beta polypeptide
41929	41929	Hs.39252	PICALM	phosphatidylinositol binding clathrin assembly protein
148469	148469	Hs.9963	TYROBP	TYRO protein tyrosine kinase binding protein
415145	415145	Hs.1376	HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2
810017	810017	Hs.179657	PLAUR	plasminogen activator, urokinase receptor
770859	770859	Hs.149846	ITGB5	integrin, beta 5
839682	839682	Hs.458359	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)
487373	487373	Hs.80986	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1
786607	786607	Hs.95243	TCEAL1	transcription elongation factor A (SII)-like 1
772111	772111	Hs.287460	PDZK3	PDZ domain containing 3
130156	130156	Hs.372446	AKAP10	A kinase (PRKA) anchor protein 10
	139009	Hs.418138	FN1	fibronectin 1
41406	41406	Hs.348802	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
823900	823900	Hs.410715	CENTB2	centaurin, beta 2
739183	739183	Data not found
291216	291216	Hs.82794	CETN2	centrin, EF-hand protein, 2
685371	685371	Hs.423348	MEN1	multiple endocrine neoplasia I
878545	878545	Hs.409634	RPL18	ribosomal protein L18
1461664	1461664	Hs.422857	BCHE	butyrylcholinesterase
128783	128783	Hs.407477	PEX13	peroxisome biogenesis factor 13
110788	110788	Hs.56729	LSP1	lymphocyte-specific protein 1
413733	413733	Hs.446641	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)
853988	853988	Hs.108104	UBE2L3	ubiquitin-conjugating enzyme E2L 3
825451	825451	Hs.325948	VDP	vesicle docking protein p115
809421	809421	Hs.3192	PCBD	6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)
825726	825726	Hs.111749	PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)
42627	42627	Hs.21016	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)
