Chromosome	Gene	Affy	weights
1	NA	225934_at	0.945
1	NA	213114_at	1.15
1	UROD	208970_s_at	1.66
1	NA	239982_at	1.49
1	NA	230433_at	0.987
1	NA	229798_s_at	0.783
1	SLAMF	1553770_a_at	1.09
1	NA	1561530_at	2.64
2	NA	226765_at	1.11
2	LOC	231698_at	1.06
2	IFIH	216020_at	2.7
2	Corf	215767_at	1.17
3	MAP	200835_s_at	1.47
3	PTKL	202009_at	2.64
4	Corf	214123_s_at	1.46
4	LOC	226697_at	0.957
5	PDLIM	218691_s_at	0.862
5	SRA	224864_at	1.42
5	DKFZpC	231987_at	1.97
5	RGS	38290_at	1.39
5	MGAT	232690_at	1.8
6	NA	239903_at	1.07
7	GNA	231309_at	2.03
7	NA	209972_s_at	0.776
7	HSPC	220692_at	0.959
7	MKLN	242984_at	2.09
7	BPGM	238724_at	0.949
7	PRR	1554096_a_at	1.04
10	LOC	226802_s_at	1.28
12	PTK	214008_at	1.52
12	IKIP	236249_at	1.05
13	NA	221995_s_at	0.839
13	NA	228913_at	1.36
14	MRPL	221997_s_at	0.744
14	ARG	203945_at	0.96
14	NA	230790_x_at	0.767
14	CINP	217598_at	1.3
15	TMED	208837_at	1.21
16	Corf	218945_at	1.54
16	CDBP	202257_s_at	1.42
16	SLCAOS	232057_at	1.17
17	NA	233466_at	1.74
17	SLCA	213522_s_at	0.872
19	FLJ	232730_at	2.09
19	IL	206924_at	0.722
20	PANK	228966_at	2.02
20	NA	228309_at	0.805
20	NTSR	207360_s_at	1.47
20	SLCARG	227362_at	1.78
21	UAF	242499_at	1.57
22	TXNRD	211177_s_at	0.79
22	Corf	235396_at	1.45
22	GASL	209729_at	1.1
22	NA	1568623_a_at	1.25
22	Corf	202027_at	1.29
22	TOMM	229076_s_at	1.79
22	MAPK	211499_s_at	1.77
22	NA	213383_at	2.2
