Cluster	Probe set ID	Gene Description	Fold increase over underexposed 6h	Fold increase over underexposed 18h	Fold increase over underexposed 90h	Response in
3	98111_at	Heat shock protein, 105 kDa	1.75	2.29	2.16	Stress response
9	103670_at	Cytochrome P450, 2a12	1.08	5	1.02	Stress response
11	103957_at	Transferrin receptor	2.96	4.91	2.55	Stress response
11	95722_at	Glutaredoxin 1 (thioltransferase)	1.79	2.27	1.58	Stress response
15	102049_at	Pyruvate dehydrogenase kinase, isoenzyme 4	5.98	1.43	1.32	Stress response
15	93974_at	Gene 33/mig-6	4.85	2.33	1.24	Stress response
15	160101_at	Heme oxygenase (decycling) 1	6.07	1.68	1.02	Stress response
15	99649_at	Glutamate-cysteine ligase, catalytic subunit	7.59	2.6	1.32	Stress response
15	99985_at	Thioredoxin reductase 1	5.74	2.14	1.14	Stress response
16	97890_at	Serum/glucocorticoid regulated kinase	2.53	1.32	1.4	Stress response
16	104155_f_at	Activating transcription factor 3	6.59	2.26	2.21	Stress response
18	160646_at	Glutathione reductase 1	2.99	2.42	1.74	Stress response
18	93875_at	Heat shock protein, 70 kDa 3	8.54	7.74	2.56	Stress response
18	100946_at	Heat shock protein, 70 kDa 1	6.8	5.95	2.31	Stress response
18	160115_at	Thioredoxin-like (32kD)	2.13	2.06	1.4	Stress response
19	93573_at	Metallothionein 1	10.6	4.2	1.24	Stress response
19	101561_at	Metallothionein 2	14.57	6.68	0.98	Stress response
19	160335_at	Glutamate-cysteine ligase, modifier subunit	4.38	2.49	1.15	Stress response
19	102663_at	Urokinase plasminogen activator receptor	4.39	2.43	1.01	Stress response
19	93211_at	DnaJ (Hsp40) homolog, subfamily C, member 5	2.28	1.5	1.43	Stress response
19	96679_at	DnaJ (Hsp40) homolog, subfamily B, member 9	2.76	1.62	1.08	Stress response
19	97689_at	Tissue factor	5.31	3.55	0.62	Stress response
19	102798_at	Adrenomedullin	9.23	4.01	3.15	Stress response
19	160139_at	Heat shock 27 kDa protein 8	4.08	2.62	1.37	Stress response
40	100729_at	Ribosomal protein L26	0.93	1	4.53	Stress response
40	161511_f_at	Interferon alpha inducible protein (Isg15)	0.77	1.39	2.89	Stress response
2	102955_at	Nuclear factor, interleukin 3, regulated	5.84	7.22	6.58	Growth arrest/apoptosis
9	160564_at	Lipocalin 2	2.03	6.36	1.68	Growth arrest/apoptosis
15	94881_at	Cyclin-dependent kinase inhibitor 1A (P21)	6.8	2.65	2.12	Growth arrest/apoptosis
15	102921_s_at	Fas (Tnfrsf6)	5.81	2.14	1.77	Growth arrest/apoptosis
15	103460_at	HIF1-responsive RTP801	4.1	1.83	1.41	Growth arrest/apoptosis
15	102292_at	Growth arrest and DNA-damage-inducible 45 alpha	4.55	1.9	1.42	Growth arrest/apoptosis
15	99027_at	Bcl2-like (Bcl-x)	2.02	1.23	1	Growth arrest/apoptosis
18	98473_at	Arginase type II	5.25	3.44	2.31	Growth arrest/apoptosis
19	101437_at	Serine/threonine kinase 2	2.08	1.39	1.29	Growth arrest/apoptosis
19	101979_at	Growth arrest and DNA-damage-inducible 45 gamma	4.47	2.76	1.16	Growth arrest/apoptosis
19	96119_s_at	Angiopoietin-like 4	4.2	2.93	1.42	Growth arrest/apoptosis
19	96704_at	14-3-3 sigma	13.32	7	2.54	Growth arrest/apoptosis
40	102064_at	Caspase 1	0.99	0.85	3.29	Growth arrest/apoptosis
40	101521_at	Survivin	1.06	0.97	17.19	Growth arrest/apoptosis
40	95286_at	Clusterin	1.02	1.3	1.98	Growth arrest/apoptosis
1	99032_at	RAS, dexamethasone-induced 1	53.97	36.71	37.77	Signal transduction
9	101254_at	RAN, member RAS oncogene family	1.17	2.05	1.39	Signal transduction
9	99497_at	ADP-ribosylation factor interacting protein	1.45	3.68	1.74	Signal transduction
10	92232_at	Cytokine inducible SH2-containing protein 3	3.03	4	1.44	Signal transduction
15	93315_at	Mitogen activated protein kinase kinase 3	2.18	1.25	1.13	Signal transduction
15	103839_at	Sphingosine kinase 1	8.74	2.69	1.27	Signal transduction
15	98508_s_at	Phosphatidic acid phosphatase 2a	2.22	1.22	0.88	Signal transduction
15	101554_at	IkB alpha	2.18	1.28	0.96	Signal transduction
15	92276_at	Mitogen-activated protein kinase kinase kinase 6	6.35	2.09	0.73	Signal transduction
16	94489_at	Protein tyrosine phosphatase 4a1	2.18	1.36	1.4	Signal transduction
19	97991_at	Kirsten rat sarcoma oncogene 2, expressed	2.31	1.61	1.35	Signal transduction
19	101995_at	Sequestosome 1	2.29	1.75	0.96	Signal transduction
2	160901_at	Fos	3.18	2.18	2.57	Transcription factor
10	102362_i_at	Jun-B oncogene	2.42	2.57	1.41	Transcription factor
15	99835_at	Fos-like antigen 1	11.7	3.91	1.57	Transcription factor
18	98579_at	Early growth response 1	3.23	2.43	1.68	Transcription factor
18	160894_at	CCAAT/enhancer binding protein (C/EBP), delta	3.32	2.81	1.24	Transcription factor
19	98083_at	Core promoter element binding protein	2.53	1.55	1.29	Transcription factor
19	100599_at	Activating transcription factor 4	2.34	1.68	1.24	Transcription factor
19	160092_at	Interferon-related developmental regulator 1	4.25	2.37	1.3	Transcription factor
10	102048_at	Cardiac responsive adriamycin protein	2.91	4.09	0.77	Muscle-specific
15	92541_at	Myosin light chain, alkali, fast skeletal muscle	4.54	0.96	0.66	Muscle-specific
15	94133_r_at	Myocyte enhancer factor 2A	8.91	2.93	2.12	Muscle-specific
19	100381_at	Actin, alpha 1, skeletal muscle	91.03	59.81	0.26	Muscle-specific
19	92885_at	Troponin T3, skeletal, fast	3.45	2	0.8	Muscle-specific
19	98308_at	Myosin, heavy polypeptide 1, skeletal muscle, adult	10.79	5.07	0.18	Muscle-specific
39	160522_at	PTZ17 Proteinase/antiproteinase	0.55	0.44	2.26	Muscle-specific
4	92331_at	Membrane metallo endopeptidase (neprilysin)	2.3	1.99	2.82	Muscle-specific
7	100581_at	Cystatin B	1.09	2.27	1.64	Muscle-specific
9	94841_at	Proteasome (prosome, macropain) subunit, alpha type 5	1.51	2.83	1.32	Muscle-specific
9	94025_at	Proteasome (prosome, macropain) subunit, beta type 3	1.33	2.81	1.35	Muscle-specific
9	101464_at	Tissue inhibitor of metalloproteinase 1	1.2	4.39	1.16	Muscle-specific
9	92858_at	Secretory leukocyte protease inhibitor	1.95	4.18	2.02	Muscle-specific
10	104374_at	Serine proteinase inhibitor, clade A, member 3N	3.02	4.6	0.99	Muscle-specific
10	95448_at	Proteasome (prosome, macropain) 26S subunit, ATPase 2	1.93	2.22	1.24	Proteinase/antiproteinase
10	92769_at	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	1.65	2.17	1.22	Proteinase/antiproteinase
11	94834_at	Cathepsin H	1.74	2.63	1.8	Proteinase/antiproteinase
17	102707_f_at	Serine proteinase inhibitor, clade A, member 3C	2.91	2.15	0.66	Proteinase/antiproteinase
18	94796_at	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	2.11	1.74	1.27	Proteinase/antiproteinase
19	94147_at	Plasminogen activator inhibitor, type I	4.83	3.19	1.21	Proteinase/antiproteinase
40	101020_at	Cathepsin C	0.91	1.39	2.05	Proteinase/antiproteinase
40	160406_at	Cathepsin K	1.21	1.95	3.52	Proteinase/antiproteinase
40	98543_at	Cathepsin S	0.67	0.74	2.16	Proteinase/antiproteinase
9	100109_s_at	Keratin complex 1, acidic, gene 13	4.35	15.34	3.61	Cytoskeleton
10	92550_at	Keratin complex 1, acidic, gene 19	1.66	2.32	1.32	Cytoskeleton
10	101009_at	Keratin complex 2, basic, gene 8	2.14	2.35	1.2	Cytoskeleton
10	94835_f_at	Tubulin, beta 2	1.92	2.2	1.21	Cytoskeleton
18	94270_at	Keratin complex 1, acidic, gene 18	2.83	2.83	1.38	Cytoskeleton
18	94036_at	CDC42 effector protein (Rho GTPase binding) 4	2.17	1.97	0.99	Cytoskeleton
7	101993_at	Tenascin C	1.43	5.59	2.98	Extracellular matrix
8	100308_at	Procollagen, type VIII, alpha 1	0.7	2.43	1.12	Extracellular matrix
15	160095_at	Lysyl oxidase	3.17	1.41	1.16	Extracellular matrix
16	162188_f_at	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide	2.15	1.18	1.56	Extracellular matrix
18	160469_at	Thrombospondin 1	4.07	3.11	1.62	Extracellular matrix
18	92777_at	Cysteine rich protein 61	2.87	2.16	1.58	Extracellular matrix
19	93294_at	Connective tissue growth factor	2.4	1.62	1.02	Extracellular matrix
40	92836_at	Elastin	1.23	1.21	2.49	Extracellular matrix
40	102990_at	Procollagen, type III, alpha 1 Inflammation	0.79	0.92	2.12	Extracellular matrix
6	94761_at	Chemokine (C-C motif) ligand 7	1.11	2.55	0.68	Extracellular matrix
9	96953_at	Chemokine (C-X-C motif) ligand 14	1.12	2.29	1.15	Extracellular matrix
9	104406_at	Prostaglandin E synthase	1.65	3.54	1.43	Extracellular matrix
10	97420_at	Leucine-rich alpha-2-glycoprotein	3.31	7.41	1.82	Extracellular matrix
10	97783_at	Chemokine (C-C motif) ligand 17	2.53	4.99	0.98	Extracellular matrix
10	102736_at	Chemokine (C-C motif) ligand 2	59.37	122.28	14.36	Extracellular matrix
10	95348_at	Chemokine (C-X-C motif) ligand 1	1.75	2.21	0.94	Extracellular matrix
16	94137_at	Chemokine (C-X-C) receptor 2	5.93	1.18	1.77	Extracellular matrix
19	93430_at	Chemokine orphan receptor 1	3.63	1.84	1.74	Inflammation
19	102021_at	Interleukin 4 receptor, alpha	3.12	2.18	1.45	Inflammation
33	99387_at	Formyl peptide receptor 1	0.9	2.17	1.91	Inflammation
39	99071_at	Macrophage expressed gene 1	0.53	0.81	2.02	Inflammation
40	92694_at	Chitinase 3-like 3	1.06	0.92	2.39	Inflammation
40	102353_at	Integrin beta 2	0.7	1.03	2.39	Inflammation
40	92849_at	Chemokine (C-C motif) ligand 6	1.1	1.65	3.57	Inflammation
40	104388_at	Chemokine (C-C motif) ligand 9	0.63	1.21	2.11	Inflammation
40	98500_at	Interleukin 1 receptor-like 1	0.71	0.95	3.65	Inflammation
3	104142_at	Cyclin E2	1.18	2.05	1.91	Regulation of cell proliferation
15	101900_at	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	2.18	1.31	1.01	Regulation of cell proliferation
15	160359_at	Rgc-32	2.62	1.23	0.69	Regulation of cell proliferation
18	99915_at	Amphiregulin	6.25	5.82	3.36	Regulation of cell proliferation
19	104712_at	Myc	15.97	9.66	2.57	Regulation of cell proliferation
40	99578_at	Topoisomerase (DNA) II alpha	1.59	2.11	6.45	Regulation of cell proliferation
40	94294_at	Cyclin B2	0.9	0.82	2.71	Regulation of cell proliferation
40	100128_at	Cell division cycle 2 homolog A (S. pombe)	0.76	0.88	3.7	Regulation of cell proliferation
40	104097_at	Budding uninhibited by benzimidazoles 1 homolog	2.26	1.98	4.12	Regulation of cell proliferation
40	97527_at	CDC28 protein kinase regulatory subunit 2	0.83	1.15	3.85	Regulation of cell proliferation
40	99457_at	Antigen identified by monoclonal antibody Ki 67	0.94	0.9	3.38	Regulation of cell proliferation
