Gene bank Accession No	Name	Chromosomal Localization	Ratio of ACC-M/ACC-2
U05861	hepatic dihydrodiol dehydrogenase	10p15-p14	5.91
D17793	KIAA0119	10p15-p14	6.47
AB007870	KIAA0410	13q12.13	3.63
X16901	RAP30 subunit	13q14	3.18
U09848	zinc finger protein LNF139	7q21.3-q22.1	4.53
X84003	TAF1118	1p13.1	3.4
D90282	carbamyl phosphate synthetase I	2q35	3.4
U40490	nicotinamide nucleotide transhydrogenase	5p13.1-5cen	4.25
D84488	small GTP-binding protein	1q32	3.05
D14533	XPAC protein	9q22.3	3.12
X60221	H+-ATP synthase subunit b	1p13.2	3.12
A1436789	EST		3.13
W05842	EST		3.18
AA186737	EST		3.05
N6482	EST		4.36
A1254779	EST		3.5
AA582554	EST		3.4
AA478034	EST		3.1
