Gene Name	Accession No	Gene Symbol
Solute carrier family 7, member 5	NM_003486	SLC7A5
Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	X56468	YWHAQ
Eukaryotic translation initiation factor 1	NM_005801	EIF1
Kruppel-like factor 9	NM_001206	KLF9
Tyrosine kinase, non-receptor, 2	L13738	TNK2
Mortality factor 4 like 2	NM_012286	MORF4L2
Eukaryotic translation termination factor 1	NM_004730	ETF1
Prolyl endopeptidase	NM_002726	PREP
B-cell translocation gene 1, anti-proliferative	NM_001731	BTG1
Brain abundant, membrane attached signal protein 1	NM_006317	BASP1
BAI1-associated protein 2	NM_006340	BAIAP2
CUG triplet repeat, RNA binding protein 1	NM_001025596	CUGBP1
V-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	NM_021975	RELA
DnaJ (Hsp40) homolog	NM_005494	DNAJB6
Tara-like protein	NM_007032	HRIHFB2122
Nuclear factor of kappa B2 (p49/p100)	U20816	NFKB2
Macrophage erythroblast attacher	NM_001017405	MAEA
Cell division cycle 2-like 2 (PITSLRE proteins)	AL031282	CDC2L2
ATPase, Ca++ transporting, plasma membrane 4	NM_001001396	ATP2B4
Heterogeneous nuclear ribonucleoprotein A3	NM_194247	HNRPA3
Interferon gamma receptor 2	NM_005534	IFNGR2
Plastin 3 (T isoform)	NM_005032	PLS3
TNF receptor-associated factor 1	U19261	TRAF1
Basic helix-loop-helix domain containing, class B, 2	NM_003670	BHLHB2
Hemoglobin, delta	NM_000519	HBD
Metallothionein 1B	M13485	MT1B
Activating transcription factor 3	L19871	ATF3
DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	NM_006386	DDX17
Actinin, alpha 1	NM_001102	ACTN1
ADP-ribosylation factor 6	NM_001663	ARF6
V-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	M83221	RELB
