Coordinates on nylon array	GenBank accession no.	Gene name	Expression	Cell regulation
E3f	L16785	NM23-H2; protein expressed in nonmetastatic cells 2	Up-Regulated	Parental (2008)
E3g	Y07604	NM23-H4; protein expressed in nonmetastatic cells 4	Up-Regulated	Parental (2008)
F3J	M62829	Early growth response 1; EGR1	Up-Regulated	Parental (2008)
A2h	L33264	Cyclin-dependent kinase (CDC2-like) 10	Up-Regulated	Taxol-resistant (2008/13/4)
A3g	L27211	Cyclin-dependent kinase inhibitor 2A; melanoma, p16, inhibits cyclin-dependent kinase 4	Up-Regulated	Taxol-resistant (2008/13/4)
C7l	M24857	RAR- 	Up-Regulated	Taxol-resistant (2008/13/4)
D4a	X74295	Integrin,  7	Up-Regulated	Taxol-resistant (2008/13/4)
D4g	X53587	Integrin  4	Up-Regulated	Taxol-resistant (2008/13/4)
E2n	X13916	Low density lipoprotein-related protein 1 ( -2-macroglobulin receptor)	Up-Regulated	Taxol-resistant (2008/13/4)
E4e	M64595	Ras-related C3 botulinum toxin substrate 2 (rho family, small GTP-binding protein Rac2)	Up-Regulated	Taxol-resistant (2008/13/4)
