Gene Symbol	Affymetrix Probe Set ID	Transcript ID	GeneBank ID	Gene Name
DUSP3	201536_at	Hs.181046	AL048503	dual specificity phosphatase 3
---	202377_at	Hs.23581	AW026535	---
CCND1	208712_at	g179364	M73554	cyclin D1
PDZD2	209493_at	g12751451	AF338650	PDZ domain containing 2
POLE3	208828_at	g13278800	BC004170	polymerase (DNA directed), epsilon 3 (p17 subunit)
TFDP1	212330_at	Hs.79353	R60866	transcription factor Dp-1
PLCB4	203896_s_at	g4505866	AL535113	phospholipase C, beta 4
MAP3K9	213927_at	Hs.170267	AV753204	mitogen-activated protein kinase kinase kinase 9
ITGA3	201474_s_at	g4504746	NM_002204	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)
RUVBL1	201614_s_at	g4506752	NM_003707	RuvB-like 1 (E. coli)
MTHFD2	201761_at	g13699869	NM_006636	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
TFDP1	204147_s_at	g6005899	NM_007111	transcription factor Dp-1
DIMT1L	204405_x_at	g7657197	NM_014473	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)
DFFB	206752_s_at	g4758149	NM_004402	DNA fragmentation factor, 40kDa, betapolypeptide (caspase-activated DNase)
CCND1	208711_s_at	g12652656	BC000076	cyclin D1
ANP32B	201306_s_at	g5454087	NM_006401	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
---	210524_x_at	g6683748	AF078844	---
NDST1	202607_at	Hs.20894	AL526632	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
FEN1	204767_s_at	g12653112	BC000323	flap structure-specific endonuclease 1
HNRNPR	208766_s_at	g12655184	BC001449	heterogeneous nuclear ribonucleoprotein R
RBM10	208984_x_at	g13278827	BC004181	RNA binding motif protein 10
WWC1	213085_s_at	Hs.21543	AB020676	WW and C2 domain containing 1
NUP188	212691_at	Hs.30002	AW131863	nucleoporin 188kDa
GNG11	204115_at	g4758447	NM_004126	guanine nucleotide binding protein (G protein), gamma 11
UGCG	204881_s_at	g4507810	NM_003358	UDP-glucose ceramide glucosyltransferase
