Region	Location	Snp BaseStart	Snp BaseEnd	Average Copy Difference	geneName	gene-ID
1	18q21.31-18q22.3	53038342	55867503	1.87	st8sia3	51046
1	18q21.31-18q22.3	53038342	55867503	1.87	onecut2	9480
1	18q21.31-18q22.3	53038342	55867503	1.87	fech	2235
1	18q21.31-18q22.3	53038342	55867503	1.87	nars	4677
1	18q21.31-18q22.3	53038342	55867503	1.87	atp8b1	5205
1	18q21.31-18q22.3	53038342	55867503	1.87	nedd4l	23327
1	18q21.31-18q22.3	53038342	55867503	1.87	alpk2	115701
1	18q21.31-18q22.3	53038342	55867503	1.87	malt1	10892
1	18q21.31-18q22.3	53038342	55867503	1.87	znf532	55205
1	18q21.31-18q22.3	53038342	55867503	1.87	sec11l3	90701
1	18q21.31-18q22.3	53038342	55867503	1.87	grp	2922
1	18q21.31-18q22.3	53038342	55867503	1.87	rax	30062
1	18q21.31-18q22.3	53038342	55867503	1.87	cplx4	339302
1	18q21.31-18q22.3	53038342	55867503	1.87	lman1	3998
1	18q21.31-18q22.3	53038342	55867503	1.87	ccbe1	147372
1	18q21.31-18q22.3	53038342	55867503	1.87	pmaip1	5366
1	18q21.31-18q22.3	53038342	55867503	1.87	sdccag3l	388478
1	18	58123032	59127173	1.87	zcchc2	54877
1	18	58123032	59127173	1.87	c18orf49	400653
1	18	58123032	59127173	1.87	phlpp	23239
1	18	58123032	59127173	1.87	bcl2	596
1	18	61377445	65596209	1.87	cdh7	1005
1	18	61377445	65596209	1.87	dok6	220164
1	18	61377445	65596209	1.87	c18orf51	125704
1	18	66626547	70522817	1.87	cndp2	55748
1	18	66626547	70522817	1.87	cndp1	84735
2	19q13.42	59479230	59760823	0.93	lilra3	11026
2	19q13.42	59479230	59760823	0.93	lilra5	353514
2	19q13.42	59479230	59760823	0.93	lilra4	23547
2	19q13.42	59479230	59760823	0.93	lair1	3903
2	19q13.42	59479230	59760823	0.93	ttyh1	57348
2	19q13.42	59479230	59760823	0.93	leng8	114823
2	19q13.42	59479230	59760823	0.93	leng9	94059
2	19q13.42	59479230	59760823	0.93	cdc42ep5	148170
2	19q13.42	59479230	59760823	0.93	lair2	3904
2	19q13.42	59479230	59760823	0.93	flj00060	90011
