No. of clones	% of dataset	Description	GenBank accession no.
69	10.6	Ym1/ECF-L	BAA13458
13	1.99	FIZZ1/RELM-alpha	NP_065255
9	1.38	Cytoskeletal gamma-actin	NP_033739
8	1.23	Arginase 1	NP_031508
7	1.07	Cytochrome oxidase subunit 1	AB042432
7	1.07	EF-1-ALPHA-1/EF-TU	P20001
7	1.07	Serum amyloid A3	NP_035445
4	0.61	Sp-alpha	AF018269
3	0.46	B(2)-microglobulin	M84367
3	0.46	Fibronectin	P11276
3	0.46	40 kDprotein	1405340A
3	0.46	ATP synthase F0 subunit 6	NP_008113
3	0.46	C4 complement	M11789
3	0.46	acidic ribosomal phosphoprotein PO	NP_031501
3	0.46	Fc gamma receptor III	AF197930
