Gene name	Fold	GenBank accession number	RIKEN ID	Regulated
Keratin complex 2, basic, gene 8	0.25	AV074436	2210009D21	Downregulated genes
Ribosomal protein S24	0.33	AV060062	1.81E+22	Downregulated genes
Phosphoenolpyruvate carboxykinase 1, cytosolic	0.38	AV065203	2010013P13	Downregulated genes
Small proline-rich protein 1A	0.39	AV085389	2310011K12	Downregulated genes
Ferritin light chain 1	0.39	AV029790	1500006O17	Downregulated genes
Basigin	0.4	AV104097	2510002N16	Downregulated genes
Tubulin, alpha1	0.4	AV036419	1.60E+17	Downregulated genes
Retina and anterior neural fold homeobox	0.41	AV311625	5.73E+10	Downregulated genes
Stearoyl-coenzyme A desaturase 1	0.42	AV006099	1020006A05	Downregulated genes
Small inducible cytokine A8	0.42	AK007942	1810063B20	Downregulated genes
Homolog to PNAS-110	0.43	AK013934	3110001B11	Downregulated genes
Homolog to leucine-rich alpha-2-glycoprotein	0.43	AK009555	2.31E+10	Downregulated genes
Adaptor protein complex AP-1, mu 2 subunit	0.43	AV093553	2400003B20	Downregulated genes
Expressed in non-metastatic cells 2, protein (NM23B)	0.43	AK012447	2700056N14	Downregulated genes
MAP kinase-interacting serine/threonine kinase 2	0.44	AK008277	2010016G11	Downregulated genes
Kinesin-associated protein 3	0.44	AK013954	3110001K12	Downregulated genes
Small EDRK-rich factor 2	0.44	AK008802	2210402L08	Downregulated genes
Insulin-like 6	0.45	AK005622	1700003B04	Downregulated genes
MYB binding protein (P160) 1a	0.45	AV057657	1810047C02	Downregulated genes
Cyclin A2	0.45	AV133568	2810001C09	Downregulated genes
Fatty acid binding protein 5, epidermal	0.45	AV129055	2700065F13	Downregulated genes
Lectin, galactose binding, soluble 9	0.45	AV073637	2210002H01	Downregulated genes
Homolog to insulin gene enhancer protein ISL-2	0.46	AK013964	3110001N10	Downregulated genes
Homolog to farnesyl pyrophosphate synthetase	0.46	AV087562	2310031J03	Downregulated genes
Neurogenic differentiation factor 4	0.46	AV114025	2610027J16	Downregulated genes
Myeloblastosis oncogene-like 2	0.47	AV093686	2400003N16	Downregulated genes
Cofilin 1, non-muscle	0.49	AV134068	2810004B05	Downregulated genes
alpha-Fetoprotein	0.49	AV105248	2.51E+29	Downregulated genes
Serine protease inhibitor 14	1.19	AK008931	2210414M20	Upregulated genes
MutS homolog 3	1.16	AV095246	2410004O15	Upregulated genes
Homolog to SCHIP-1	1.14	AV085270	2310010P03	Upregulated genes
Prolactin-like protein C-gamma	1.13	AV036496	1600019J01	Upregulated genes
Similar to pregnancy-speci®c glycoprotein 23	1.12	AV038458	1600029O16	Upregulated genes
Peroxisomal biogenesis factor 3	1.11	AV028672	1500001G17	Upregulated genes
Similar to ¯avin-containing monooxygenase 2	1.09	AK009224	2310008D08	Upregulated genes
RAB9, member RAS oncogene family (Rab9)	1.09	AV036483	1600019I03	Upregulated genes
