UniGene no.	Description	Gene symbol	Fold change
NM_012096	mRNA for KIAA1428 protein	APPL	7.8
NM_000291	phosphoglycerate kinase 1	PGK1	5.6
BX328675a	Similar to immunoglobulin lambda joining 3	IGLJ3	5
NM_199171	solid tumor-associated 1 protein (STAG1/PMEPA1) gene	TMEPA1	4.7
NM_052880	HGFL gene	MGC17330	4.6
NM_006516	solute carrier family 2 (facilitated glucose transporter), member	SLC2A1	4.5
NM_017913	Hsp90-associating relative of Cdc37	HARC	4.4
NM_005659	ubiquitin fusion degradation 1-like	UFD1L	4.2
NM_004415	desmoplakin	DSP	4.2
NM_031243	Human hnRNP A2 protein	HNRPA2B1	4.2
NM_006773	mRNA for RNA helicase (Myc-regulated dead box protein)	DDX18	4.1
NM_001698	Similar to AU RNA binding protein/enoyl-Coenzyme A	AUH	4.1
NM_004836	eukaryotic translation initiation factor 2-alpha kinase 3	EIF2AK3	4
NM_012397	mRNA for hurpin, clone R7-12.2	SERPINB13	3.9
NM_007271	serine/threonine kinase 38	STK38	3.9
NM_030752	t-complex 1	TCP1	3.8
NM_021181	CD2-like receptor activating cytotoxic cells	CRACC	3.6
NM_198902	Similar to tetraspan 3	TSPAN-3	3.6
NM_012120	CD2-associated protein	CD2AP	3.6
NM_002275	mRNA; cDNA DKFZp686O1036	KRT15	3.6
XM_114297	cDNA FLJ10599	DKFZP434D193	3.5
NM_015190	cDNA: FLJ21536	DNAJC9	3.5
NM_001746	mRNA for calnexin	CANX	3.3
NM_030782	cisplatin resistance related protein CRR9p	CRR9	3.3
NM_005015	OXA1Hs mRNA	OXA1L	3.3
NM_006444	SMC2 structural maintenance of chromosomes 2-like 1	SMC2L1	3.2
NM_052950	cDNA FLJ35905	WDFY2	3
NM_003358	mRNA full-length insert cDNA clone EUROIMAGE 1287006	UGCG	3
NM_001878	cDNA FLJ30431	CRABP2	3
NM_006595	apoptosis inhibitor 5 (API5) gene	API5	2.9
NP_060929	uncharacterized bone marrow protein BM045	BM045	2.9
NM_133375	mRNA for KIAA1955 protein	MGC4562	2.8
NM_000123	Human ERCC5 excision repair protein mRNA	ERCC5	2.8
NM_005385	natural killer-tumor recognition sequence	NKTR	2.8
NM_016839	RNA binding motif, single stranded interacting protein 1	RBMS1	2.7
NM_058183	Similar to SON DNA binding protein	SON	2.7
NM_198278	mRNA; cDNA DKFZp313L231	LOC255743	2.7
NM_147223	Mus musculus 15 days embryo head cDNA	NCOA1	2.5
NM_005730	conserved gene amplified in osteosarcoma	OS4	2.5
NM_002605	cAMP-specific phosphodiesterase 8A	PDE8A	2.5
NM_182633	mitochondrial ribosomal protein S17	FLJ39963	2.5
NM_144949	suppressor of cytokine signaling 5	SOCS5	2.4
NM_030969	transmembrane protein 14B	TMEM14B	2.4
NM_017944	ubiquitin-specific protease 47	USP47	2.4
NP_060159	hypothetical protein FLJ20151	CAIZ	2.3
AC_006970	16.7 kDa protein	LOC51142	2.3
NM_053275	ribosomal protein, large, P0 (RPLP0), transcript variant 1	RPLP0	2.3
NM_002793	proteasome (prosome, macropain) subunit, beta type	PSMB1	2.1
NM_030816	hypothetical protein DKFZp566D1346	DKFZP566D1346	2.1
NM_015032	androgen-induced proliferation inhibitor	APRIN	-2.2
NM_000426	mRNA for laminin M chain (merosin)	LAMA2	-2.2
NM_001028	ribosomal protein S25	RPS25	-2.2
NM_145858	crystallin, zeta (quinone reductase)-like	CRYZL1	-2.3
NM_032105	protein phosphatase 1, regulatory (inhibitor) subunit 12B	PPP1R12B	-2.4
NM_004349	clone 25023 mRNA sequence	CBFA2T1	-3.1
NM_015382	mRNA for KIAA1131 protein	HECTD1	-3.2
NM_002434	N-methylpurine-DNA glycosylase	MPG	-3.3
NM_013372	gremlin mRNA	CKTSF1B1	-3.7
