RefSeq	Definition	Gene ID	Symbol	Name	Synonyms	Chr	Fold Change	p Value	Cluster Id
NM_000109	Homo sapiens dystrophin (DMD), transcript variant Dp427c, mRNA.	1756	DMD	dystrophin	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272	X	3.49	0.000135	1
NM_000043	Homo sapiens Fas (TNF receptor superfamily, member 6) (FAS), transcript variant 1, mRNA.	355	FAS	Fas (TNF receptor superfamily, member 6)	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	10	1.752	0.000498	1
NM_000281	Homo sapiens pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (PCBD1), mRNA.	5092	PCBD1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha	DCOH|PCBD|PCD|PHS	10	1.532	0.000117	1
NM_000627	Homo sapiens latent transforming growth factor beta binding protein 1 (LTBP1), transcript variant 2, mRNA.	4052	LTBP1	latent transforming growth factor beta binding protein 1	MGC163161	2	1.43	0.000108	1
NM_000946	Homo sapiens primase, DNA, polypeptide 1 (49kDa) (PRIM1), mRNA.	5557	PRIM1	primase, DNA, polypeptide 1 (49kDa)	MGC12308|p49	12	1.38	0.0000185	1
NM_000386	Homo sapiens bleomycin hydrolase (BLMH), mRNA.	642	BLMH	bleomycin hydrolase	BH|BMH	17	1.3	0.000176	1
NM_001003794	Homo sapiens monoglyceride lipase (MGLL), transcript variant 2, mRNA.	11343	MGLL	monoglyceride lipase	HU-K5|HUK5|MGL	3	1.234	0.000382	1
NM_000611	Homo sapiens CD59 molecule, complement regulatory protein (CD59), transcript variant 2, mRNA.	966	CD59	CD59 molecule, complement regulatory protein	16.3A5|1F5|EJ16|EJ30|EL32|FLJ38134|FLJ92039|G344|HRF-20|HRF20|MAC-IP|MACIF|MEM43|MGC2354|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20	11	1.205	0.000548	1
NM_000346	Homo sapiens SRY (sex determining region Y)-box 9 (SOX9), mRNA.	6662	SOX9	SRY (sex determining region Y)-box 9	CMD1|CMPD1|SRA1	17	1.163	0.000272	1
NM_000129	Homo sapiens coagulation factor XIII, A1 polypeptide (F13A1), mRNA.	2162	F13A1	coagulation factor XIII, A1 polypeptide	F13A	6	1.112	0.000131	1
NM_001004285							0.927	0.000407	2
NM_001004286							0.927	0.000407	2
NM_000024	Homo sapiens adrenergic, beta-2-, receptor, surface (ADRB2), mRNA.	154	ADRB2	adrenergic, beta-2-, receptor, surface	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	5	0.815	0.000545	2
NM_000874	Homo sapiens interferon (alpha, beta and omega) receptor 2 (IFNAR2), transcript variant 2, mRNA.	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2	IFN-R|IFN-alpha-REC|IFNABR|IFNARB	21	0.794	0.000745	2
NM_000442	Homo sapiens platelet/endothelial cell adhesion molecule (PECAM1), mRNA.	5175	PECAM1	platelet/endothelial cell adhesion molecule	CD31|FLJ58394|PECAM-1	17	0.731	0.000607	2
