Affymetrix ID	Symbol	Gene Name	Fold difference	P.Value
1448595_a_at	Rex3	reduced expression 3	538.0	5.65E-07
1419549_at	Arg1	arginase 1, liver	370.2	5.01E-10
1425295_at	Ear11	eosinophil-associated, ribonuclease A family, member 11	154.5	8.57E-11
1426225_at	Rbp4	retinol binding protein 4, plasma	132.6	2.94E-09
1434046_at	---	---	96.9	1.49E-07
1448470_at	Fbp1	fructose bisphosphatase 1	91.4	7.34E-11
1434413_at	Igf1	insulin-like growth factor 1	89.4	1.30E-11
1437401_at	Igf1	insulin-like growth factor 1	79.1	1.76E-07
1442082_at	C3ar1	complement component 3a receptor 1	72.3	1.03E-10
1452014_a_at	Igf1	insulin-like growth factor 1	68.8	8.70E-13
1448259_at	Fstl1	follistatin-like 1	68.1	6.35E-11
1417256_at	Mmp13	matrix metalloproteinase 13	67.7	2.11E-10
1415971_at	Marcks	myristoylated alanine rich protein kinase C substrate	61.1	1.74E-07
1419519_at	Igf1	insulin-like growth factor 1	59.3	2.25E-10
1437279_x_at	Sdc1	syndecan 1	57.8	4.80E-07
1449799_s_at	Pkp2	plakophilin 2	57.3	3.22E-10
1416221_at	Fstl1	follistatin-like 1	56.7	1.17E-08
1421811_at	Thbs1	thrombospondin 1	56.3	2.04E-06
1456700_x_at	Marcks	myristoylated alanine rich protein kinase C substrate	53.5	8.15E-08
1449015_at	Retnla	resistin like alpha	50.9	2.35E-09
1420911_a_at	Mfge8	milk fat globule-EGF factor 8 protein	50.4	2.25E-11
1415972_at	Marcks	myristoylated alanine rich protein kinase C substrate	50.0	2.92E-06
1415973_at	Marcks	myristoylated alanine rich protein kinase C substrate	47.6	2.07E-07
1452417_x_at	---	---	47.4	0.001544245
1416514_a_at	Fscn1	fascin homolog 1, actin bundling protein (Strongylocentrotus) purpuratus)	46.8	5.96E-09
1417400_at	Rai14	retinoic acid induced 14	44.5	2.66E-08
1421375_a_at	S100a6	S100 calcium binding protein A6 (calcyclin)	44.1	4.48E-07
1451780_at	Blnk	B-cell linker	39.8	2.89E-11
1434583_at	Tmem26	transmembrane protein 26	38.3	1.35E-09
1448575_at	Il7r	interleukin 7 receptor	38.2	1.39E-10
1456028_x_at	Marcks	myristoylated alanine rich protein kinase C substrate	37.9	5.13E-06
1428579_at	Fmnl2	formin-like 2	37.8	3.07E-10
1437726_x_at	C1qb	complement component 1, q subcomponent, beta polypeptide	35.8	2.31E-06
1428834_at	Dusp4	dual specificity phosphatase 4	32.0	1.30E-06
1434366_x_at	C1qb	complement component 1, q subcomponent, beta polypeptide	31.2	1.62E-09
1429514_at	---	---	30.6	1.56E-08
1452227_at	2310045A20Rik	RIKEN cDNA 2310045A20 gene	29.6	4.01E-07
1448737_at	Tm4sf2	transmembrane 4 superfamily member 2	28.3	3.59E-06
1450876_at	Cfh	complement component factor h	27.7	1.21E-10
1418003_at	1190002H23Rik	RIKEN cDNA 1190002H23 gene	27.1	6.57E-09
1438511_a_at	1190002H23Rik	RIKEN cDNA 1190002H23 gene	26.9	6.22E-08
1416441_at	Pgcp	plasma glutamate carboxypeptidase	26.3	6.22E-11
1448756_at	S100a9	S100 calcium binding protein A9 (calgranulin B)	25.9	9.53E-09
1448576_at	Il7r	interleukin 7 receptor	25.6	3.41E-09
1419413_at	Ccl17	chemokine (C-C motif) ligand 17	25.3	3.09E-08
1442542_at	Eya4	eyes absent 4 homolog (Drosophila)	24.9	9.53E-10
1423153_x_at	Cfh	complement component factor h	24.3	4.99E-09
1417063_at	C1qb	complement component 1, q subcomponent, beta polypeptide	24.3	2.86E-06
1421424_a_at	Anpep	alanyl (membrane) aminopeptidase	24.1	1.17E-10
1435585_at	1110018P05Rik	RIKEN cDNA 1110018P05 gene	23.8	0.00041774
1438467_at	Mgl2	macrophage galactose N-acetyl-galactosamine specific lectin 2	23.8	1.56E-06
1455995_at	D10Bwg1379e	DNA segment, Chr 10, Brigham & Womens Genetics 1379 expressed	23.8	6.90E-05
1417133_at	Pmp22	peripheral myelin protein	23.0	5.19E-08
1435409_at	---	---	23.0	4.31E-09
1416805_at	1110032E23Rik	RIKEN cDNA 1110032E23 gene	22.6	4.17E-08
1448233_at	Prnp	prion protein	21.3	3.79E-10
1451054_at	Orm1	orosomucoid 1	21.2	0.000160841
1420398_at	Rgs18	regulator of G-protein signaling 18	20.7	6.32E-08
1435050_at	D10Bwg1379e	DNA segment, Chr 10, Brigham & Womens Genetics 1379 expressed	20.4	1.15E-06
1421854_at	Fgl2	fibrinogen-like protein 2	20.4	6.41E-07
1416871_at	Adam8	a disintegrin and metalloprotease domain 8	20.2	1.60E-09
1452815_at	P2ry10	purinergic receptor P2Y, G-protein coupled 10	19.9	3.36E-06
1415855_at	Kitl	kit ligand	19.3	2.31E-07
