Chromosomal regions with differential expression in gastric MALT lymphoma as compared to spleena	Some relevant genes involved in the biology of hematopoietic cells and oncogenesisb	Expression
1p33-p36.3	CDC2L1	Down-Regulated
1p33-p36.3	FGR	Down-Regulated
1p33-p36.3	CDC42	Down-Regulated
1p33-p36.3	LCK	Down-Regulated
1p22-p31	BCL10	Down-Regulated
1q21-q24	AF1Q	Down-Regulated
1q21-q24	AKNT	Down-Regulated
1q21-q24	CD32	Down-Regulated
1q21-q24	PBX1	Down-Regulated
1q31	IRGS18	Down-Regulated
1q31	RGS1	Down-Regulated
1q31	RGS13	Down-Regulated
1q31	RGS2	Down-Regulated
1q31	CD45	Down-Regulated
1q32	CD34	Down-Regulated
1q41-q43	Unknown	Down-Regulated
2p25	Unknown	Up-Regulated
2p15-p23	MSH2	Up-Regulated
2q12-q14.1	IL1	Up-Regulated
2q12-q14.1	ZAP70	Up-Regulated
2q23	Unknown	Up-Regulated
2q33	CASP8	Up-Regulated
2q37	SP140	Down-Regulated
3p23-p24	CCR4	Down-Regulated
3p13-p22	FOXP1	Down-Regulated
3p13-p22	PDCD6IP	Down-Regulated
3p13-p22	ITGA9	Down-Regulated
3p13-p22	CTNNB1	Down-Regulated
3p13-p22	MST1R	Down-Regulated
3p13-p22	RASSF1A	Down-Regulated
3p13-p22	HYAL1-3	Down-Regulated
3p12	Unknown	Up-Regulated
3q13	Unknown	Up-Regulated
3q21-q23	RYK	Down-Regulated
3q21-q23	EPHB1	Down-Regulated
3q26.1-q26.2	TRAIL	Up-Regulated
3q26.1-q26.2	WIG1	Up-Regulated
4p15.3-p16	FGFR3	Up-Regulated
4p15.3-p16	RGS12	Up-Regulated
4q12-q22	KIT	Up-Regulated
4q12-q22	CXCL9	Up-Regulated
4q12-q22	IL8	Up-Regulated
4q12-q22	BCA1	Up-Regulated
4q23-q25	NFKB1	Up-Regulated
4q26-q27	FGF2	Up-Regulated
4q26-q27	IL2	Up-Regulated
4q26-q27	IL21	Up-Regulated
4q26-q27	FGF2	Up-Regulated
4q28-q35	Unknown	Up-Regulated
5q15-q23	PPIC	Up-Regulated
5q15-q23	IL3	Up-Regulated
5q15-q23	GM-CSF	Up-Regulated
5q15-q23	IL4	Up-Regulated
5q15-q23	IL5	Up-Regulated
5q15-q23	IL13	Up-Regulated
5q31-q32	CDC25C	Down-Regulated
5q31-q32	EGR1	Down-Regulated
5q31-q32	GRAF	Down-Regulated
5q31-q32	FACL6	Down-Regulated
6p21.2-p24	IRF4	Down-Regulated
6p21.2-p24	DEK	Down-Regulated
