Affy probe set id	Gene symbol	Fold change	FDR	Regulation	DNA replication	Mitosis	Poola et al.	Gene Title
222608_s_at	ANLN	4.01	<0.01	Up-regulated		Y		Anillin, actin binding protein (scraps homolog, Drosophila)
202095_s_at	BIRC5	2.95	<0.01	Up-regulated		Y		Baculoviral IAP repeat-containing 5 (survivin)
209642_at	BUB1	2.71	<0.01	Up-regulated		Y		BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
203755_at	BUB1B	3.05	<0.01	Up-regulated		Y		BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
214710_s_at	CCNB1	4.03	<0.01	Up-regulated		Y		Cyclin B1
202705_at	CCNB2	2.35	<0.01	Up-regulated		Y		Cyclin B2
205034_at	CCNE2	3.99	<0.01	Up-regulated	Y			Cyclin E2
203213_at	CDC2	5.5	<0.01	Up-regulated		Y		Cell division cycle 2, G1 to S and G2 to M
203214_x_at	CDC2	2.89	<0.01	Up-regulated		Y		Cell division cycle 2, G1 to S and G2 to M
210559_s_at	CDC2	4.14	<0.01	Up-regulated		Y	Y	Cell division cycle 2, G1 to S and G2 to M
1555758_a_at	CDKN3	2.85	<0.01	Up-regulated				Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
209714_s_at	CDKN3	2.97	<0.01	Up-regulated			Y	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
204962_s_at	CENPA	2.71	<0.01	Up-regulated				Centromere protein A, 17 kDa
207828_s_at	CENPF	2.6	<0.01	Up-Regulated				Centromere protein F, 350/400 ka (mitosin)
218542_at	CEP55	3.46	<0.01	Up-regulated			Y	Chromosome 10 open reading frame 3
218252_at	CKAP2	2.72	<0.01	Up-regulated		Y	Y	Cytoskeleton associated protein 2
203764_at	DLG7	2.84	<0.01	Up-regulated		Y	Y	Discs, large homolog 7 (Drosophila)
203358_s_at	EZH2	2.69	<0.01	Up-regulated	Y			Enhancer of zeste homolog 2 (Drosophila)
213911_s_at	H2AFZ	2.21	<0.01	Up-regulated			Y	H2A histone family, member Z
202503_s_at	KIAA0101	5.89	<0.01	Up-regulated				KIAA0101
204709_s_at	KIF23	2.14	<0.01	Up-regulated		Y		Kinesin family member 23
202107_s_at	MCM2	2.08	<0.01	Up-regulated	Y			MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
204825_at	MELK	3.76	<0.01	Up-regulated		Y	Y	Maternal embryonic leucine zipper kinase
204641_at	NEK2	5.55	<0.01	Up-regulated				NIMA (never in mitosis gene a)-related kinase 2
201577_at	NME1	2.15	<0.01	Up-regulated				Non-metastatic cells 1, protein (NM23A) expressed in
218039_at	NUSAP1	6.41	<0.01	Up-regulated		Y		Nucleolar and spindle associated protein 1
219978_s_at	NUSAP1	5	<0.01	Up-regulated		Y	Y	Nucleolar and spindle associated protein 1
222077_s_at	RACGAP1	3.36	<0.01	Up-regulated				Rac GTPase activating protein 1
201890_at	RRM2	8.07	<0.01	Up-Regulated	Y			Ribonucleotide reductase M2 polypeptide
209773_s_at	RRM2	6.73	<0.01	Up-regulated	Y		Y	Ribonucleotide reductase M2 polypeptide
209218_at	SQLE	3.25	<0.01	Up-regulated				Squalene epoxidase
1554408_a_at	TK1	2.72	<0.01	Up-regulated	Y			Thymidine kinase 1, soluble
202338_at	TK1	2.86	<0.01	Up-regulated	Y			Thymidine kinase 1, soluble
201291_s_at	TOP2A	7.56	<0.01	Up-regulated		Y		Topoisomerase (DNA) II alpha 170 kDa
201292_at	TOP2A	6.03	<0.01	Up-regulated		Y		Topoisomerase (DNA) II alpha 170 kDa
204822_at	TTK	3.27	<0.01	Up-regulated		Y		TTK protein kinase
204026_s_at	ZWINT	4.46	<0.01	Up-regulated				ZW10 interactor
