Acc #	Symbol	Cluster	Gene description	Mean ratio R	Frequency (%)	Other
X00588	EGFR		epidermal growth factor receptor	3.51	7/21 (33%)	GBM (n=21)
M14505	CDK4		cyclin-dependent kinase 4	2.42	2/21 (10%)	GBM (n=21)
X87852	PLXNA3		plexin A3	2.87	10/21 (48%)	GBM (n=21)
M73780	ITGB8		integrin beta 8 precursor	2.62	12/21 (47%)	GBM (n=21)
M32977	VEGF	G5	vascular endothelial growth factor	2.94	12/21 (47%)	GBM (n=21)
X02761	FN	N566	fibronectin	5.16	12/21 (47%)	GBM (n=21)
X56134	VIM		vimentin	5.37	16/21 (76%)	GBM (n=21)
X78565	TNC		tenascin C	2.99	16/21 (76%)	GBM (n=21)
M27364	EEF1A1	N505	eukaryotic translation elongation factor 1 alpha; EF1 alpha	2.92	17/21 (81%)	GBM (n=21)
M32800	HLA G		MHC class I truncated HLA G lymphocyte	2.65	11/21 (52%)	GBM (n=21)
K01171	HLA-DRA	G12	HLA class II histocompatibility antigen alpha	2.95	11/21 (52%)	GBM (n=21)
U58514	CHI3L2	N566	chitinase 3-like 2	2.03	4/21 (19%)	GBM (n=21)
U96136	CTNND2		delta catenin	0.45	16/21 (76%)	GBM (n=21)
L76200	GUK1		guanylate kinase (GMP kinase)	0.44	14/21 (67%	GBM (n=21)
U40343	CDKN2D		CDKN2D- p19-INK4D	0.5	12/21 (47%)	GBM (n=21)
D17517	TYRO3		tyrosine-protein kinase receptor tyro3	0.49	14/21 (67%)	GBM (n=21)
D63878	NEDD5	N505	NEDD5 protein homolog	2.16	5/12 (42%)	LGA (n=12)
Z30183	TIMP3		tissue inhibitor of metalloproteinases 3	2.31	7/12 (58%)	LGA (n=12)
D17516	ADCYAP1R1	N505	pituitary adenylate cyclase activating polypeptide 1 receptor type I	3.15	7/12 (58%)	LGA (n=12)
X53655	NTF3		neurotrophin-3 (NT-3)	2.14	9/12 (75%)	LGA (n=12)
M38690	CD9		CD9 antigen	2.28	7/12 (58%)	LGA (n=12)
X52946	PTN	G5	pleiotrophin	0.44	8/12 (67%)	LGA (n=12)
M36981	nm23-H2S		c-myc purine-binding transcription factor; puf-nm23-H2S	0.4	11/12 (92%)	LGA (n=12)
M22995	RAP-1A		ras-related protein RAP-1A	0.49	7/12 (58%)	LGA (n=12)
M21574	PDGFRA		platelet-derived growth factor receptor alpha	2.85	10/36 (28%)	ALL EXPERIMENTS (n=36)
X66365	CDK6		cell division protein kinase 6	2.77	23/36 (64%)	ALL EXPERIMENTS (n=36)
L20688	RHO-GDI 1		rho GDP dissociation inihibitor 1	2.21	22/36 (61%)	ALL EXPERIMENTS (n=36)
X79981	VE-cadherin		vascular endothelial cadherin	3.26	26/36 (72%)	ALL EXPERIMENTS (n=36)
J03040	SPARC		secreted protein acidic and rich in cysteine precursor	2.34	17/36 (47 %)	ALL EXPERIMENTS (n=36)
M63959	LRPA1		alpha-2-macroglobulin receptor-associated protein (A2MRAP)	0.27	33/36 (92%)	ALL EXPERIMENTS (n=36)
D45887	calmodulin 1		calmodulin 1; delta phosphorylase kinase	0.29	34/36 (94%)	ALL EXPERIMENTS (n=36)
U27193	DUSP8		dual-specificity protein phosphatase 8-hVH-5	0.38	33/36 (92%)	ALL EXPERIMENTS (n=36)
U34819	JNK3A2		C-jun N-terminal kinase 3 alpha2	0.4	30/36 (83%)	ALL EXPERIMENTS (n=36)
X13916	cd91		low-density lipoprotein receptor-related protein 1 precursor (LRP)	0.44	29/36 (81%)	ALL EXPERIMENTS (n=36)
