Accession ID	Gene name	Fold change	P
N92646	Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	12.1	0.026
AA663981	Immunoglobulin heavy constant gamma 3	10.1	0.043
AA419251	Interferon induced transmembrane protein 1	9.4	0.0003
AA488070	Immunoglobulin kappa constant	8.2	0.047
W73144	Lymphocyte cytosolic protein 1 (L-plastin)	8	0.0004
AA863383	pim-2 oncogene	7.2	0.0007
H73590	IMMUNOGLOBULIN HEAVY CHAIN-RELATED	7.2	0.0005
AA047478	Coronin, actin-binding protein, 1A	7	0.0004
T67053	Immunoglobulin lambda-like polypeptide 1	6.5	0.03
N53214	RIBONUCLEASE INHIBITOR-RELATED	6.4	0.0066
AA406020	Interferon-stimulated protein, 15 kDa	5.8	0.0002
AA058323	Interferon-induced transmembrane protein 1	5.7	0.0003
H77597	Metallothionein 1H	5.2	0.0067
AA157813	Interferon, alpha-inducible protein 27	5	0.0042
N30205	ESTs	4.4	0.012
AA599094	KELCH-RELATED	-3.7	0.0021
AA453170	Hypothetical protein FLJ14299	-3.9	0.0032
W87528	Nuclear factor I/B	-3.9	0.018
R42421	Cdc42 effector protein 2	-4	0.012
H12784	ESTs	-4.2	0.0012
AA488636	KIAA0878 protein	-4.9	0.0005
AA148737	Syndecan 4 (amphiglycan, ryudocan)	-5	0.017
AA496878	Hypothetical protein FLJ22041 similar to FK506 binding proteins	-5.1	0.0002
N53172	G protein-coupled receptor	-5.4	0.011
AA464250	Keratin 19	-6.5	0.028
AA131299	Hypothetical protein PRO1489	-7.3	0.0029
W60582	Uncharacterized hypothalamus protein HBEX2	-7.5	0.0071
H77652	GATA-binding protein 6	-8.9	0.0015
N62394	Gap junction protein, beta 1, 32kD	-9	0.0092
AA775872	Glypican 3	-11	0.0021
