Probe ID	P-Value	Gene Name	Description
228658_at	0.00636	C22orf35	chromosome 22 open reading frame 35
202767_at	0.00677	ACP2	acid phosphatase 2, lysosomal
222866_s_at	0.00735	C14orf58	chromosome 14 open reading frame 58
223568_s_at	0.00817	PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1B
219159_s_at	0.011	SLAMF7	SLAM family member 7
202175_at	0.011	CHPF	chondroitin polymerizing factor
222621_at	0.0132	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1
226517_at	0.0132	BCAT1	branched chain aminotransferase 1, cytosolic
224564_s_at	0.0134	RTN3	reticulon 3
235341_at	0.0147	---	---
216950_s_at	0.0147	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)
203477_at	0.0148	COL15A1	collagen, type XV, alpha 1
206114_at	0.016	EPHA4	EPH receptor A4
226099_at	0.017	ELL2	elongation factor, RNA polymerase II, 2
224828_at	0.0175	CPEB4	cytoplasmic polyadenylation element binding protein 4
204017_at	0.0175	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
205945_at	0.0175	IL6R	interleukin 6 receptor
214844_s_at	0.0191	DOK5	docking protein 5
202842_s_at	0.0191	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
222532_at	0.0191	SRPRB	signal recognition particle receptor, B subunit
200670_at	0.0191	XBP1	X-box binding protein 1
222620_s_at	0.0191	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1
1556183_at	0.0191	FLJ40330	similar to protein immuno-reactive with anti-PTH polyclonal antibodies
224009_x_at	0.0193	DHRS9	dehydrogenase/reductase (SDR family) member 9
203675_at	0.0199	NUCB2	nucleobindin 2
219888_at	0.02	SPAG4	sperm associated antigen 4
204998_s_at	0.02	ATF5	activating transcription factor 5
222838_at	0.0207	SLAMF7	SLAM family member 7
223952_x_at	0.0208	DHRS9	dehydrogenase/reductase (SDR family) member 9
222245_s_at	0.0212	FER1L4	fer-1-like 4 (C. elegans)
218817_at	0.0216	SPCS3	signal peptidase complex subunit 3 homolog (S.cerevisiae)
214511_x_at	0.0216	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)
231611_at	0.0218	---	Transcribed locus,similar to contactin 6; neural adhesion molecule [Pan troglodytes]
226150_at	0.0223	PPAPDC1B	Phosphatidic acid phosphatase type 2 domain containing 1B
238759_at	0.0232	KIAA1212	KIAA1212
226079_at	0.0232	LOC114984	hypothetical protein BC014089
215035_at	0.0232	IGLV6-57	immunoglobulin lambda variable 6-57
227168_at	0.0237	FLJ25967	hypothetical gene supported by AK098833
213109_at	0.0244	TNIK	TRAF2 and NCK interacting kinase
223299_at	0.0246	SEC11L3	SEC11-like 3 (S. cerevisiae)
205903_s_at	0.0246	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3
1569040_s_at	0.0246	FLJ40330	similar to protein immuno-reactive with anti-PTH polyclonal antibodies
225285_at	0.0246	BCAT1	branched chain aminotransferase 1, cytosolic
219042_at	0.0248	LZTS1	leucine zipper, putative tumor suppressor 1
200825_s_at	0.0259	HYOU1	hypoxia up-regulated 1
218409_s_at	0.0267	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1
201923_at	0.0272	PRDX4	peroxiredoxin 4
202558_s_at	0.0272	STCH	stress 70 protein chaperone, microsome-associated, 60kDa
223209_s_at	0.0272	SELS	selenoprotein S
219117_s_at	0.0272	FKBP11	FK506 binding protein 11, 19 kDa
201004_at	0.0272	SSR4	signal sequence receptor, delta (translocon-associated protein delta)
1554208_at	0.0272		meiosis defective 1
232405_at	0.0272	SEC24D	SEC24 related gene family, member D (S. cerevisiae)
226059_at	0.0272	TOMM40L	translocase of outer mitochondrial membrane 40 homolog-like (yeast)
227033_at	0.0272	PDIA3	protein disulfide isomerase family A, member 3
222411_s_at	0.0273	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)
206674_at	0.0273	FLT3	fms-related tyrosine kinase 3
202062_s_at	0.0274	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)
201204_s_at	0.0284	RRBP1	Ribosome binding protein 1 homolog 180kDa (dog)
228964_at	0.0284	PRDM1	PR domain containing 1, with ZNF domain
238117_at	0.0284	PPOX	protoporphyrinogen oxidase
1554462_a_at	0.0288	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
202843_at	0.0289	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9
204639_at	0.0289	ADA	adenosine deaminase
242280_x_at	0.0292	CPEB4	cytoplasmic polyadenylation element binding protein 4
207265_s_at	0.0292	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
200598_s_at	0.0304	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
222568_at	0.0305	UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1
221578_at	0.0305	RASSF4	Ras association (RalGDS/AF-6) domain family 4
213973_at	0.0321	RRBP1	ribosome binding protein 1 homolog 180kDa (dog)
203666_at	0.0321	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
218618_s_at	0.0324	FNDC3B	fibronectin type III domain containing 3B
229296_at	0.0324	---	---
224102_at	0.0325	P2RY12	purinergic receptor P2Y, G-protein coupled, 12
228376_at	0.0325	GGTA1	Glycoprotein, alpha-galactosyltransferase 1
234306_s_at	0.0326	SLAMF7	SLAM family member 7
231746_at	0.0329	MIXL1	Mix1 homeobox-like 1 (Xenopus laevis)
232680_at	0.0329	HDGFL1	hepatoma derived growth factor-like 1
229560_at	0.0329	TLR8	toll-like receptor 8
1560818_at	0.033	LOC387895	Hypothetical gene supported by BC040060
223325_at	0.0334	TXNDC11	thioredoxin domain containing 11
212811_x_at	0.0334	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
229721_x_at	0.0334	DERL3	Der1-like domain family, member 3
1555486_a_at	0.0334	FLJ14213	hypothetical protein FLJ14213
201011_at	0.0335	RPN1	ribophorin I
211936_at	0.0337	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
223569_at	0.0337	PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1B
244833_at	0.034	CCDC63	coiled-coil domain containing 63
218638_s_at	0.0341	SPON2	spondin 2, extracellular matrix protein
224829_at	0.0343	CPEB4	cytoplasmic polyadenylation element binding protein 4
222654_at	0.0343	IMPAD1	inositol monophosphatase domain containing 1
241914_s_at	0.0343	LOC123876	hypothetical protein LOC123876
222651_s_at	0.0345	TRPS1	trichorhinophalangeal syndrome I
222753_s_at	0.0348	SPCS3	signal peptidase complex subunit 3 homolog (S.cerevisiae)
201206_s_at	0.0348	RRBP1	ribosome binding protein 1 homolog 180kDa (dog)
211577_s_at	0.0348	IGF1	insulin-like growth factor 1 (somatomedin C)
214180_at	0.0349	MAN1C1	mannosidase, alpha, class 1C, member 1
200967_at	0.0353	PPIB	peptidylprolyl isomerase B (cyclophilin B)
203857_s_at	0.0354	PDIA5	protein disulfide isomerase family A, member 5
219118_at	0.0354	FKBP11	FK506 binding protein 11, 19 kDa
210627_s_at	0.0354	GCS1	glucosidase I
227755_at	0.0359	---	CDNA clone IMAGE:4077090
228253_at	0.0361	LOXL3	lysyl oxidase-like 3
218436_at	0.0365	SIL1	SIL1 homolog, endoplasmic reticulum chaperone (S.cerevisiae)
227394_at	0.0365	NCAM1	Neural cell adhesion molecule 1
204002_s_at	0.0365	ICA1	islet cell autoantigen 1, 69kDa
206698_at	0.0378	XK	X-linked Kx blood group (McLeod syndrome)
200599_s_at	0.0381	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
236852_at	0.0384	FBXO43	F-box protein 43
212699_at	0.0384	SCAMP5	secretory carrier membrane protein 5
209276_s_at	0.0384	GLRX	glutaredoxin (thioltransferase)
219806_s_at	0.0384	C11orf75	chromosome 11 open reading frame 75
211546_x_at	0.0384	SNCA	synuclein, alpha (non A4 component of amyloid precursor)
200968_s_at	0.039	PPIB	peptidylprolyl isomerase B (cyclophilin B)
203827_at	0.0396	WIPI1	WD repeat domain, phosphoinositide interacting 1
223565_at	0.0396	PACAP	proapoptotic caspase adaptor protein
204254_s_at	0.0397	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
221029_s_at	0.0397	WNT5B	wingless-type MMTV integration site family, member 5B
208594_x_at	0.0397	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6
207071_s_at	0.0397	ACO1	aconitase 1, soluble
202027_at	0.0398	C22orf5	chromosome 22 open reading frame 5
208689_s_at	0.04	RPN2	ribophorin II
221767_x_at	0.04	HDLBP	high density lipoprotein binding protein (vigilin)
226982_at	0.0401	ELL2	elongation factor, RNA polymerase II, 2
219910_at	0.0402	HYPE	Huntingtin interacting protein E
216973_s_at	0.0402	HOXB7	homeobox B7
232352_at	0.0406	ISL2	ISL2 transcription factor, LIM/homeodomain, (islet-2)
