GenBank ID	Gene Name
J03779	CD10
AL050105	DKFZp586H0519
L33930	CD24
Y12735	Dyrk3
AB020674	KIAA0867
D26070	ITPR3
M11722	TdT
M61877	a-spectrin
X59350	CD22
W25798	cDNA 13f12
AL049279	DKFZp564I083
AF032885	FKHR
L46922	FHIT
S67427	myosin
AL079277	Unknown cDNA
M96803	b-spectrin
X83441	DNA Ligase IV
X15357	ANP-receptor
M55284	Protein Kinase C-L
AI146846	cDNA qb92h04
AB023176	KIAA0959
AF002999	TRF2
D26070	ITPR3
Y11312	PI3-Kinase
U48959	MLCK
J05243	a-spectrin
Y14768	Cosmid TN62
U01062	ITPR3
Z49194	OBF-1
V59423	Smad1
U29175	Snf2-b
M81141	HLA-DQ-b
D87437	KIAA0250
Y00264	Amyloid A4 precursor
U59912	Smad1
AJ007583	acetylglucosaminyltransferase
L75847	ZNF-45
D17530	Dreberin E
D86967	KIAA0212
J03600	Lipoxygenase
D42055	KIAA0093
AL021154	Chromosome 1 PAC
AI761647	cDNA wg66h09
AF054815	VAMP5
N36926	cDNA YY38E04
U96113	Nedd-4-like ubiquitin ligase
AB019527	LDOC1
M34641	FGF Receptor-1
L29376	MHC class I mRNA
M60028	HLA-DQ-b
AA808961	cDNA nw16h03.s1
AB018303	KIAA0760
X74837	HUMM9
AL022723	Chromosome 6 sequence
M74719	E2-2
M63838	IFI16
U81607	Gravin
U96113	Nedd-4 like ubiquitin ligase
D13639	KIAK0002
X53586	Integrin alpha 6
U01062	ITPR3
M21535	ERG11
D88827	Zinc finger protein FPM315
W26406	cDNA 29b7
U15642	E2F-5
D43949	KIAA0082
J011001	TM7XN1
M63928	CD27
AB028961	KIAA1038
X55740	5’ Nucleotidase
L05186	Focal adhesion kinase
AF070588	cDNA 24554
U48705	Tyrosine Kinase DDR
AF070614	cDNA 24732
U23850	ITPR3
AF054180	Hematopoietic zinc finger protein
AL049471	DKFZp586N012
AF084481	WFS1
U90547	Human Ro
U15085	HLA-DMB
AJ001381	cDNA for an allele of myosin
AL049933	DKFZp564K1216
AI198311	cDNA qi61f11.x1
AL050060	DKFZp566H073
X06318	PKC-b1
U43885	Grb2-associated binder-1
M31523	E2A transcription factor
L10373	clone CCG-B7
Y11306	TCF-4
X05323	MRC OX-2 gene
X78932	Zinc finger protein HZF9
W26633	cDNA 34b1
AF052131	clone 23930
AL050260	DKFZp564E1082
AL080218	DKFZp586N1323
A1561196	cDNA tq27a01.x1
W26023	cDNA 18c3
U68186	Extracellular matrix I
X62744	RING6
X78926	Zinc Finger HZF3
