P value	Gene symbol	Descriptor
0.0003	FGFR4	Fibroblast growth factor receptor 4
0.0007	SELENBP1	Selenium binding protein 1
0.001	POSTN	Periostin, osteoblast specific factor
0.001	CALU	Calumenin
0.0012	SERPINH1	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
0.0012	KDELR3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
0.0013	PTMS	Parathymosin
0.0013	HIST2H2BE	Histone 2, H2be
0.0015	TUSC3	Tumor suppressor candidate 3
0.0016	ZNF516	Zinc finger protein 516
0.0018	BMI1	Polycomb group ring finger 4
0.0024	ACAD11	Putative acyl-CoA dehydrogenase
0.0026	INPP4B	Inositol polyphosphate-4-phosphatase, type II, 105 kDa
0.0033	ESR1	Estrogen receptor 1
0.0037	ACAA2	Myosin VB
0.005	CYB5A	Cytochrome b-5
0.005	CLIP4	CAP-GLY domain containing linker protein family, member 4
0.0051	AYTL1	Hypothetical protein FLJ20481
0.0056	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
0.0062	PSMB10	Proteasome (prosome, macropain) subunit, beta type, 10
0.0067	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing
0.007	UBE1	Ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)
0.0084	FBP1	Fructose-1,6-bisphosphatase 1
0.0087	COL6A3	Collagen, type VI, alpha 3
0.0087	TM9SF2	Transmembrane 9 superfamily member 2
0.009	TAP1	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
0.0097	DIP2B	KIAA1463 protein
0.01	TncRNA	Trophoblast-derived noncoding RNA
