GenBank ID	Gene Description	Mean of EBV+/EBV- ratio for the 3 BL pairs	Function
M81750	CDC25B; CDC25HU2; M-phase inducer phosphatase 2	210 ^-1	Cell proliferation Cell cycle
U01147	Active breakpoint cluster region-related protein	3.510 ^-1	Oncogenes
Z29083	5T4 oncofetal antigen precursor	3.8610 ^-1	Oncogenes
X06617	Histone H4	2.7510 ^-1	Replication
M36067	DNA ligase I	2.6110 ^-1	Replication
M23619	High mobility group protein (HMG-I)	5.8910 ^-2	Replication
M15796	Proliferating cyclic nuclear antigen (PCNA);	5.2110 ^-2	Replication
M87339	Activator 1 37-kd subunit; replication factor C 37-kd subunit (RFC)	1.8410 ^-1	Replication
U79718	Endonuclease III homolog 1 (HNTH1) (OCTS3)	7.1610 ^-2	Replication
M18112	Poly(ADP-ribose) polymerase (PARP; PPOL)	7.8610 ^-2	Replication
J04101	Erythroblastosis virus oncogene homolog 1 (ETS-1);p54	2.5610 ^-1	Transcription
M82882	Ets-related transcription factor E74-like factor 1 (ELF1)	2.5510 ^-1	Transcription
X66079	Transcription factor Spi-B	2.1110 ^-1	Transcription
U15642	Transcription factor E2F5	4.9710 ^-1	Transcription
M58603	Nuclear factor  kappa B DNA binding subunit (NF- kappa B; NFKB)	1.8710 ^-1	Transcription
V00568	c-myc oncogene	810 ^-2	Transcription
U12595	Tumor necrosis factor type 1 receptor associated protein (TRAP1)	1.3910 ^-1	Signal transduction Receptors
X78817	rho-GAP hematopoietic protein C1 (RGC1)	6.1610 ^-2	GDP/GTP
L29216	CDC-like kinase 2 (CLK2)	4.510 ^-1	Kinases
L05148	70-kd zeta associated protein (ZAP70)	2.210 ^-1	Kinases
U10087	Bruton’s tyrosine kinase BTK	2.7310 ^-1	Kinases
V07236	Proto-oncogene tyrosine-protein kinase 1ck; p56-1ck	3.410 ^-1	Kinases
Y13936	Protein phosphatase 2C gamma	4.1310 ^-1	Tyrosine phosphatase
K00065	Cytosolic superoxide dismutase 1 (SOD1)	1.8110 ^-1	Stress response
M19645	78-kd glucose regulated protein precursor (GRP 78)	4.1510 ^-1	Stress response
L07515	Heterochromatin protein homolog 1 (HP1)	2.7510 ^-1	Apoptosis
