Gene Name	Abbreviated name	GenBank accession
Beta actin	ACTB	NM_001101
Autocrine motility factor receptor	AMFR	NM_001144
Fibroblast growth factor 2	FGF2	NM_002006
Cathepsin B preproprotein	CTSB	NM_001908
Platelet endothelial cell adhesion molecule 1	PECAM1	NM_000442
CD34 antigen	CD34	NM_001773
Cadherin I. type 1	CDH1	NM_004360
Epidermal growth factor receptor	EGFR	NM_005228
v-ets erythroblastosis virus E26 oncogene	ETS1	NM_005238
Fms-related tyrosine kinase 1	FLT1	NM_002019
Fms-related tyrosine kinase 4	FLT4	NM_182925
v-fos FBJ murine ostesarcoma viral oncogene	FOS	NM_005252
Kinase insert domain receptor	KDR	NM_002253
Matrix metalloproteinase 1	MMP1	NM_002421
Matrix metalloproteinase 2	MMP2	NM_004530
Matrix metalloproteinase 3	MMP3	NM_002422
Matrix metalloproteinase 7	MMP7	NM_002423
Matrix metalloproteinase 9	MMP9	NM_004994
Met proto-oncogene	MET	NM_000245
Matrix metalloproteinase 14	MMP14	NM_004995
Matrix metalloproteinase 16	MMP16	NM_022564
v-myc myelocytomatosis viral oneogene	MYC	NM_002467
v-rel reticuloendotheliosis viral oncogene	RELA	NM_021975
Nucleoside-diphosphate kinase 1	NME1	NM_000269
Nucleoside-diphosphate kinase 2	NME2	NM_002512
Plasminogen activator inhibitor-1	SERPINE1	NM_000602
Serine proteinase inhibitor, clade B, member 2	SERPINB2	NM_002575
Transferrin receptor	TFRC	NM_003234
Transforming growth factor, alpha	TGFA	NM_003236
Transforming growth factor, beta 1	TGFB1	NM_000660
Transforming growth factor, beta 2	TGFB2	NM_003238
Transforming growth factor, beta 3	TGFB3	NM_003239
Transforming growth factor, beta receptor III	TGFBR3	NM_003243
Tyrosine kinase with immunoglobulinand epidermal growth factor	TIE	NM_005424
TEK tyrosine kinase, endothelial	TEK	NM_000459
Plasminogen activator, urokinase	PLAU	NM_002658
Plasminogen activator, urokinase receptor	PLAUR	NM_002659
Vascular endothelial growth factor	VEGF	NM_003376
Vascular endothelial growth factor C	VEGFC	NM_005429
Lintegrin alpha 2	ITGA2	NM_002203
Integrin alpha 3	ITGA3	NM_002204
Integrin alpha 4	ITGA4	NM_000885
Integrin alpha 5	ITGA5	NM_002205
Integrin alpha chain, alpha 6	ITGA6	NM_000210
Catenin (cadherin-associated protein), alpha 1	CTNNA1	NM_001903
Integrin, alpha V	ITGAV	NM_002210
Thrombospondin 1	THBS1	NM_003246
Integrin beta 1	ITGB1	NM_002211
Integrinbeta chain, beta 3	ITGB3	NM_000212
Integrin, beta 5	ITGB5	NM_002213
Catenin (cadherin-associated protein), beta 1	CINNB1	NM_001904
S-adenosylhomocysteine hydrolase	AHCY	NM_000687
Cystathionine-beta-synthase	CBS	NM_000071
DNA (cytosine-5-)-methyltransferase 1	DNMT1	NM_001379
DNA cytosine methyltransferase 3 alpha	DNMT3A	NM_175629
Histone deacetylase 1	HDAC1	NM_004964
Histone deacetylase 2	HDAC2	NM_001527
Histone deacetylase 3	HDAC3	NM_003883
Histone deacetylase 4	HDAC4	NM_006037
Histone deacetylase 5	HDAC5	NM_005474
Histone deacetylase 6	HDAC6	NM_006044
Methionine adenosyltransferase I, alpha	MAT1A	NM_000429
Methionine adenosyltransferase II, alpha	MAT2A	NM_005911
Methionine adenosyltransferase II, beta	MAT2B	NM_013283
Methyl-CpG binding domain protein 2	MBD2	NM_003927
Methyl-CpG binding domain protein 3	MBD3	NM_003926
Methyl-CpG binding domain protein 4	MBD4	NM_003925
Methyl CpG binding protein 2	MECP2	NM_004992
5,10-Methylenetetrahydrofolate reductase	MTHFR	NM_005957
5-Methyltetrahydrofolate-homocysteine methyltransferase	MTR	NM_000254
Cathespin L	CTSL	NM_001912
Angiopoietin 2	ANGPT2	NM_001147
