GenBank ID	Name	Peak Expression Level (SLR)	Functional Class
X03484	raf oncogene	1.46	carcinogenesis
M60974	growth arrest and DNA-damage inducible protein (gadd45)	1.51	DNA damage
M57731	Human gro-beta	1.85	immune response
X66899	EWS	1.2	carcinogenesis
Z29087	Cyclin D1 Promoter	1.03	cell cycle control
L10910	Splicing Factor CC1.3	0.62	RNA processing
M83667	NF-IL6 Permeability Factor	1.55	transcription
M27281	Vascular Permeability Factor	-1.09	cell proliferation
L28010	HnRNP F protein	-0.55	RNA processing
U72649	BTF2	-1.86	carcinogenesis
M19267	tropomyosin	-1.16	cardiac
M38258	retinoic acid receptor gamma 1	-0.94	cell metabolism
U42031	Immunophilin	-1.41	immune response
U67122	ubiquitin-related SUMO-1	-1.03	protein metabolism
X70340	Transforming growth factor alpha	-0.57	cell proliferation
M34458	Lamin B	-1.33	cell proliferation
