Unigene ID	Gene Symbol	Location	SwissProt Keywords
Hs.227913	AP_15	11p12-q12	NA
Hs.15984	LOC51186	Xq22.1	NA
Hs.45207	CHD6-pending	20q12	NA
Hs.114350	TSC22	13q14	Transcription regulation; Repressor; Nuclear protein
Hs.169514	NA	NA	NA
Hs.245188	TIMP3	22q12.3	Metalloprotease inhibitor
Hs.287820	FN1	2q34	Cell Adhesion
Hs.102267	LOX	5q23.2	NA
Hs.172928	COL1A1	17q21.3-q22.1	Extracellular matrix
Hs.111779	SPARC	5q31.3-q32	Extracellular matrix
Hs.9911	FLJ11773	12q13.13	NA
Hs.222581	NA	NA	NA
Hs.289114	TNC	9q33	Extracellular matrix; Cell adhesion
Hs.144058	DKFZP564C103	17q25.2	NA
Hs.355786	GNAQ	9q21.2	NA
Hs.172694	LOC117584	17q12	NA
Hs.294141	SMARCA4	19p13.3	NA
	BNIP3	10q26.3	NA
Hs.7956	NA	NA	NA
Hs.121576	MYO1B	2q12-q34	Myosin; ATP-binding; Actin-binding; Calmodulin-binding
Hs.4147	TRAM	8q13.1	Endoplasmic reticulum; Transmembrane; Glycoprotein
Hs.336429	GABARAPL1	12p13.31	NA
Hs.165998	PAI-RBP1	1p31-p22	NA
Hs.6820	CFP1	10p11.21	NA
Hs.355719	NPM1	5q35	Nuclear protein; Phosphorylation; RNA binding; Proto-oncogene
Hs.904	AGL	1p21	Glycogen biosynthesis; Glycosyltransferase
Hs.429780	NA	NA	NA
Hs.2795	LDHA	11p15.4	Oxidoreductase; NAD; Glycolysis
Hs.208414	NA	NA	NA
Hs.109590	GENX-3414	4q24-q25	NA
Hs.395779	CAMTA1	1p36.23	NA
Hs.433540	DNAJC8	1p35.2	Chaperone
Hs.406455	PSAP	10q21-q22	Glycoprotein; Lysosome; Sphingolipid metabolism
Hs.179661	OK/SW cl. 56	6p21.33	Microtubule; GTP-binding
Hs.146580	ENO2	12p13	Lyase; Glycolysis; Magnesium
Hs.99743	NA	NA	NA
Hs.83848	TPI1	12p13	Isomerase; Glycolysis; Gluconeogenesis; Fatty acid biosynthesis
Hs.83870	NEB	2q22	Actin-binding; Muscle protein; Cytoskeleton
Hs.95260	FAM8A1	6p22-p23	NA
Hs.2777	ITIH1	3p21.2-p21.1	Serine protease inhibitor
Hs.84084	APPBP2	17q21-q23	NA
Hs.418023	NA	NA	NA
Hs.57730	KIAA0133	1q42.13	Hypothetical protein; Transmembrane
Hs.27804	NA	NA	NA
Hs.75339	INPPL1	11q23	NA
Hs.108131	CASP2	7q34-q35	Hydrolase; Thiol protease; Apoptosis
	ACOT12	5q14.1	NA
Hs.334690	NA	NA	NA
Hs.405898	KIAA0999	11q23.3	NA
Hs.118194	DBR1	3q22.3	NA
Hs.211929	TXN2	22q13.1	Redox-active center; Electron transport; Mitochondrion
Hs.194659	EZH1	17q21.1-q21.3	Transcription regulation; Nuclear protein; DNA-binding
Hs.183583	SERPINB1	6p25	Serpin; Serine protease inhibitor
Hs.250535	RAB5EP	17p13.2	NA
	NA	NA	NA
Hs.347130	FLJ22709	19p13.11	NA
Hs.13339	PRPSAP2	17p11.2-p12	NA
Hs.3903	CDC42EP4	17q24-q25	Cytoskeleton
Hs.4084	KIAA1025	12q24.22	NA
Hs.75217	MAP2K4	17p11.2	Serine/threonine-protein kinase; Tyrosine-protein kinase
Hs.75545	IL4R	16p11.2-12.1	Receptor; Transmembrane; Glycoprotein
Hs.76662	APH2	10q24.1	NA
Hs.170226	FLJ38045	9q33.1	NA
Hs.172674	NFATC3	16q22.2	Transcription regulation; Activator; Nuclear protein; DNA-binding
Hs.277477	HLA-C	6p21.3	MHC 1; Transmembrane; Glycoprotein
Hs.301904	FLJ12571	1q21.3	NA
Hs.75348	PSME1	14q11.2	Proteasome; Interferon induction
Hs.111903	FCGRT	19q13.3	IgG-binding protein; Receptor; Transmembrane; Glycoprotein
Hs.428760	NA	NA	NA
Hs.40919	FLJ14511	9q22.33	NA
Hs.437986	NA	NA	NA
Hs.20191	SIAH2	3q25	NA
Hs.23643	MST4	Xq26.1	NA
Hs.432605	UGCG	9q31	Glycosyltransferase; Endoplasmic reticulum
Hs.432137	DLX2	2q32	NA
Hs.125783	DEME-6	1p32.3	NA
Hs.339808	KIAA0563	17q21.31	NA
Hs.100217	FMNL	17q21	NA
Hs.199402	UFD1L	22q11.21	Ubi conjugation pathway
Hs.351875	COX6C	8q22-q23	Oxidoreductase; inner membrane; Mitochondrion
Hs.115150	NA	NA	NA
