Gene Symbol	Description	Fold	In-/Decreased
PTEN	Phosphatase and tensin homolog	2.54	Increased
IGFBP3	Insulin-like growth factor binding protein 3	5.88	Decreased
IGF2R	Insulin-like growth factor 2 receptor	5.26	Decreased
RHOB	Ras homolog gene family, member B	3.22	Decreased
PIP5K1A	Phosphatidylinositol-4-phosphate 5-kinase	2.86	Decreased
MARCKS	Myristoylated alanine-rich protein kinase C	2.7	Decreased
CXCR4	Chemokine (C-X-C motif) receptor 4	2.56	Decreased
RAC1	Ras-related C3 botulinum toxin substrate 1	2.5	Decreased
RASGRP2	RAS guanyl releasing protein 2	2.44	Decreased
MAPKAP2	Mitogen-activated protein kinase-activated protein kinase 2	2.38	Decreased
