Accession No.	Gene Name	Major Function	Fold change 25 ?M	Fold change 50 ?M
X16354	Transmembrane carcinoembryonic antigen (BGPa)	Cell adhesion	5.15	24.35
U33199	Mouse double minute 2-A (MDM2A)	Proliferation	3.45	18.12
M60974	Growth arrest and DNA-damage-inducible protein (GADD45)	Cell growth	3.07	14.34
M92424	p53-associated mRNA (MDM2)	Proliferation	1.45	6.97
U33203	Mouse double minute 2-E (MDM2E)	Proliferation	1.11	7.57
S62138	Oncogene Tls/Chop, fusion activated	Oncogene	1.93	7.5
S57153	Retinoblastoma binding protein 1 isoform I (RBP1)	Tumor suppression	4.73	6.94
U27193	Protein-tyrosine phosphatase	Proliferation	1.4	5.53
J03258	Vitamin D receptor (VDR)	Transduction	1.26	14.16
M13207	Granulocyte-macrophage colony-stimulating factor (CSF1)	Transduction	1.31	7.47
M28130	Interleukin 8 gene (IL8)	Transduction	1.67	5.37
J00117	Chorionic gonadotropin (HCG) ?subunit	Transduction	1.38	5.13
M97815	Retinoic acid-binding protein II (CRABP-II)	Transduction	3.28	6.01
U19261	Epstein-Barr virus-induced protein (TRAF-1)	Transduction	1.58	7.81
J03764	Plasminogen activator inhibitor-1	Cell adhesion	1.53	5.33
M59465	Tumor necrosis factor ? inducible protein 3 (TNFAIP3)	Cell death	3.72	15.44
M83221	V-rel reticuloendoiheliosis viral oncogene homolog B (RelB)	Transduction	2.01	6.21
L19871	Activating transcription factor 3(ATF3)	Cell growth	3.24	+131.38
U02390	Adenylyl cyclase-associated protein 2	Structure regulation	?9.20	?1.33
M16592	Hemopoietic cell protein-tyrosine kinase (HCK)	Transduction	?2.22	?12.96
AF002700	GDNF family receptor ?2 (GFR?2)	Transduction	?1.57	?6.43
M65062	Insulin-like growth factor binding protein 5 (IGFBP-5)	Cell growth	?2.57	?6.20
L27559	Insulin-like growth factor binding protein 5 (partial exon 4) (IGFBP-5)	Cell growth	?1.84	?15.15
X16323	Hepatocyte growth factor (HGF)	Cell growth	?1.68	?5.66
M83667	NF-IL6-?protein	Immune response	?1.32	?5.79
U03688	Dioxin-inducible cytochrome P450 (CYP1B1)	Metabolism	?1.40	?7.49
X58840	Nuclear factor 1, variant hepatic	Cell growth	?1.57	?7.11
X52229	Mucin 1, epithelial, alt. splice 9 (MUC1)	Cell adhesion	?1.53	?5.61
L06797	Chemokine (C-X-C motif) receptor 4 (CXCR4)	Cell growth	?1.20	?8.66
