rank	Gene	GB accession	Gene Description
1	COL5A3	NM_015719	Collagen, type V, alpha 3
2	FN1	NM_002026	Fibronectin 1
3	FSTL1	NM_007085	Follistatin-like 1
4	KDELR2	NM_006854	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
5	PCOLCE	NM_002593	Procollagen C-endopeptidase enhancer
6	SPARC	NM_003118	Secreted protein, acidic, cysteine-rich (osteonectin)
7	DIA1	NM_007326	Diaphorase (NADH) (cytochrome b-5 reductase)
8	FAP	NM_004460	Fibroblast activation protein, alpha
9	COL5A1	NM_000093	Collagen, type V, alpha 1
10	ZFP93	NM_004234	Zinc finger protein 93 homolog (mouse)
11	CSPG2	U16306	Chondroitin sulfate proteoglycan 2 (versican)
12	COL4A1	NM_001845	Collagen, type IV, alpha 1
13	TEM1	NM_020404	Tumor endothelial marker 1 precursor
14	PLAU	NM_002658	Plasminogen activator, urokinase
15	LGALS1	NM_002305	Lectin, galactoside-binding, soluble, 1 (galectin 1)
16	COL5A2	NM_000393	Collagen, type V, alpha 2
17	COL3A1	NM_000090	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
18	TGFBI	NM_000358	Transforming growth factor, beta-induced, 68kD
19	CTRP6	NM_031910	Complement-c1q tumor necrosis factor-related protein 6
20	ADAM12	NM_003474	A disintegrin and metalloproteinase domain 12 (meltrin alpha)
21	FLJ11196	NM_018357	Hypothetical protein FLJ11196
22	CTSK	NM_000396	Cathepsin K (pycnodysostosis)
23	ACTA2	NM_001613	Actin, alpha 2, smooth muscle, aorta
24	AK027727	AK027727	Homo sapiens cDNA FLJ14821 fis, clone OVARC1000556, highly similar to RIBOSOMAL PROTEIN S6 KINASE II
25	THY1	AK057865	Thy-1 cell surface antigen
26	AL110197	AL110197	Homo sapiens mRNA; cDNA DKFZp586J021 (from clone DKFZp586J021)
27	MMP2	NM_004530	Matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)
28	JTV1	NM_006303	JTV1 gene
29	COL6A1	NM_001848	Collagen, type VI, alpha 1
30	THBS2	NM_003247	Thrombospondin 2
31	COL1A2	NM_000089	Collagen, type I, alpha 2
32	COL6A3	NM_004369	Collagen, type VI, alpha 3
33	OPN3	NM_014322	Opsin 3 (encephalopsin, panopsin)
34	KIAA0709	NM_006039	Endocytic receptor (macrophage mannose receptor family)
35	TPM2	NM_003289	Tropomyosin 2 (beta)
36	SDC2	J04621	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
37	FTH1	AK054816	Ferritin, heavy polypeptide 1
38	TAGLN	NM_003186	Transgelin
39	AK021531	AK021531	Homo sapiens cDNA FLJ11469 fis, clone HEMBA1001658
40	FGFR1	NM_023109	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
41	MMP1	NM_002421	Matrix metalloproteinase 1 (interstitial collagenase)
42	GLS	NM_014905	Glutaminase
43	MGC11257	NM_032350	Hypothetical protein MGC11257
44	OSF-2	NM_006475	Osteoblast specific factor 2 (fasciclin I-like)
45	P4HA2	NM_004199	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II
46	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
47	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
48	RAP1B	NM_015646	RAP1B, member of RAS oncogene family
49	AEBP1	NM_001129	AE binding protein 1
50	SPUVE	NM_007173	Protease, serine, 23
51	NCOR2	NM_006312	Nuclear receptor co-repressor 2
52	DRG1	NM_004147	Developmentally regulated GTP binding protein 1
53	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
54	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
55	TBX2	AK001031	T-box 2
56	TNFAIP3	NM_006290	Tumor necrosis factor, alpha-induced protein 3
57	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
58	KLF16	NM_031918	Kruppel-like factor 16
59	FLJ23091	NM_024911	Hypothetical protein FLJ23091
60	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
61	MGC3047	NM_032348	Hypothetical protein MGC3047
62	DCN	NM_001920	Decorin
63	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
64	AK025719	AK025719	Homo sapiens cDNA: FLJ22066 fis, clone HEP10611
65	MGC4677	NM_052871	Hypothetical protein MGC4677
66	K-ALPHA-1	NM_006082	Tubulin, alpha, ubiquitous
67	CDH2	NM_001792	Cadherin 2, type 1, N-cadherin (neuronal)
68	KIAA1247	AB033073	Similar to glucosamine-6-sulfatases
69	TCOF1	NM_000356	Treacher Collins-Franceschetti syndrome 1
70	PHEMX	NM_005705	Pan-hematopoietic expression
71	TCF3	M31523	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
72	AK021982	AK021982	Homo sapiens cDNA FLJ11920 fis, clone HEMBB1000312
73	SCGF	NM_002975	Stem cell growth factor; lymphocyte secreted C-type lectin
