Affymetrix Probe Set	Difference Call	X of 36	Gene Name
U35139	D	31	Necdin-related protein
M92357	D	29	B94 protein tumor necrosis factor inducible gene
Z84718	D	29	DNA sequence from clone 322B1 on chromosome 22q11–12
U29607	I	28	Methionine aminopeptidase
M35252	D	27	CO-029 tumor-associated antigen
U49973	I	27	Tigger1 transposable element
Z18951	D	27	Caveolin
L13720	D	27	Growth-arrest–specific protein (gas)
M63488	D	27	Replication protein A 70-kDa subunit
S80343	D	27	ArgRS (arginyl-tRNA synthetase)
U30521	D	27	P311 HUM (3.1)
M12529	D	25	Apolipoprotein E
M93056	D	25	Monocyte/neutrophil elastase inhibitor
J02973	D	25	Thrombomodulin gene
D49493	D	25	BMP3b
M29551	D	25	Calcineurin A2
U15131	D	25	p126 (ST5)
U70663	D	25	Zinc finger transcription factor hEZF (EZF)
