GenBank accession	Gene name	Chromosome	Fold difference (T versus N) GC	Fold difference (T versus N) RT-PCR 1	Fold difference (T versus N) RT-PCR 2	Function
D10667	Smooth muscle myosin heavy chain	16q12	-8431			Vascular/endothelial
M55153	Transglutaminase 2 ()	20q12	-4136			Vascular/endothelial
K02215	Angiotensinogen	1q42-q43	-200			Vascular/endothelial
D00654	Enteric smooth muscle gamma-actin	2p13.1	-188			Vascular/endothelial
AF001548	Myosin heavy chain	16p13.13-p13.12	-160			Vascular/endothelial
M10321	von Willebrand factor precursor	12p13.3	-9.2			Vascular/endothelial
M25897	Platelet factor 4	4q12-q21	-8.4			Vascular/endothelial
M31210	Edg-1 endothelial sphingolipid G-protein-coupled receptor	1p21	-7.4	2.5	2	Vascular/endothelial
L34657	Platelet/endothelial cell adhesion molecule CD31 antigen	17q23	-5.4			Vascular/endothelial
AF004327	Angiopoietin 2	8p23.1	-5.3			Vascular/endothelial
X60957	Tie receptor tyrosine kinase	1p34-p33	-4.5			Vascular/endothelial
AF035121	KDR/flk-1	4q11-q12	-3.8			Vascular/endothelial
U83508	Angiopoietin 1	8q22.3-q23	-3.7			Vascular/endothelial
S81914	Immediate early response IEX-1	6p21.3	-9.0			Apoptotic
U27467	Bfl-1 (BCL2-related)	15q24.3	-4.8			Apoptotic
Y13620	Bcl9	1q21	-3.4			Apoptotic
AF005775	Caspase-like apoptosis regulator 2	2q33-q34	-3.4			Apoptotic
U04636	Cyclooxygenase-2	1q25.2-q25.3	-8.9			Hypoxia/stress
M60165	Guanine nucleotide-binding regulatory protein Go-alpha ()	6p21.3	-24			Hypoxia/stress
M63488	Replication protein A, 70-kd subunit	17p13.3	3.5			Hypoxia/stress
L07493	Replication protein A3, 14 kd	7p22	12			Hypoxia/stress
X54131	Protein tyrosine phosphatase, receptor type, B	12q15-q21	-131			Leukocytic
M28130	Interleukin 8	4q13-q21	-44			Leukocytic
X68149	Burkitt lymphoma receptor 1 (chemokine receptor)	11	-8.6			Leukocytic
J04164	Interferon-induced transmembrane protein 1	11	-7.2			Leukocytic
L10717	IL2-inducible T-cell kinase	5q31-q32	-6.6			Leukocytic
X52425	Interleukin 4 receptor	16p11.2-12.1	-4.8			Leukocytic
M32334	ICAM-2	17q23-q25	-4.6			Cytoskeletal/ECM
U59289	Cadherin 13	16q24.2-q24.3	-4.5			Cytoskeletal/ECM
M25280	Selectin L	1q23-q25	-4.4			Cytoskeletal/ECM
D88799	Cadherin		-4.1			Cytoskeletal/ECM
U01828	Microtubule-associated protein 2	2q34-q35	-3.9			Cytoskeletal/ECM
U27193	Map kinase phosphatase hVH-5	11p15.5	-32			Growth
U12535	EGF Kinase substrate Eps8	12q23-q24	-13			Growth
D14134	RAD51 homolog	15q15.1	-10			Growth
X59065	Fibroblast growth factor 1	5q31	-7.4			Growth
U26710	EGF ubiquitin protein ligase cbl-b	3q	-4.3			Growth
L19182	MAC25/IGFBP-7 ()	4q12	-3.8			Growth
L77886	Protein tyrosine phosphatase, receptor type, K	6q22.2-23.1	-3.4			Growth
L37882	Frizzled (Wnt receptor)	17q21.1	3.7			Growth
X77794	Cyclin G1	5q32-q34	3.9			Growth
M94250	Midkine	11p11.2	6	4.3	4	Growth
S75174	E2F transcription factor 4	16q21-q22	6.2	4.1	3.9	Growth
NA	Tc21 (ras-like)	11p15.3-p15.1	8.1			Growth
U10564	Wee1 tyrosine kinase	21q22.3	18	12	8.9	Growth
M21535	Ets-related, erg	1	-11	-2.5	-2.5	Transcription
L19779	H2A histone family, member O	21q22.2	-10	-10	-11	Transcription
J04102	Ets-2A	6q22-q23	-7.2			Transcription
U22376	C-myb	6q13	-3.6			Transcription
D10995	Serotonin receptor 1B	15	-69			Miscellaneous
X96753	Melanoma-associated chondroitin sulfate proteoglycan 4	14q24.1	-9.2			Miscellaneous
L26336	Heat shock 70kD protein 2	3p26-p25	-5.3			Miscellaneous
D26070	Inositol 1,4,5-triphosphate receptor, type 1	3q21-q25	-4.5			Miscellaneous
M90657	Tumor Antigen L6	16q13	-4			Miscellaneous
J03910	Metallothionein 1G	13q12-q13	-3.9			Miscellaneous
U50534	Human BRCA2 region mRNA sequence CG003	19q13.1-q13.2	-3.9			Miscellaneous
M29540	Carcinoembryonic antigen	14q13.1	-3.8			Miscellaneous
X00737	Purine nucleoside phosphorylase	19p13.1	-3.6			Miscellaneous
X12794	Orphan hormone receptor ear-2	1q21	7.3	4	3.8	Miscellaneous
X82153	Cathepsin K		70	11	11	Miscellaneous
