Gene ontology (%)	Accession no.	Description	Ratio
Cellular metabolism (31.6%)	NM_030965	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	3943.41
Cellular metabolism (31.6%)	NM_022969	fibroblast growth factor receptor 2	684.03
Cellular metabolism (31.6%)	AU152837	Sal-like 1 (Drosophila)	312.29
Cellular metabolism (31.6%)	NM_007287	membrane metallo-endopeptidase	73.38
Cellular metabolism (31.6%)	BF589322	R-spondin 3 homolog (Xenopus laevis)	70.16
Signal transduction (17.8%)	NM_001200	bone morphogenetic protein 2	68.96
Signal transduction (17.8%)	NM_000710	bradykinin receptor B1	48.96
Signal transduction (17.8%)	R72286	microfibrillar-associated protein 4	32.4
Signal transduction (17.8%)	NM_004114	fibroblast growth factor 13	28.15
Signal transduction (17.8%)	BE218107	EPH receptor A5	25.68
Transcription factor (11.5%)	AJ277914	LIM homeobox 9	25.01
Transcription factor (11.5%)	NM_001452	forkhead box F2	18.08
Transcription factor (11.5%)	AA705845	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	17.16
Transcription factor (11.5%)	BG261252	ecotropic viral integration site 1	11.58
Transcription factor (11.5%)	NM_020327	activin A receptor, type IB	9.32
Protein modification (7.9%)	AF245505	matrix-remodelling associated 5	57.89
Protein modification (7.9%)	AA725644	ubiquitin specific peptidase 42	18.73
Protein modification (7.9%)	NM_001982	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	11.34
Protein modification (7.9%)	AV727260	protein tyrosine phosphatase, receptor type, D	10.93
Protein modification (7.9%)	NM_002570	proprotein convertase subtilisin/kexin type 6	9.83
Cell differentiation (6.2%)	NM_000641	interleukin 11	17.51
Cell differentiation (6.2%)	BC006454	growth arrest-specific 7	15.2
Cell differentiation (6.2%)	M69148	midkine (neurite growth-promoting factor 2)	14.03
Cell differentiation (6.2%)	NM_003991	endothelin receptor type B	10.85
Cell differentiation (6.2%)	AI758962	EPH receptor A4	7.15
Cell adhesion (5.9%)	NM_001999	fibrillin 2	1035.17
Cell adhesion (5.9%)	NM_014893	neuroligin 4, Y-linked	68.62
Cell adhesion (5.9%)	AI694562	collagen, type IV, alpha 3	22.21
Cell adhesion (5.9%)	NM_005864	embryonal Fyn-associated substrate	8.44
Cell adhesion (5.9%)	AU146651	collagen, type XII, alpha 1	4.89
Cell cycle (5.9%)	NM_014059	chromosome 13 open reading frame 15	28.4
Cell cycle (5.9%)	M19701	retinoblastoma 1 (including osteosarcoma)	4.93
Cell cycle (5.9%)	NM_002009	fibroblast growth factor 7	4.44
Cell cycle (5.9%)	NM_014703	Vpr (HIV-1) binding protein	3.92
Cell cycle (5.9%)	AI983033	DEAD/H box polypeptide 12	3.91
Cell motility (4.7%)	NM_002784	pregnancy specific beta-1-glycoprotein 9	69.22
Cell motility (4.7%)	X99268	twist homolog 1	5.45
Cell motility (4.7%)	NM_015180	spectrin repeat containing, nuclear envelope 2	3.81
Cell motility (4.7%)	AI990816	laminin, alpha 1	3.59
Cell motility (4.7%)	N90777	neuropilin 2	3.57
Cell proliferation (4.5%)	NM_016931	NADPH oxidase 4	5.79
Cell proliferation (4.5%)	AF064826	glypican 4	4.31
Cell proliferation (4.5%)	NM_004525	low density lipoprotein-related protein 2	3.85
Cell proliferation (4.5%)	NM_001963	epidermal growth factor (beta-urogastrone)	3.7
Cell proliferation (4.5%)	AF064103	CDC14 cell division cycle 14 homolog A	3.67
Apoptosis (4.0%)	NM_006850	interleukin 24	25.27
Apoptosis (4.0%)	NM_002135	nuclear receptor subfamily 4, group A, member 1	5.48
Apoptosis (4.0%)	NM_003823	tumor necrosis factor receptor superfamily	4.59
Apoptosis (4.0%)	AJ301610	glutamate receptor, ionotropic, kainate 2	3.92
Apoptosis (4.0%)	NM_005809	peroxiredoxin 2	3.9
