Acc. no.a	Symbol	Gene name	Fold changeb	Biological processc
AL578517	RAI3	Retinoic acid induced 3	7.0+/-3.4	Signal Transduction
AA128249	FABP4	Fatty acid-binding protein 4, adipocyte	4.5+/-3.0	Transport
N92185	NR4A1	Nuclear receptor subfamily 4	4.5+/-0.7	Signal Transduction
W68191	CLU	Clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)	4.0+/-1.6	Metabolism
H48072	COX6A1	Cytochrome c oxidase subunit via polypeptide 1	3.6+/-1.7	Metabolism
AA001324	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	3.1+/-0.8	Cell Proliferation/Metabolism
BG565696	PRDX1	Peroxiredoxin 1	2.6+/-0.8	Cell Proliferation/Organogenesis
BM263733	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c	2.5+/-0.9	Signal Transduction/Transport
R14058	PRKCB1	Protein kinase C, beta 1	2.5+/-0.1	Signal Transduction/Metabolism
AA041319	GDI1	GDP dissociation inhibitor 1	2.4+/-0.4	Signal Transduction/Transport
AA133258	HADHB	Hydroxyacyl-coenzyme A dehydrogenase/3-ketoacyl coenzyme A thiolase/enoyl-coenzyme A hydratase (trifunctional protein), b subunit	2.4+/-0.4	Metabolism
R09570	POLR2L	Polymerase (RNA) II (DNA directed) polypeptide L (7.6 kDa)	2.3+/-1.0	Metabolism
H53667	GSTP1	Glutathione S-transferase pi	2.3+/-1.1	Organogenesis
R59926	PACE	Paired basic amino acid cleaving enzyme (furin, membrane-associated receptor protein)	2.3+/-1.4	Metabolism
W39107	ARHA	Ras homolog gene family, member A	2.2+/-0.8	Signal Transduction/Cell Organization and Biogenesis
BI666621	NME1	Nonmetastatic cells 1, protein (NM23A) expressed in domains proteoglycan (testican) group A, member (subunit 9) isoform 3 pathways	2.1+/-1.2	Cell Proliferation/Metabolism
W67766	PSAP	Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	2.1+/-0.3	Transport/Metabolism/Cell Organization and Biogenesis
H74119	SEC61B	Protein translocation complex beta	2.1+/-0.9	Transport/Metabolism
H16888	PCMT1	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	2.0+/-0.6	Metabolism
BM263123	GGT1	Gamma-glutamyltransferase 1	2.0+/-1.1	Signal Transduction/Transport
R32131	IGF2	Insulin-like growth factor 2 (somatomedin A)	2.0+/-1.2	Signal Transduction/Cell Proliferation/Metabolism/Organogensis/Cell Organization and Biogenesis
AI093233	SPOCK	Sparc/osteonectin, cwcv and kazal like	1.9+/-2.9	Cell Proliferation/Organogenesis
AA136789	S100P	S100 calcium-binding protein P	4.3+/-2.0	NA
H50992	SERPINB2	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	3.6+/-1.6	NA
H91613	MT2A	Metallothionein 2A	2.8+/-3.8	NA
AI762390	KIAA1228	KIAA1228 protein	2.6+/-0.8	NA
W24688	IFI30	Interferon, gamma-inducible protein 30	2.5+/-0.6	NA
W04882	CETN2	Centrin, EF-hand protein, 2	2.5+/-0.1	NA
AA056280	SAT	Spermidine/spermine N1-acetyltransferase	2.4+/-0.8	NA
BE874451	NA	EST	2.3+/-0.4	NA
N77716	QP-C	Low molecular mass ubiquinone-binding protein (9.5 kDa)	2.0+/-0.2	NA
AA047157	KAI1	Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4))	2.0+/-1.3	NA
