Down-regulation (Z score)	Gene	Common	GeneBank	Description
10.754	1556873_at	RKHD2	BC032952	Homo sapiens hypothetical protein LOC51320, mRNA (cDNA clone IMAGE:4828930), partial cds.
9.409	242832_at	PER1	AI743776	period homolog 1 (Drosophila)
7.904	205239_at	AREG	NM_001657	amphiregulin (schwannoma-derived growth factor)
7.348	230380_at	DKFZP564I0422	AW235671	hypothetical protein DKFZp564I0422
7.322	225557_at	AXUD1	AI091372	AXIN1 up-regulated 1
7.219	37028_at	PPP1R15A	U83981	protein phosphatase 1, regulatory (inhibitor) subunit 15A
7.182	206877_at	MAD	NM_002357	MAX dimerization protein 1
7.154	230511_at	CREM	AI800640	cAMP responsive element modulator
6.929	202768_at	FOSB	NM_006732	FBJ murine osteosarcoma viral oncogene homolog B
6.872	225951_s_at	CHD2	AV756026	chromodomain helicase DNA binding protein 2
6.75	212225_at	SUI1	AL516854	putative translation initiation factor
6.721	220046_s_at	CCNL1	NM_020307	cyclin L1
6.65	204622_x_at	NR4A2	NM_006186	nuclear receptor subfamily 4, group A, member 2
6.564	204621_s_at	NR4A2	AI935096	nuclear receptor subfamily 4, group A, member 2
6.554	216248_s_at	NR4A2	S77154	nuclear receptor subfamily 4, group A, member 2
6.42	202014_at	PPP1R15A	NM_014330	protein phosphatase 1, regulatory (inhibitor) subunit 15A
6.361	227558_at	CBX4	AI570531	chromobox homolog 4 (Pc class homolog, Drosophila)
6.348	219228_at	ZNF331	NM_018555	zinc finger protein 331
6.341	230233_at	RASGEF1B	BF110534	RasGEF domain family, member 1B
6.253	242904_x_at	MGC8721	AI351653	qr06h10.x1 Soares_total_fetus_Nb2HF8_9w Homo sapiens cDNA clone IMAGE:1940131 3 similar to contains MER22.t1 TAR1 repetitive element ;, mRNA sequence.
6.036	217741_s_at	ZNF216	AW471220	zinc finger protein 216
5.991	209959_at	NR4A3	U12767	Human mitogen induced nuclear orphan receptor (MINOR) mRNA, complete cds.
5.973	1555832_s_at		BU683415	MRNA; cDNA DKFZp564C2063 (from clone DKFZp564C2063)
5.961	204286_s_at	PMAIP1	NM_021127	phorbol-12-myristate-13-acetate-induced protein 1
5.929	222408_s_at	CGI-127	BC000836	yippee protein
5.914	209967_s_at	CREM	D14826
5.703	1559975_at	BTG1	BC009050	Hypothetical protein LOC256021 (LOC256021), mRNA
5.688	218723_s_at	RGC32	NM_014059	response gene to complement 32
5.677	204285_s_at	PMAIP1	AI857639	phorbol-12-myristate-13-acetate-induced protein 1
5.582	214508_x_at	CREM	U44836	cAMP responsive element modulator
5.58	224606_at		BG250721	602363024F1 NIH_MGC_90 Homo sapiens cDNA clone IMAGE:4471541 5, mRNA sequence.
5.519	211999_at	H3F3B	Z48950	H.sapiens hH3.3B gene for histone H3.3.
5.513	207630_s_at	CREM	NM_001881	cAMP responsive element modulator
5.505	207978_s_at	NR4A3	NM_006981	nuclear receptor subfamily 4, group A, member 3
5.43	227613_at		AW450874	Full length insert cDNA clone YZ93G08
5.411	201464_x_at	JUN	BG491844	v-jun sarcoma virus 17 oncogene homolog (avian)
5.402	231182_at	WASPIP	BF446719	Wiskott-Aldrich syndrome protein interacting protein
5.307	217783_s_at	CGI-127	NM_016061	yippee protein
5.267	222044_at	C20orf67	AI199589	chromosome 20 open reading frame 67
5.241	210837_s_at	PDE4D	AF012074	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
5.096	214290_s_at	HIST2H2AA	AI313324	ta77f02.x2 NCI_CGAP_HSC2 Homo sapiens cDNA clone IMAGE:2050107 3 similar to gb:L19779 HISTONE H2A.1 (HUMAN);, mRNA sequence.
5.091	212130_x_at	SUI1	AL537707	putative translation initiation factor
5.054	238633_at	EPC1	W93523	enhancer of polycomb homolog 1 (Drosophila)
5.051	208078_s_at	TCF8	NM_030751	transcription factor 8 (represses interleukin 2 expression)
5.019	208961_s_at	COPEB	AB017493	core promoter element binding protein
4.97	224569_s_at	IRF2BP2	AW242432	interferon regulatory factor 2 binding protein 2
4.956	208706_s_at	EIF5	AK026933	eukaryotic translation initiation factor 5
4.926	221841_s_at	KLF4	BF514079	Kruppel-like factor 4 (gut)
4.874	213538_at	SON	AI936458	SON DNA binding protein
4.851	218611_at	IER5	NM_016545	immediate early response 5
4.851	212227_x_at	SUI1	W67644	putative translation initiation factor
4.846	209510_at	RNF139	AF064801	ring finger 139
4.836	202643_s_at	TNFAIP3	AI738896	tumor necrosis factor, alpha-induced protein 3
4.793	202021_x_at	SUI1	AF083441	putative translation initiation factor
4.768	209795_at	CD69	L07555	CD69 antigen (p60, early T-cell activation antigen)
4.731	222669_s_at	SBDS	AK001779	Shwachman-Bodian-Diamond syndrome
4.728	202146_at	IFRD1	AA747426	interferon-related developmental regulator 1
4.727	208960_s_at	COPEB	BE675435	core promoter element binding protein
4.668	202497_x_at	SLC2A3	AI631159	solute carrier family 2 (facilitated glucose transporter), member 3
4.652	228098_s_at	MYLIP	AW292746	myosin regulatory light chain interacting protein
