Gene Symbol	ABI probe	Gene name	CT tumour (avg.)	CT normal (avg.)	Paired t-test p
GDF10	Hs.00192033	Growth differentiation factor 10	17.32	13.35	0.0012
CDC2	Hs.00364293	Cell division cycle 2, G1 to S and G2 to M	15.32	15.64	0.0425
PAK1	Hs.00176815	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	14.24	14.77	0.0298
VWF	Hs.00169795	von Willebrand factor	12.3	9.66	0.0023
PTPRB	Hs.00160781	Protein tyrosine phosphatase, receptor type, B	14.09	10.55	0.0001
13CDNA73	Hs.00224921	Hypothetical protein CG003	14.54	13.41	0.2545
RASGRF1	Hs.00182314	Ras protein-specific guanine nucleotide-releasing factor 1	14.76	11.95	0.0137
CDH5	Hs.00174344	Cadherin 5, type 2, VE-cadherin (vascular epithelium)	13.2	9.71	0.0001
RAMP2	Hs.00237194	Receptor (calcitonin) activity modifying protein 2	13.89	9.74	0.0002
NME1	Hs.00264824	Non-metastatic cells 1, protein (NM23A) expressed in	11.23	12.05	0.0001
SERPINB5	Hs.00184728	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5	17.07	17.54	0.1799
CCNE1	Hs.00233356	Cyclin E1	15.99	17.22	0.001
HCK	Hs.00176654	Hemopoietic cell kinase	12.66	11.29	0.3611
NULL	Hs.00405524	KIAA1102 protein	10.78	8.49	0.0082
LDB2	Hs.00609711	LIM domain binding 2	12.4	9.52	0.0011
CCNB1	Hs.00259126	Cyclin B1	14.87	16	0.0024
TFAP2A	Hs.00231461	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	17.59	19.32	0.0086
TCF21	Hs.00162646	Transcription factor 21	14.34	10.81	0.0014
TTK	Hs.00177412	TTK protein kinase	15.13	16.34	0.0082
DLC1	Hs.00183436	Deleted in liver cancer 1	12.21	9.34	0.0021
TEK	Hs.00176096	TEK tyrosine kinase, endothelial	14.73	10.86	0
MAOB	Hs.00168533	Monoamine oxidase B	14.59	12.39	0.0459
FIGF	Hs.00189521	c-fos induced growth factor (vascular endothelial growth factor D)	15.73	11.65	0.0025
KAL1	Hs.00608006	Kallmann syndrome 1 sequence	13.37	10.49	0.00005
