Probe set	Gene Symbol	Accession	Entrez Gene ID	Cytoband	p-value
226018_at	C7orf41	W73230	222166	7p15.1	6,08E-09
227801_at	TRIM59	N90779	286827	3q26.1	2,28E-08
226206_at	MAFK	BG231691	7975	7p22.3	5,36E-08
204891_s_at	LCK	NM_005356	3932	1p34.3	8,65E-08
224367_at	BEX2	AF251053	84707	Xq22	8,83E-08
233173_x_at	GTF3C5	AK000194	9328	9q34	3,71E-07
205347_s_at	MGC39900 /// TMSB15A	NM_021992	11013	Xq21.33-q22.3 /// Xq22.2	4,68E-07
203244_at	PEX5	NM_000319	5830	12p13.31	8,91E-07
209706_at	NKX3-1	AF247704	4824	8p21	1,20E-06
210365_at	RUNX1	D43967	861	21q22.3	1,30E-06
205831_at	CD2	NM_001767	914	1p13	1,32E-06
209670_at	TRAC	M12959	28755	14q11	3,25E-06
200677_at	PTTG1IP	NM_004339	754	21q22.3	3,43E-06
225699_at	C7orf40	AI937446	285958	7p13	5,38E-06
1561195_at	NA	AL832142	7107	NA	9,96E-06
217876_at	GTF3C5	NM_012087	9328	9q34	1,09E-05
221970_s_at	NOL11	AU158148	25926	17q24.2	1,33E-05
224876_at	C5orf24	AV707506	134553	5q31.1	1,53E-05
230664_at	H2BFM /// H2BFXP	H09657	286527	Xq22.2	2,68E-05
204890_s_at	LCK	U07236	3932	1p34.3	3,65E-05
226863_at	FAM110C	AI674565	NA	2p25.3	3,97E-05
203402_at	KCNAB2	AL520102	8514	1p36.3	4,11E-05
227069_at	NA	AA806989	NA	NA	4,23E-05
243888_at	NA	AI610684	NA	NA	5,98E-05
236114_at	NA	AI798118	861	NA	6,23E-05
222396_at	HN1	AF060925	51155	17q25.1	7,62E-05
209359_x_at	RUNX1	L34598	861	21q22.3	8,03E-05
230391_at	NA	BF439449	NA	NA	8,08E-05
213134_x_at	BTG3	AI765445	10950	21q21.1-q21.2	8,20E-05
208788_at	ELOVL5	AL136939	60481	6p21.1-p12.1	8,46E-05
212493_s_at	SETD2	AI761110	29072	3p21.31	8,67E-05
34406_at	PACS2	AB011174	23241	14q32.33	8,77E-05
218803_at	CHFR	NM_018223	55743	12q24.33	9,02E-05
