p-rank	p-value	mean: ADL	mean: EML	mean: NML	Affy Probe set	Description	Genbank ID	ADL/ NML	EML/ NML
1	5.60E-06	203.7	270.5	874.5	L17075_s_at	activin A receptor type II-like 1	L17075	0.23	0.31
2	3.31E-05	273.9	183.3	374.1	U76366_s_at	Treacher Collins-Franceschetti syndrome 1	U76366	0.73	0.49
3	4.54E-05	1238.4	1220.6	1913.9	L38932_at	beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)	L38932	0.65	0.64
4	5.15E-05	346.9	184	180	X83572_at	arylsulfatase D	X83572	1.93	1.02
5	7.09E-05	950.9	993.4	2042	L02426_at	proteasome (prosome, macropain) 26S subunit, ATPase, 1	L02426	0.47	0.49
6	7.10E-05	302.3	416.9	774.8	M25077_at	Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	M25077	0.39	0.54
7	8.99E-05	1168.1	1258.6	1749.3	U51336_at	inositol 1,3,4-triphosphate 5/6 kinase	U51336	0.67	0.72
8	0.00013	288.1	313.7	586.2	U59309_at	fumarate hydratase	U59309	0.49	0.54
9	0.000139	375.2	362.4	524.7	U09303_at	ephrin-B1	U09303	0.72	0.69
10	0.000146	267.9	382	668.8	L19183_at	hypothetical protein MAC30	L19183	0.4	0.57
11	0.000154	405.5	472.7	609.6	U43286_at	selenophosphate synthetase 2	U43286	0.67	0.78
12	0.000155	1588.4	1103.3	2243.8	U30999_at	activated leukocyte cell adhesion molecule	U30999	0.71	0.49
13	0.000171	1255.9	928.5	617.7	X98507_at	myosin IC	X98507	2.03	1.5
14	0.000206	1085.2	1365.8	1878.6	D14694_at	phosphatidylserine synthase 1	D14694	0.58	0.73
15	0.000218	263.5	265.2	417.5	U24266_at	aldehyde dehydrogenase 4 family, member A1	U24266	0.63	0.64
16	0.000233	1686.9	1642.6	2934.3	X91257_at	seryl-tRNA synthetase	X91257	0.57	0.56
17	0.000272	604.4	797.9	1160.9	M64992_at	proteasome (prosome, macropain) subunit, alpha type, 1	M64992	0.52	0.69
18	0.000279	329.8	377	767.8	L07758_at	nuclear phosphoprotein similar to S. cerevisiae PWP1	L07758	0.43	0.49
19	0.000293	295.6	432.3	461.7	HG511-HT511_at	Ras Inhibitor Inf	HG511-HT511	0.64	0.94
20	0.000324	658.6	768.1	957.1	U57877_at	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	U57877	0.69	0.8
21	0.000333	690.1	842.8	1303.1	D44466_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	D44466	0.53	0.65
