Accession no.	Symbol	Name	p Value	Fold expression, NED/recurrent disease
NM_033520	IMUP	Immortalization-upregulated protein	0.00070279	6.69
NM_000612	IGF2	Insulin-like growth factor 2 (somatomedin A)	0.000194793	2.65
NM_014578	ARHD	ras Homolog gene family, member D	0.000268188	2.61
NM_017854	FLJ20512	Hypothetical protein FLJ20512	5.34E-05	2.49
NM_016243	CYB5R1	Cytochrome b5 reductase 1 (B5R.1)	8.91E-06	2.11
NM_004087	DLG1	Discs, large homolog 1 (Drosophila)	0.000132754	2.02
NM_172373	ELF1	E74-like factor 1 (ets domain transcription factor)	1.75E-05	2.01
NM_017857	SSH-3	Slingshot 3	0.000704134	1.87
NM_015994	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	0.000349592	1.78
NM_005817	M6PRBP1	Mannose-6-phosphate receptor binding protein 1	0.000651834	1.73
NM_012142	CCNDBP1	Cyclin D-type binding-protein 1	0.000626744	1.73
NM_024496	C14orf4	Chromosome 14 open reading frame 4	0.000599696	1.71
NM_003259	ICAM5	Intercellular adhesion molecule 5, telencephalin	8.81E-06	1.7
NM_004656	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	3.70E-05	1.69
NM_170707	LMNA	Lamin A/C	3.94E-05	1.67
NM_006870	DSTN	Destrin (actin depolymerizing factor)	0.000421897	1.66
D31886	RAB3GAP	RAB3 GTPase-ACTIVATING PROTEIN	0.000379377	1.63
NM_198974	PTK9	PTK9 protein tyrosine kinase 9	6.26E-05	1.63
NM_012295	CABIN1	Calcineurin binding protein 1	0.000172591	1.63
NM_001001	RPL36AL	Ribosomal protein L36a-like	5.12E-05	1.62
