Function	GenBank Accession No.	Gene Name	Expression Ratio (JP-8/control)	P Value
Cell growth	 U30186	DNA damage–inducible transcript 3 (Alrp)	0.6	0.025
Cell growth	 U50736	Ankyrin-like repeat protein (Ddit3)	0.5	0.026
Chaperones, heat shock response	 M80829	Cardiac isoform; rat troponin T cardiac isoform gene (Tnnt2)	0.5	0.025
Chaperones, heat shock response	 AF006617	Stress 70 protein chaperone, microsome-associated (Stch)	0.5	0.031
Chaperones, heat shock response	 X54793	Heat shock protein 60 (liver) (Hsp60)	0.5	0.018
Chaperones, heat shock response	 AI104388	Heat shock 27-kD protein (Hspb1)	0.6	0.04
Antioxidant-related	 S67900	Fru 6-P,2-kinase (6-PF-2-K)	1.9	0.038
Antioxidant-related	 U75927	Rattus norvegicus cytochrome oxidase subunit VIIa (Cox7a)	1.7	0.027
Antioxidant-related	 AA955167	Myristoylated alanine-rich protein kinase C substrate (Marcks)	1.6	0.05
Antioxidant-related	 AA818226	Cytochrome c oxidase, subunit 4a (Cox4a)	0.6	0.025
Antioxidant-related	 L38437	NADH ubiquinone oxidoreductase subunit (IP13)	0.6	0.033
Antioxidant-related	 AA891873	ATPase inhibitor (Atpi)	0.6	0
Antioxidant-related	 M24542	Rieske Fe-S protein precursor (Uqcrfs)	0.5	0.043
Antioxidant-related	 D86215	NADH dehydrogenase 1 alpha subcomplex 5 (Ndufa5)	0.5	0.012
Antioxidant-related	 AI235344	Geranylgeranyltransferase type I (GGTase-I) (Pggt1b)	0.5	0.039
Antioxidant-related	 D10952	Cytochrome c oxidase subunit Vb (Cox5b)	0.5	0.016
Antioxidant-related	 U32314	Pyruvate carboxylase (Pc)	0.4	0.016
Antioxidant-related	 D90109	Fatty acid Coenzyme A ligase, long chain 2 (Facl2)	0.4	0.021
Antioxidant-related	 M95591	Farnesyl diphosphate farnesyl transferase 1 (Fdft1)	0.4	0.02
Antioxidant-related	 X64827	Cytochrome c oxidase subunit VIII-H (heart/muscle) (Cox8h)	0.3	0.035
Antioxidant-related	 U40836	Cytochrome oxidase subunit VIII (CCO8A)	0.3	0.021
Antioxidant-related	 K03243	Phosphoenolpyruvate carboxykinase (GTP)	0.1	0.034
Extracellular matrix, cytoskeleton	 U75405	Collagen, type 1, alpha 1 (Col1a1)	0.5	0.007
Extracellular matrix, cytoskeleton	 M92074	Troponin 1, type 3 (Tnni3)	0.5	0.001
Extracellular matrix, cytoskeleton	 AA891242	ESTs, weakly similar to rat Myosin regulatory light chain 2	0.5	0.012
Extracellular matrix, cytoskeleton	 X51531	Atrial myosin light chain 1 (AA 1-193)	0.3	0.001
Cell signaling, ligands	 AI639074	ESTs, weakly similar to POL2 mouse	2.6	0.022
Cell signaling, ligands	 M93661	Notch gene homolog 2, (Drosophila) (Notch2)	1.9	0.045
Cell signaling, ligands	 M36453	Inhibin alpha, (Inha)	1.6	0.048
Cell signaling, ligands	 X01118	Natriuretic peptide precursor type A (Nppa)	0.2	0.014
Mitochondrial	 X03894	Uncoupling protein 1	0.2	0.025
Mitochondrial	 A04674	Adipose tissue mitochondrial mRNA for uncoupling protein	0.5	0.015
Unclassified	 AI639364	Rattus norvegicus cDNA clone rx03955 3prime	1.6	0.006
Unclassified	 AA799641	ESTs, highly similar to tumor differentially expressed 1	1.6	0.006
Unclassified	 AJ007291	Fertility protein (SP22)	0.6	0.048
Unclassified	 AI178207	Ribosomal protein S21 (Rsp21)	0.6	0.029
Unclassified	 AI639170	ESTs	0.6	0.033
Unclassified	 D89730	T16 mRNA, (T16)	0.6	0.016
Unclassified	 AA875509	ESTs, moderately similar to S15349 mdm2 protein—mouse	0.6	0.013
Unclassified	 U82591	Putative c-Myc-responsive (Rcl)	0.6	0.044
Unclassified	 U47315	Brain protein 44-like (Brp44l)	0.6	0.049
Unclassified	 AI235758	Protein kinase, type II beta (Prkar2b)	0.6	0.03
Unclassified	 AF071225	Cyclophilin B	0.6	0.029
Unclassified	 K03045	Rat retinol-binding protein gene, exon 5 (RBP)	0.6	0.043
Unclassified	 L03382	Rat phospholamban gene exon 2 (Plm)	0.5	0.028
Unclassified	 AI104679	ESTs, moderately similar to RIKEN 2310016K22 (M. musculus)	0.5	0.043
Unclassified	 J02773	Fatty acid binding protein 3 (Fabp3)	0.5	0.025
Unclassified	 AA799499	ESTs, moderately similar to RIKEN 2700033I16 (M. musculus)	0.5	0.015
Unclassified	 M10934	Rat retinol-binding protein (RBP) mRNA, partial cds (Rbp4)	0.4	0.026
Unclassified	 M92059	Adipsin (And)	0.4	0.031
Unclassified	 AI169612	Fatty acid binding protein 4 (Fabp4)	0.3	0.026
Unclassified	 U67914	Carboxypeptidase A3 (Cpa3)	0.3	0.045
Unclassified	 E00903	DAN encoding rat atrial natriuretic factor (ANF)	0.2	0.031
Unclassified	 E00775	cDNA encoding rat cardionatrin precursor	0.2	0.025
Unclassified	 U00964	Common salivary protein 1 (LOC171161)	0.2	0.03
Unclassified	 K01934	Rat hepatic product spot 14, gene and flanks (Thrsp)	0.2	0.012
