Gene Symbol	Entrez	NKI295ProbeID	Affy_HGU133A	CentroidMeta	CentroidNoMeta	Delta_Centroid	Gene Title	Pathway	Pathway Hyperlink	go biological process term	go molecular function term	go cellular component term
ASCC3L1 /// LOC652147	23020	AB018331	214982_at	0.070548793	0.066067866	0.004480927	activating signal cointegrator 1 complex subunit 3-like 1 /// similar to U5 snRNP-specific protein, 200 kDa	---	---	cis assembly of U2-type pre-catalytic spliceosome /// mRNA processing /// RNA splicing /// RNA splicing	nucleotide binding /// nucleic acid binding /// helicase activity /// protein binding /// ATP binding /// ATP binding /// ATP-dependent helicase activity /// ATP-dependent helicase activity /// hydrolase activity /// nucleoside-triphosphatase activity	nucleus /// spliceosome /// spliceosome /// snRNP U5
C16orf33	79622	Contig52526_RC	218493_at	0.050806141	-0.033619645	0.084425786	chromosome 16 open reading frame 33	---	---	mRNA processing /// protein modification process /// RNA splicing /// RNA splicing	---	nucleus /// spliceosome /// U12-dependent spliceosome
CIR	9541	NM_004882	209571_at	-0.031374838	-0.030184324	-0.001190514	CBF1 interacting corepressor	---	---	transcription /// regulation of transcription, DNA-dependent /// mRNA processing /// RNA splicing /// negative regulation of transcription, DNA-dependent	transcription factor activity /// transcription corepressor activity /// protein binding	histone deacetylase complex /// nucleus /// nucleus
DDX39	10212	NM_005804	201584_s_at	0.159293619	-0.13612334	0.295416959	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	Ribosomal_Proteins	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_Ribosomal_Proteins/Hs_Ribosomal_Proteins.htm	nuclear mRNA splicing, via spliceosome /// mRNA processing /// mRNA export from nucleus /// translation /// RNA splicing	tRNA binding /// nucleotide binding /// nucleic acid binding /// RNA binding /// structural constituent of ribosome /// ATP-dependent RNA helicase activity /// helicase activity /// protein binding /// ATP binding /// ATP-dependent helicase activity /// hydrolase activity	intracellular /// nucleus /// nucleus /// nucleus /// ribosome /// cytosolic large ribosomal subunit (sensu Eukaryota) /// ribonucleoprotein complex
EXO1	9156	NM_006027	204603_at	0.16738413	-0.035834238	0.203218368	exonuclease 1	---	---	DNA repair /// DNA repair /// nucleotide-excision repair /// mismatch repair /// mismatch repair /// mismatch repair /// mismatch repair /// mismatch repair /// DNA recombination /// DNA recombination /// immune response /// response to DNA damage stimulus /// meiosis	DNA binding /// DNA binding /// DNA binding /// nuclease activity /// endonuclease activity /// ribonuclease H activity /// exonuclease activity /// exonuclease activity /// protein binding /// 5-3 exonuclease activity /// 5-3 exonuclease activity /// hydrolase activity /// 5-3 exodeoxyribonuclease activity /// single-stranded DNA specific 5-3 exodeoxyribonuclease activity /// flap endonuclease activity /// double-stranded DNA specific 5-3 exodeoxyribonuclease activity	nucleus /// nucleus
FEN1	2237	NM_004111	204767_s_at	0.141705737	-0.083650922	0.225356659	flap structure-specific endonuclease 1	---	---	DNA replication /// DNA replication /// DNA replication /// DNA repair /// DNA repair /// DNA repair /// double-strand break repair /// UV protection /// phosphoinositide-mediated signaling	magnesium ion binding /// DNA binding /// DNA binding /// damaged DNA binding /// double-stranded DNA binding /// nuclease activity /// endonuclease activity /// endonuclease activity /// ribonuclease H activity /// exonuclease activity /// exonuclease activity /// protein binding /// double-stranded DNA specific exodeoxyribonuclease activity /// 5-3 exonuclease activity /// hydrolase activity /// 5-flap endonuclease activity /// manganese ion binding /// flap endonuclease activity /// flap endonuclease activity	nucleus /// nucleus
FLJ10292	55110	NM_018048	218894_s_at	0.131971523	-0.037679865	0.169651388	mago-nashi homolog 2	---	---	mRNA processing /// transport /// RNA splicing /// mRNA transport	RNA binding	nucleus
hCG_1641229 /// HNRPC /// HNRPCL1 /// LOC440563 /// LOC649330	3183	NM_004500	216302_at	0.002486502	-0.050723246	0.053209748	heterogeneous nuclear ribonucleoprotein C (C1/C2) /// heterogeneous nuclear ribonucleoprotein C-like 1 /// similar to Heterogeneous nuclear ribonucleoprotein C-like 1 (hnRNP core protein C-like 1) /// similar to Heterogeneous nuclear ribonucleoprotein C-like dJ845O24.4 (hnRNP core protein C-like) /// hCG1641229	mRNA_processing_Reactome	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_mRNA_processing_Reactome/Hs_mRNA_processing_Reactome.htm	nuclear mRNA splicing, via spliceosome /// mRNA processing /// RNA splicing /// RNA splicing	nucleotide binding /// nucleic acid binding /// RNA binding /// RNA binding /// protein binding /// identical protein binding	nucleus /// spliceosome /// spliceosome /// ribonucleoprotein complex
HNRPA1 /// LOC728844 /// LOC731172	3178	NM_002136	222040_at	0.017477534	0.017589116	-0.000111583	heterogeneous nuclear ribonucleoprotein A1 /// hypothetical protein LOC728844 /// hypothetical protein LOC731172	---	---	nuclear mRNA splicing, via spliceosome /// mRNA processing /// mRNA processing /// RNA export from nucleus /// RNA export from nucleus /// transport /// RNA splicing /// mRNA transport /// nuclear export /// nuclear import	nucleotide binding /// nucleic acid binding /// single-stranded DNA binding /// RNA binding /// RNA binding /// single-stranded RNA binding /// protein binding	nucleus /// nucleoplasm /// spliceosome /// spliceosome /// cytoplasm /// ribonucleoprotein complex /// heterogeneous nuclear ribonucleoprotein complex
HNRPA2B1	3181	NM_002137	205292_s_at	0.052440223	-0.068939264	0.121379487	heterogeneous nuclear ribonucleoprotein A2/B1	mRNA_processing_Reactome /// mRNA_processing_Reactome	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_mRNA_processing_Reactome/Hs_mRNA_processing_Reactome.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_mRNA_processing_Reactome/Hs_mRNA_processing_Reactome.htm	nuclear mRNA splicing, via spliceosome /// mRNA processing /// mRNA processing /// RNA splicing /// RNA transport	nucleotide binding /// nucleic acid binding /// RNA binding /// RNA binding /// RNA binding /// protein binding /// single-stranded telomeric DNA binding	nucleus /// spliceosome /// spliceosome /// ribonucleoprotein complex /// heterogeneous nuclear ribonucleoprotein complex
