Gene Symbol	Probe ID	Gene Name
CD74	M13560_s_at	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
CD79A	U05259_rna1_at	CD79A antigen (immunoglobulin-associated alpha)
CD81	M33680_at	CD81 antigen (target of antiproliferative antibody 1)
CXCR4	L06797_s_at	chemokine (C-X-C motif) receptor 4
CYBA	M21186_at	cytochrome b-245, alpha polypeptide
DUSP1	X68277_at	dual specificity phosphatase 1
FTL	M11147_at	ferritin, light polypeptide
GPX1	Y00433_at	glutathione peroxidase 1
H1FX	D64142_at	H1 histone family, member X
HBA2	Z84721_cds2_at	hemoglobin, alpha 2
HBB	M25079_s_at	hemoglobin, beta
HLA-DMA	X62744_at	major histocompatibility complex, class II, DM alpha
HLA-DPA1	X03100_cds2_at	major histocompatibility complex, class II, DP alpha 1
HLA-DPB1	M57466_s_at	major histocompatibility complex, class II, DP beta 1
HLA-DRA	X00274_at	major histocompatibility complex, class II, DR alpha
HLA-DRB1	M33600_f_at	major histocompatibility complex, class II, DR beta 1
HLA-F	X17093_at	major histocompatibility complex, class I, F
HNRPA1	X12671_rna1_at	heterogeneous nuclear ribonucleoprotein A1
HSPB1	Z23090_at	heat shock 27kDa protein 1
IFITM2	X57351_s_at	interferon induced transmembrane protein 2 (1-8D)
IGHM	X58529_at	immunoglobulin heavy constant mu
LAPTM5	U51240_at	lysosomal associated multispanning membrane protein 5
MME	J03779_at	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
PRDX1	X67951_at	peroxiredoxin 1
SOX18	AFFX-M27830_5_at	SRY (sex determining region Y)-box 18
SRP68	AFFX-HUMRGE/M10098_3_at	signal recognition particle 68kDa
TCF4	M74719_at	transcription factor 4
TCL1A	X82240_rna1_at	T-cell leukemia/lymphoma 1A
TOP2B	Z15115_at	topoisomerase (DNA) II beta 180kDa
TXNIP	S73591_at	thioredoxin interacting protein
VIL2	X51521_at	villin 2 (ezrin)
VPREB1	D88270_at	pre-B lymphocyte gene 1
ZFP36L2	X78992_at	zinc finger protein 36, C3H type-like 2
