Gene	GenBank accession no.	Fold change	Function
MD-2	AB018549	86.9	Cell cycle/proliferation/adhesion
RING1	AL031228	70.4	Cell cycle/proliferation/adhesion
JUN	J04111	66.6	Cell cycle/proliferation/adhesion
PAK3	AF068864	54.3	Cell cycle/proliferation/adhesion
FOSA	V01512	38.1	Cell cycle/proliferation/adhesion
NFKBIA	M69043	37.1	Cell cycle/proliferation/adhesion
JUND	X56681	32.1	Cell cycle/proliferation/adhesion
KPNA4	AB002533	29.4	Cell cycle/proliferation/adhesion
RAN	AF054183	28.8	Cell cycle/proliferation/adhesion
PECAM1	L34657	19	Cell cycle/proliferation/adhesion
CALM2	M19311	15.2	Cell cycle/proliferation/adhesion
CANX	L10284	10.2	Cell cycle/proliferation/adhesion
S100A4	W72186	9.4	Cell cycle/proliferation/adhesion
FGFR3	M64347	9	Cell cycle/proliferation/adhesion
FZR1	AA932443	8	Cell cycle/proliferation/adhesion
CD68	S57235	7.2	Cell cycle/proliferation/adhesion
PIM2	U77735	6.9	Cell cycle/proliferation/adhesion
CALR	M84739	6.3	Cell cycle/proliferation/adhesion
hTERT	AF015950	5.7	Cell cycle/proliferation/adhesion
AXL	M76125	5.5	Cell cycle/proliferation/adhesion
TRIM32	U18543	5.2	Cell cycle/proliferation/adhesion
MSI1	AB012851	5	Cell cycle/proliferation/adhesion
CD63	X62654	4.7	Cell cycle/proliferation/adhesion
101f6	AF040704	4.5	Cell cycle/proliferation/adhesion
USF2	Y07661	4.3	Cell cycle/proliferation/adhesion
VAV2	S76992	4	Cell cycle/proliferation/adhesion
ARHD	AW003733	3.7	Cell cycle/proliferation/adhesion
FLT3LG	U03858	3.7	Cell cycle/proliferation/adhesion
CNNM2	AI827730	3.6	Cell cycle/proliferation/adhesion
DDX18	X98743	3.5	Cell cycle/proliferation/adhesion
KATNB1	AF052432	3.3	Cell cycle/proliferation/adhesion
HCLS1	X16663	3.2	Cell cycle/proliferation/adhesion
RELB	M83221	2.9	Cell cycle/proliferation/adhesion
WIT-1	M60614	2.8	Cell cycle/proliferation/adhesion
SNF2-BETA	U29175	-3	Cell cycle/proliferation/adhesion
VAMP5	AF054825	-3.2	Cell cycle/proliferation/adhesion
DKC1	U59151	-5.1	Cell cycle/proliferation/adhesion
SKII	Z19588	-6	Cell cycle/proliferation/adhesion
NPR2	AF040707	-7	Cell cycle/proliferation/adhesion
RAD51	D14134	-25.4	Cell cycle/proliferation/adhesion
DAD1	D15057	57.9	Apoptosis/survival/drug resistance
FLIP	AF005775	29.9	Apoptosis/survival/drug resistance
MCL1	L08246	25.3	Apoptosis/survival/drug resistance
XRCC5	M30938	8.9	Apoptosis/survival/drug resistance
CFTR	U83659	7.7	Apoptosis/survival/drug resistance
GSTM4	M96233	6.8	Apoptosis/survival/drug resistance
ANXA2	D00017	3.6	Apoptosis/survival/drug resistance
KIR2DL4	X97229	-5.6	Apoptosis/survival/drug resistance
UBB	X04803	153.8	Proteasome and ubiquitins
UBC	M26880	97.1	Proteasome and ubiquitins
PSMA2	D00760	74.5	Proteasome and ubiquitins
PSMB1	D00761	72.2	Proteasome and ubiquitins
SMT3 L	AL031133	38.7	Proteasome and ubiquitins
PSME2	D45248	20	Proteasome and ubiquitins
UQCR	T58471	18.6	Proteasome and ubiquitins
UBE2L3	S81003	7.2	Proteasome and ubiquitins
USP22	AB028986	3.9	Proteasome and ubiquitins
USP9X	X98296	2.9	Proteasome and ubiquitins
UCHL1	X04741	-3.3	Proteasome and ubiquitins
IFITM1	J04164	32.4	Cytokine and cytokine receptors
ILF1	U58198	28.8	Cytokine and cytokine receptors
TNFR4	Z29574	25.1	Cytokine and cytokine receptors
EDF1	AJ005259	14.4	Cytokine and cytokine receptors
CXCR4	L06797	13.8	Cytokine and cytokine receptors
ISG20	U88964	12.5	Cytokine and cytokine receptors
LIFR	X61615	9	Cytokine and cytokine receptors
FST	M19481	9	Cytokine and cytokine receptors
ANGPT1	D13628	5.8	Cytokine and cytokine receptors
EPOR	X97671	5.5	Cytokine and cytokine receptors
ACVRL1	Z22533	5	Cytokine and cytokine receptors
CSF2	M13207	3.8	Cytokine and cytokine receptors
CSF1	M37435	3.7	Cytokine and cytokine receptors
TGFB3B	M60556	3	Cytokine and cytokine receptors
EPOR	AF053356	-2.5	Cytokine and cytokine receptors
SSR4	Z69043	87.5	Differentiation/translation/ER
DBI	AI557240	86.2	Differentiation/translation/ER
NACA	AF054187	71.4	Differentiation/translation/ER
ZNF91	L11672	67.6	Differentiation/translation/ER
EEF1A1	J04617	29.9	Differentiation/translation/ER
XBP1	Z93930	26.8	Differentiation/translation/ER
KRT8	X74929	17.9	Differentiation/translation/ER
EIF4G2	U73824	5.8	Differentiation/translation/ER
EVIN1	AB002405	3.2	Differentiation/translation/ER
CNOT2	AI123426	-5	Differentiation/translation/ER
HSP70	X87949	106.1	Miscellaneous
GP96	X15187	80	Miscellaneous
G3PD	U34995	60.1	Miscellaneous
PFDN5	D89667	29.2	Miscellaneous
FKBP2	AA158243	17.8	Miscellaneous
HSP10	AI912041	15.2	Miscellaneous
LDHB	X13794	13.5	Miscellaneous
HAX1	U68566	11.3	Miscellaneous
HSF1	M64673	-2.9	Miscellaneous
