Gene name	Genbank accession no	Gene symbol	Fold change for p53	Fold change for p73 beta
Ubiquitin-conjugating enzyme E2C	U73379	UBE2C	-16.04	-14.37
TPX2, microtubule-associated protein homologue (Xenopus laevis)	NM_012112	TPX2	-15.53	-13.85
Putative lymphocyte G0/G1 switch gene	NM_015714	G0S2	-15.26	-14.67
MCM7 minichromosome maintenance deficient 7	D55716	MCM7	-14.69	-12.59
MCM6 minichromosome maintenance deficient 6	NM_005915	MCM6	-14.52	-12.94
CDC28 protein kinase regulatory subunit 2	NM_001827	CKS2	-14.28	-13.29
CDC20 cell division cycle 20 homologue (Saccharomyces cerevisiae)	NM_001255	CDC20	-13.32	-12.61
Cyclin B1	M25753	CCNB1	-13.2	-12.66
Cyclin A2	X51688	CCNA2	-12.71	-12.03
Serine/threonine kinase 6	NM_003600	STK6	-12.32	-11.82
RAN, member RAS oncogene family	NM_006325	RAN	-11.92	-11.73
Cell division cycle 25B	S78187	CDC25B	-11.73	-11.58
Kinesin family member 22	AB017430	KIF22	-11.72	-11.53
V-myc myelocytomatosis viral oncogene homologue (avian)	M13929	MYC	-11.66	-11.4
Cyclin-dependent kinase 2	M68520	CDK2	-11.63	-11.43
Microtubule-associated protein, RP/EB family, member 2	NM_014268	MAPRE2	-11.43	-11.4
Cyclin-dependent kinase inhibitor 3	L25876	CDKN3	-11.36	-11.32
G-2 and S-phase expressed 1	NM_016426	GTSE1	-11.34	-11.39
Kinesin family member 23	NM_004856	KIF23	-11.29	-11.12
Deoxythymidylate kinase (thymidylate kinase)	L16991	DTYMK	-11.25	-11.28
Cyclin F	Z36714	CCNF	-11.22	-11.14
Cell division cycle 25C	M34065	CDC25C	-11.15	-11.24
Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	U03106	CDKN1A	32.26	5.17
Tumor protein p53 (Li-Fraumeni syndrome)	X02469	TP53	19.82	-11.21
Jagged 2	NM_002226	JAG2	6.4	14.67
Stratifin	NM_006142	SFN	4.13	63.49
V-Ha-ras Harvey rat sarcoma viral oncogene homologue	NM_005343	HRAS	3.14	2.48
Growth arrest-specific 2 like 1	NM_006478	GAS2L1	2.12	1.63
Latent transforming growth factor beta binding protein 2	NM_000428	LTBP2	1.47	1.63
Septin 9	NM_006640	SEPT_8	1.24	2.76
Neural precursor cell expressed, developmentally downregulated 9	NM_006403	NEDD9	1.08	1.08
