Acc	Gene	Fold change	p-value	EnsemblID
7019	CDC2	1.3737029	1.87E-13	ENSG00000170312
6632		0.94384	3.46E-13	ENSG00000117724
3399	UHRF1	1.1446086	1.55E-12	ENSG00000034063
5112		1.0916529	1.55E-12	ENSG00000123485
6994	AURKB	1.4594886	1.55E-12	ENSG00000178999
6388	MKI67	1.5062114	1.73E-12	ENSG00000148773
6721	Q9Y645_HUMAN	1.2185314	3.24E-12	ENSG00000140451
7024	BUB1	1.2488679	3.24E-12	ENSG00000169679
6392		1.3208085	3.29E-12	ENSG00000117724
5726	MKI67	1.4871315	3.60E-12	ENSG00000148773
6029		1.2980943	5.25E-12	ENSG00000117724
7423	BIRC5	1.3726515	6.49E-12	ENSG00000089685
4985	ASPM	1.3310171	7.28E-12	ENSG00000066279
5754	KIF23	1.2461857	1.64E-11	ENSG00000137807
5271	ASPM	1.3205649	2.23E-11	ENSG00000066279
6104	KIF23	1.1683029	2.50E-11	ENSG00000137807
