Affymetrix-ID	Gene Name	Gene Description
211564_s_at	PDLIM4	PDZ and LIM domain 4
219229_at	SLCO3A1	solute carrier organic anion transporter family, member 3A1
209803_s_at	PHLDA2	pleckstrin homology-like domain family A member 2
202436_s_at, 202437_s_at	CYP1B1	aryl hydrocarbon hydroxylase
203180_at	ALDH1A3	aldehyde dehydrogenase 1A3
201506_at	TGFBI	transforming growth factor, beta-induced, 68kD
211924_s_at, 210845_s_at	PLAUR	plasminogen activator, urokinase receptor, CD87 antigen
204298_at	LOX	lysyl oxidase
217744_s_at	PERP	TP53 apoptosis effector
202403_s_at	COL1A2	Alpha-2 type I collagen
210090_at	ARC	activity-regulated cytoskeleton-associated protein
205613_at	SYT17	synaptotagmin XVII
205103_at, 222301_at	C1orf61 / CROC-4	chromosome 1 open reading frame 61
213609_s_at	SEZ6L	seizure related gene 6-like
39966_at	NGC	Neuroglycan C
205358_at	GLUR2	AMPA-selective glutamate receptor 2
213768_s_at, 209987_s_at, 209988_s_at	ASCL1 / MASH1	achaete-scute complex homolog 1
206051_at	ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)
219537_s_at	DLL3	Delta-like 3
219107_at	BCAN	brevican proteoglycan
213484_at	Unknown	Unknown
204915_s_at	SOX-11	transcription factor SOX-11
221047_s_at	MARK1	MAP/microtubule affinityregulating kinase 1
205737_at	KCNQ2	Voltage-gated potassium channel subunit Kv7.2
