probe set	Entrez (na.21)	name Nov04		Wang 76-gene prognostic signature	van t Veer 70-gene signature
201088_at	3838 /// 643995	KPNA2	---	---	---
201393_s_at	3482	IGF2R	insulin-like growth factor 2 receptor	---	---
201584_s_at	10212	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	---	---
201695_s_at	4860	NP	nucleoside phosphorylase	---	---
201791_s_at	1717	DHCR7	7-dehydrocholesterol reductase	---	---
201890_at	6241	RRM2	ribonucleotide reductase M2 polypeptide	---	---
202352_s_at	5718	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	---	---
202671_s_at	8566	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	---	---
2028_s_at	1869	E2F1	E2F transcription factor 1	---	---
202856_s_at	9123	SLC16A3	solute carrier family 16 (monocarboxylic acid transporters), member 3	---	---
202917_s_at	6279	S100A8	S100 calcium binding protein A8 (calgranulin A)	---	---
202954_at	11065 /// 5063	UBE2C	---	---	---
203145_at	10615	SPAG5	sperm associated antigen 5	---	---
203276_at	4001	LMNB1	lamin B1	---	---
203287_at	3898	LAD1	ladinin 1	---	---
203382_s_at	348	APOE	apolipoprotein E	---	---
204026_s_at	11130	ZWINT	ZW10 interactor	---	---
204267_x_at	9088	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	---	---
204269_at	11040	PIM2	pim-2 oncogene	---	---
204315_s_at	51512	GTSE1	G-2 and S-phase expressed 1	---	---
204318_s_at	51512	GTSE1	G-2 and S-phase expressed 1	---	---
204817_at	9700	ESPL1	extra spindle poles like 1 (S. cerevisiae)	---	---
204825_at	9833	MELK	maternal embryonic leucine zipper kinase	---	1.14862
205393_s_at	1111	CHEK1	CHK1 checkpoint homolog (S. pombe)	---	---
205474_at	51379	CRLF3	cytokine receptor-like factor 3	---	---
205568_at	366	AQP9	aquaporin 9	---	---
205733_at	641	BLM	Bloom syndrome	---	---
206316_s_at	9735	KNTC1	kinetochore associated 1	---	---
206632_s_at	9582	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	---	---
207254_at	6564	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1	---	---
207891_s_at	55559	TREX2	26S proteasome-associated UCH interacting protein 1	---	---
208824_x_at	5127	PCTK1	PCTAIRE protein kinase 1	---	---
208855_s_at	8428	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)	---	---
209642_at	699	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	---	---
209680_s_at	3833	KIFC1	kinesin family member C1	---	---
209773_s_at	6241	RRM2	ribonucleotide reductase M2 polypeptide	---	---
210559_s_at	983	CDC2	cell division cycle 2, G1 to S and G2 to M	---	---
211416_x_at	92086	GGTLA4	gamma-glutamyltransferase-like activity 4	---	---
211647_x_at	3500	NULL	immunoglobulin heavy constant gamma 1 (G1m marker)	---	---
211762_s_at	3838 /// 643995	KPNA2	---	ER+group:2.824	---
212020_s_at	4288	MKI67	antigen identified by monoclonal antibody Ki-67	---	---
212022_s_at	4288	MKI67	antigen identified by monoclonal antibody Ki-67	---	---
212023_s_at	4288	MKI67	antigen identified by monoclonal antibody Ki-67	---	---
212311_at	23231	KIAA0746	KIAA0746 protein	---	---
212527_at	27351	D15Wsu75e	DNA segment, Chr 15, Wayne State University 75, expressed	---	---
212552_at	3241	HPCAL1	hippocalcin-like 1	---	---
212735_at	9711	KIAA0226	KIAA0226	---	---
213008_at	55215	FLJ10719	KIAA1794	---	---
