Symbol	Accession No.	Sequence Description	10A	H	N	Log2N/10A	Log2H/10A	Comparison
EPN3	NM_017957	Epsin 3	3.73	0.99	0.26	-3.87	-1.91	10A>H>N
UNC5B	NM_170744	Unc-5homologue B (C. elegans)	4.25	1.17	0.53	-3.01	-1.86	10A>H>N
TNNI2	NM_003282	Troponin I type 2 (skeletal, fast)	3.66	1.1	0.44	-3.05	-1.74	10A>H>N
CDH1	NM_004360	Cadherin 1, type 1, E-cadherin (epithelial)	3.19	1.02	0.19	-4.06	-1.65	10A>H>N
TACSTD1	NM_002354	Tumor-associated calcium signal transducer 1	3.08	1	0.08	-5.29	-1.62	10A>H>N
TACSTD2	NM_002353	Tumor-associated calcium signal transducer 2	2.96	0.98	0.51	-2.54	-1.60	10A>H>N
SULF2	NM_018837	Similar to glucosamine-6-sulfatases	2.77	0.99	0.4	-2.81	-1.49	10A>H>N
LEPREL1	NM_018192	Hypothetical protein FLJ10718	2.88	1.09	0.7	-2.04	-1.40	10A>H>N
LAD1	NM_005558	Ladinin 1	2.54	1	0.07	-5.12	-1.34	10A>H>N
PPP1R14C	NM_030949	Protein phosphatase 1, regulatory (inhibitor) subunit 14C	2.44	0.98	0.39	-2.66	-1.32	10A>H>N
SFRP1	BC036503	Secreted frizzled-related protein 1	2.49	1	0.25	-3.29	-1.32	10A>H>N
S100A14	NM_020672	S100-type calcium binding protein A14	2.52	1.01	0.11	-4.49	-1.31	10A>H>N
TFCP2L1	NM_014553	LBP protein; likely orthologue of mouse CRTR-1	2.48	1	0.72	-1.78	-1.30	10A>H>N
OVOL2	NM_021220	putative zinc finger protein from EUROIMAGE 566589	2.49	1.02	0.51	-2.30	-1.29	10A>H>N
CKMT1	NM_020990	Creatine kinase, mitochondrial 1A	2.48	1.05	0.22	-3.47	-1.24	10A>H>N
SFRP1	NM_003012	Secreted frizzled-related protein 1	2.35	1	0.31	-2.91	-1.24	10A>H>N
FAM84B	NM_174911	Family with sequence similarity 84, member B	2.3	1.01	0.31	-2.89	-1.19	10A>H>N
MAL2	NM_052886	Mal, T-cell differentiation protein 2	2.28	1	0.63	-1.86	-1.19	10A>H>N
TP73L	NM_003722	Tumor protein 63 kDa with strong homology to p53	2.34	1.04	0.23	-3.36	-1.17	10A>H>N
KRT17	NM_000422	Keratin 17	2.48	1.13	0.31	-2.98	-1.13	10A>H>N
