Gene symbol	Gene description	Genbank accession	Fold change
GRAP	GRB2-related adaptor protein	NM_006613	2.5
SULF1	Sulfatase 1	NM_015170	2.5
TNFSF15	Tumour necrosis factor superfamily, member 15	NM_005118	2.5
SLC22A3	Solute carrier family 22, member 3	NM_021977	2.6
HFE	Hemochromatosis	NM_139004	2.6
AFF2	AF4/FMR2 family, member 2	NM_002025	2.7
FGF22	Fibroblast growth factor 22	NM_020637	2.7
RNF125	Ring finger protein 125	NM_017831	2.8
ABCG1	ATP-binding cassette, subfamily G, member 1	NM_207630	2.8
TEP1	Telomerase-associated protein 1	NM_007110	2.8
MYH13	Myosin, heavy chain 13, skeletal muscle	NM_003802	2.8
KCNIP4	Kv channel interacting protein 4	NM_147182	2.8
KCNJ9	Potassium channel, inwardly rectifying subfamily J member 9		2.9
MUC7	Mucin 7	NM_152291	2.9
CXorf21	Chromosome X open reading frame 21	NM_025159	2.9
HERC6	Hect domain and RLD 6	NM_017912	2.9
PPP1R1A	Protein phosphatase 1, regulatory (inhibitor) subunit 1A	NM_006741	3
GPNMB	Glycoprotein (transmembrane) nmb	BC011595	3
KRT31	Keratin 31	NM_002277	3
DDIT3	DNA-damage-inducible transcript 3	NM_004083	3
LOC161931	Testis nuclear RNA-binding protein-like	NM_139174	3.3
XPNPEP2	X-prolyl aminopeptidase 2, membrane-bound	NM_003399	3.3
ARHGAP26	Rho GTPase-activating protein 26	NM_015071	3.4
TUSC3	Tumour suppressor candidate 3	NM_178234	3.4
TPMT	Thiopurine S-methyltransferase	NM_000367	3.4
LASS6	LAG1 homolog, ceramide synthase 6	NM_203463	3.4
GTF2A1	General transcription factor IIA1	NM_015859	3.5
ZNF429	Zinc finger protein 429	NM_001001415	3.6
CMYA3	Cardiomyopathy associated 3	NM_152381	3.7
	T cell receptor alpha locus	BC070329	3.7
EXDL1	Exonuclease 3?–5? domain-like 1	NM_152596	3.7
USP2	Ubiquitin specific peptidase 2	NM_171997	3.8
FCRL2	Fc receptor-like 2	NM_030764	3.8
EYA2	Eyes absent homolog 2	NM_172113	4
KRT38	Keratin 38	NM_006771	4
NUP188	Nucleoporin 188kDa	BC005407	4
EDD1	E3 ubiquitin protein ligase, HECT domain containing 1	NM_015902	4.3
TOR3A	Torsin family 3, member A	NM_022371	4.8
TPO	Thyroid peroxidase	NM_000547	4.9
LMO1	LIM domain only 1	NM_002315	5.2
NAP1L3	Nucleosome assembly protein 1-like 3	NM_004538	5.3
AADAC	Arylacetamide deacetylase	NM_001086	5.3
POU1F1	POU domain, class 1, transcription factor 1	NM_000306	5.4
CD1C	CD1c molecule	NM_001765	6
FN1	Fibronectin 1	NM_054034	6
BHMT	Betaine-homocysteine methyltransferase	NM_001713	6.2
TMPRSS6	Transmembrane protease, serine 6	BC039082	6.3
SLIT1	Slit homolog 1 protein precursor		6.8
PDE4DIP	Similar to rat myomegalin	AB042555	6.9
LHX9	LIM homeobox 9	NM_020204	6.9
PLA2G2A	Phospholipase A2, group IIA	NM_000300	7.3
HSPB3	Heat shock 27-kDa protein 3	NM_006308	8
MED18	Mediator of RNA polymerase II transcription, subunit 18	NM_017638	8.4
LOXHD1	Lipoxygenase homology domains 1	BC047720	9.8
CXXC6	CXXC-type zinc finger protein 6		10.2
EMR3	Egf-like module containing hormone receptor-like 3	NM_032571	10.3
COL4A6	Collagen, type IV, alpha 6	NM_033641	10.6
PITPNM3	PITPNM family member 3	NM_031220	10.9
COL3A1	Collagen, type III, alpha 1	NM_000090	11.9
KCNE1	Potassium voltage-gated channel, Isk-related family, member 1	NM_000219	13.5
GPC5	Glypican 5	NM_004466	15.1
SLC2A10	Solute carrier family 2	NM_030777	15.3
PIWIL1	Piwi-like 1	NM_004764	15.6
OR2C1	Olfactory receptor, family 2, subfamily C, member 1	NM_012368	15.6
SEMA6A	Semaphorin 6A	NM_020796	16
LGALS2	Lectin, galactoside-binding, soluble 2	NM_006498	17.1
CALN1	Calneuron 1	NM_031468	17.4
CYP2A7	Cytochrome P450, family 2, subfamily A, polypeptide 7	NM_000764	19.5
MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	NM_130760	21.1
BTG4	B-cell translocation gene 4	NM_017589	21.7
C9orf27	Chromosome 9 open reading frame 27	AB021923	23.7
TLL1	Tolloid-like 1	BC016922	24.1
ADCY2	Adenylate cyclase 2	NM_020546	25
KEL	Kell blood group, metallo-endopeptidase	NM_000420	28.8
AMAC1	Acyl-malonyl condensing enzyme 1	NM_152462	33.4
MAGEB18	Melanoma antigen family B, 18	NM_173699	38.3
B3GALNT1	Beta-1,3-N-acetylgalactosaminyltransferase 1	NM_033169	45.1
NLRC4	NLR family, CARD domain containing 4	NM_021209	45.1
ENPP6	Ectonucleotide pyrophosphatase/phosphodiesterase 6	NM_153343	49.7
