unigeneID	Symbol	Name
Hs.79353	TFDP1	transcription factor Dp-1
Hs.13046	TXNRD1	thioredoxin reductase 1
Hs.406186	SF3B4	splicing factor 3b, subunit 4, 49kDa
Hs.75514	NP	nucleoside phosphorylase
Hs.78619	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
Hs.154443	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
Hs.380080	FKBP1A	FK506 binding protein 1A, 12kDa
Hs.171834	PCTK1	PCTAIRE protein kinase 1
Hs.79137	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
Hs.21537	PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform
Hs.174070	E2-EPF	ubiquitin carrier protein
Hs.34789	DDOST	dolichyl-diphosphooligosaccharide-protein glycosyltransferase
Hs.79748	SLC3A2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
Hs.111024	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1
Hs.379466	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
Hs.73793	VEGF	vascular endothelial growth factor
Hs.10029	CTSC	cathepsin C
Hs.169139	KYNU	kynureninase (L-kynurenine hydrolase)
Hs.108809	CCT7	chaperonin containing TCP1, subunit 7 (eta)
Hs.97496	YY1	YY1 transcription factor
Hs.83758	CKS2	CDC28 protein kinase regulatory subunit 2
Hs.179718	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
Hs.84113	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
Hs.72550	HMMR	hyaluronan-mediated motility receptor (RHAMM)
Hs.4147	TRAM	translocating chain-associating membrane protein
Hs.77515	ITPR3	inositol 1,4,5-triphosphate receptor, type 3
Hs.77329	PTDSS1	phosphatidylserine synthase 1
Hs.171955	TROAP	trophinin associated protein (tastin)
Hs.154868	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
Hs.79150	CCT4	chaperonin containing TCP1, subunit 4 (delta)
Hs.75103	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
Hs.78056	CTSL	cathepsin L
Hs.9700	CCNE1	cyclin E1
Hs.118442	CCNC	cyclin C
Hs.1050	PSCD1	pleckstrin homology, Sec7 and coiled/coil domains 1(cytohesin 1)
Hs.27424	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)
Hs.90073	CSE1L	CSE1 chromosome segregation 1-like (yeast)
Hs.297660	TRAF3	TNF receptor-associated factor 3
Hs.99910	PFKP	phosphofructokinase, platelet
Hs.16533	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A
Hs.79078	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
Hs.113882	GABRD	gamma-aminobutyric acid (GABA) A receptor, delta
Hs.85482	USP13	ubiquitin specific protease 13 (isopeptidase T-3)
Hs.171734	PPP2R5C	protein phosphatase 2, regulatory subunit B (B56), gamma isoform
Hs.5831	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)
