No. of sequenced clones	% of total sequenced clones	Description	GenBank accession no.
25	37.88	FIZZ1/RELM-alpha	NP_020509
10	15.15	Serum amyloid A3	NP_011315
2	3.03	Similar to Rat RNA polymerase II transcription factor SIII or elongin B	L42855
2	3.03	Similar to extracellular proteinase inhibitor	BC002038
2	3.03	Metallopanstimulin 1	NM_001030
1	1.51	Inhibitor of DNA binding 2 (BC006921)	BC006921
1	1.51	Adipocyte differentiation-related protein	M93275
1	1.51	Methallothionein-1 gene transcription activator	AA146152
1	1.51	Ring-box 1 or Rbx1	NM_019712
1	1.51	Cyclophilin	X52803
1	1.51	Thrombospondin (M62470)	M62470
1	1.51	Ym1/ECF-L	D87757
1	1.51	Cellular apoptosis susceptibility gene	AF301152
1	1.51	Thymosin beta-4	X16053.1
1	1.51	H3 histone	BC002052
1	1.51	CD9 antigen	NM_007657
1	1.51	Ribosomal protein S29	NM_009093.1
1	1.51	16S ribosomal RNA	AY011146
