Gene Symbol	Gene Description	RefSeq ID	UniGene ID	EntrzGene ID
APBA2BP	Amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein	NM_031232 NM_031231	Hs.516986	63941
ATR	Ataxia telangiectasia and Rad3 related	NM_001184	Hs.271791	545
CCNA1	Cyclin A1	NM_003914	Hs.417050	8900
CCND1	Cyclin D1	NM_053056	Hs.523852	595
CCNE1	Cyclin E1	NM_001238 NM_057182	Hs.244723	898
CDC2	Cell division cycle 2, G1 to S and G2 to M	NM_001786 NM_033379	Hs.334562	983
CDC25A	Cell division cycle 25 homolog A (S. pombe)	NM_001789 NM_201567	Hs.437705	993
CDK2	Cyclin-dependent kinase 2	NM_001798 NM_052827	Hs.19192	1017
CDK4	Cyclin-dependent kinase 4	NM_000075	Hs.95577	1019
CDK6	Cyclin-dependent kinase 6	NM_001259	Hs.119882	1021
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NM_078467 NM_000389	Hs.370771	1026
CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	NM_004064	Hs.238990	1027
CDKN2A	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	NM_058197 NM_000077 NM_058195	Hs.512599	1029
CDKN2B	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	NM_078487 NM_004936	Hs.72901	1030
DHFR	Dihydrofolate reductase	NM_000791	Hs.648635	1719
DHFR	Dihydrofolate reductase	BM011996	Hs.654551	1719
ELAC1	ElaC homolog 1 (E. coli)	NM_018696	Hs.657360	55520
GSK3B	Glycogen synthase kinase 3 beta	NM_002093	Hs.445733	2932
HDAC9	Histone deacetylase 9	NM_178423 NM_178425 NM_014707 NM_058176 NM_058177	Hs.196054	9734
MTTP	Microsomal triglyceride transfer protein	NM_000253	Hs.195799	4547
RB1	Retinoblastoma 1 (including osteosarcoma)	NM_000321	Hs.408528	5925
SKP2	S-phase kinase-associated protein 2 (p45)	NM_005983 NM_032637	Hs.23348	6502
SMAD3	SMAD family member 3	BU686912	Hs.618504	4088
SMAD3	SMAD family member 3	NM_005902	Hs.696294	4088
TFDP1	Transcription factor Dp-1	NM_007111	Hs.79353	7027
TGFB1	Transforming growth factor, beta 1	NM_000660	Hs.645227	7040
TP53	Tumor protein p53 (Li-Fraumeni syndrome)	NM_000546	Hs.654481	7157
-	Transcribed locus	AA032275	Hs.36915	4088
