GeneBank ID	Name	Description	Fold	Chromosomal location	Function
L25081	RHOC	Ras homolog gene family, member C	7.452	1p13.1	Plays a role in I-?B kinase NF-kappaB cascade and small GTPase mediated signal transduction
NM_000129	F13A1	Coagulation factor XIII, A1 polypeptide	7.713	6p25.3-p24.3	Related to complement and coagulation
NM_000582	SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I early T-lymphocyte activation 1)	17.087	4q21-q25	Growth factor activity; cell-cell signaling  skeletal development; regulation of cell  proliferation; cell motility
NM_001546	ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	8.744	6p22-p21	Regulation of transcription from RNA polymerase II; transcription cofactor activity
NM_001549	IFIT4	Interferon-induced protein with tetratricopeptide repeats 4	7.014	10q24	Unknown
NM_001618	PARP1	Poly (ADP-ribose) polymerase family, member 1	5.553	1q41-q42	Fas pathway and stress induction of HSP regulation; response to DNA damage stimulus; DNA repair; transcription from RNA polymerase II promoter
NM_001747	CAPG	Capping protein (actin filament), gelsolin-like	5.177	2p11.2	Actin cytoskeleton organization and biogenesis; actin filament-based process
NM_001781	CD69	CD69 molecule	8.352	12p13-p12	Cell surface receptor linked signal transduction
NM_002128	HMGB1	High-mobility group box 1	5.008	13q12	Cell cycle; establishment and or maintenance of chromatin architecture
NM_002210	ITGAV	Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	8.667	2q31-q32	Cell adhesion molecules (CAMs); regulation of actin cytoskeleton; focal adhesion; ECM-receptor interaction
NM_002291	LAMB1	Laminin, Beta 1	8.178	7q22	Cell Communication; focal adhesion; ECM-receptor interaction
NM_002317	LOX	Lysyl oxidase	5.861	5q23.2	Lysyl oxidase
NM_002425	MMP10	Matrix metalloproteinase 10 (stromelysin 2)	5.881	11q22.3	Involved in the breakdown of extracellular matrix  in embryonic development, reproduction, tissue remodeling, and disease processes
NM_003039	SLC2A5	Solute carrier family 2, member 5	8.026	1p36.2	Carbohydrate metabolism; plasma membrane
NM_003380	VIM	Vimentin	8.576	10p13	Cell communication; structural constituent of cytoskeleton;
NM_003404	YWHAB	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, Beta polypeptide	6.652	20q13.1	Cell cycle; smooth muscle contraction; calcium regulation in cardiac cells;
NM_003457	ZNF207	Zinc finger protein 207	9.322	17q11.2	Unknown
NM_003786	ABCC3	ATP-binding cassette, sub-family C (CFTR/ MRP), member 3	5.449	17q22	ATPase activity, transmembrane movement of substances; nuclear receptors in ipid metabolism and toxicity
NM_003816	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	14.611	8p11.23	Metalloendopeptidase activity; metallopeptidase activity;
NM_004390	CTSH	Cathepsin H	5.145	15q24-q25	Cysteine-type peptidase activity; lytic vacuole
NM_004994	MMP9	Matrix metallopeptidase 9 , (gelatinase B, 92 kDa gelatinase 92 kDa type IV collagenase)	5.437	20q11.2-13.1	Leukocyte transendothelial migration inhibition of Matrix Metalloproteinases;  extracellular matrix
NM_005192	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	8.358	14q22	Regulation of cell cycle; regulation of cell proliferation; dephosphorylation
NM_005567	LGAL, S3BP	Lectin, galactoside-binding,  soluble, 3 binding protein	9.038	17q25	Extracellular space; extracellular matrix
NM_005596	NFIB	Nuclear factor I/B	8.02	9p24.1	DNA replication
NM_006135	CAPZA1	Capping protein (actin filament) muscle Z-line, alpha 1	8.179	1p13.2	Actin cytoskeleton  organization and biogenesis; cell motility
NM_006290	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	6.913	6q23	Regulation of metabolism; ubiquitin cycle; negative regulation of apoptosis
NM_006597	HSPA8	Heat shock 70kDa protein 8	11.084	11q24.1	Circadian exercise; protein folding; MAPK signaling pathway
NM_007022	CYB, 561D2	Putative tumor suppressor	6.017	3p21.3	M phase of mitotic cell cycle; ubiquitin-dependent protein catabolism;
NM_007036	ESM1	Endothelial cell-specific molecule 1	6.496	5q11.2	Growth factor activity; cellular morphogenesis; regulation of growth
NM_012325	MAPRE1	Microtubule-associated protein, RP/EB family, member 1	6.048	20q11.1-11.23	Cell proliferation; regulation of cell cycle
NM_014937	INPP5F	Inositol polyphosphate-5- phosphatase F	6.489	10q26.11	Unknown
NM_015507	EGFL6	EGF-like-domain, multiple 6	11.079	Xp22	Regulation of cell cycle, proliferation, and developmental processes; extracellular space
NM_016076	C1orf121	Chromosome 1 open reading frame 121	5.213	1q44	Unknown
NM_016433	GLTP	Glycolipid transfer protein	6.365	12q24.11	Glycolipid transporter activity
NM_017443	POLE3	Polymerase (DNA directed), epsilon 3 (p17 subunit)	6.355	9q33	Nucleotidyltransferase activity; DNA replication
NM_017549	EPDR1	Ependymin related protein 1	6.369	7p14.1	A type II transmembrane protein similar to protocadherins cell adhesion molecules; calcium dependent cell adhesion
NM_020644	TMEM9B	TMEM9 domain family,	10.488	11p15.3	I-kappaB kinase NF-kappaB member B cascade;signal transducer activity
NM_021103	TMSB10	Thymosin, Beta 10	5.592	2p11.2	Cytoskeleton; actin binding
NM_025130	HKDC1	Hexokinase domain containing 1	6.018	10q21.3	Energy derivation by oxidation of organic compounds; kinase activity
NM_030796	ECOP	EGFR-coamplified and overexpressed protein	8.054	7p11.2	Unknown
NM_030945	CTRP3	Complement-c1q tumor necrosis factor-related protein; likely ortholog of mouse CORS26	7.486	5p13-p12	Inorganic anion transport; anion transport
NM_032376	TMEM101	Transmembrane protein 101	5.85	17q21.31	I-kappaB kinase NF-kappaB cascade; signal transducer activity
NM_033380	COL4A5	Collagen, type IV, alpha 5	8.484	Xq22	Extracellular protein; encodes one of the six subunits of type IV collagen, the major structural component of basement membranes.
NM_138376	TTC5	Tetratricopeptide repeat domain	5 6.564	14q11.2	Known as Strap
NM_138455	CTHRC1	Collagen triple helix repeat containing 1	6.745	8q22.3	Inorganic anion transport
NM_138462	ZMYND19	Zinc finger, MYND-type containing 19	8.646	9q34.3	May associate with tubulin
NM_17886	CKLFSF8	Chemokine-like factor superfamily 8	6.335	3p22.3	Regulates EGF-induced signaling; regulates cell proliferation
NM_212539	PRKCD	Protein kinase C, delta	5.515	3p21.31	Fc Epsilon RI signaling pathway; Tight junction; skeletal development ; enzyme inhibitor activity positive regulation of cell
NR_001562	ANXA2	Annexin A2	8.745	15q21-q22	Proliferation; regulation of cell
S78187	CDC25B	Cell division cycle 25B	8.788 K	20p13	cycle; cell division; MAP signaling pathway
