Affymetrix code	GenBank accession number	Gene name
40757_at	M18737	granzyme A
1365_at	HUMIL2RBC	IL2R beta
39248_at	N74607	aquaporin 3
1548_s_at	HSU16720	IL10
33972_r_at	U66078	DAZLA deleted in azoospermia-like
38783_at	J05581	mucin 1
33971_f_at	U66078	DAZLA deleted in azoospermia-like
700_s_at		mucin 1
33862_at	AF017786	phosphatidic acid phosphatase type 2B
37625_at	U52682	IRF-4
31591_s_at	X98337	complement factor H related 4
40354_at	AB023421	apg-1 heat shock protein
35698_at	Y00318	complement control prot. factor I
34720_at	U85193	NFIB2 nuclear factor I-B2
36008_at	AF041434	protein tyrosine phosphatase IVA
32855_at	L00352	LDL receptor
38465_at	M37721	peptidylglycine alpha-amidating monooxygenase
31779_s_at	AF084199	BLIMP-1
39824_at	AI391564	unknown
1647_at	HSU51903	RasGAP-related protein IQGAP2
39249_at	AB001325	aquaporin 3
37276_at	U51903	RasGAP-related protein IQGAP2
35192_at	D90239	glycine dehydrogenase
34929_at	M83554	CD30
36184_at	L06419	procollagen-lysine 5-dioxygenase
32454_at	AL080215	unknown
36234_at	U79273	unknown
1410_at	HUMVDR	vitamin D3 receptor
927_s_at	HUMPANMU	mucin 1
37541_at	U25956	P-selectin glycoprotein ligand (SELPLG)
36100_at	AF022375	VEGF
31804_f_at	X78283	SULT1A1
39358_at	U37146	nuclear rec. co-repressor 2 / SMRT
38081_at	J03459	leukotriene A4 hydrolase
37037_at	M24486	procollagen-proline … dioxygenase
39021_at	AB020684	unknown
40414_at	X59303	valyl tRNA-synthetase 2
35928_at	J02969	thyroid peroxidase
38316_at	AF052732	formyltetrahydrofolate dehydrogenase
41046_s_at	X95808	zinc finger protein 261
39122_at	K03515	glucose phosphate isomerase
38161_at	Y09022	Not56-like protein
386_g_at	XSPROSCHY	chymotrypsin-like
36676_at	AL031659	ribophorin II
38281_at	U67319	caspase 7
39790_at	M23115	calcium ATPase HK2
35355_at	AB020697	DEAD/H box polypeptide 30
32751_at	AF007140	interleukin enhancer bdg. fact. 3
32837_at	U56418	lysophosphatidic acid acyltransferase beta)
36069_at	AB007925	SLIT-ROBO GTP-ase act. prot. 2
37040_at	D42041	unknown
33308_at	M15182	glucuronidase beta
111_at	HSRABGTRA	Rab geranylgeranyltransferase alpha subunit
100_g_at	HSRABGTRA	Rab geranylgeranyltransferase alpha subunit
38282_at	U41767	metargidin
35671_at	U02619	TFIIIC box B-bdg. subunit
36035_at	AB002135	GPAA1P anchor attachment prot. 1 homolog
41724_at	X81817	BAP31/BAP29
