p Value	CloneID	Description	Locus	CytoBand
0.001103	198418	Histone 1, H2bd	HIST1H2BD	6p21.3
0.001128	25353	Autoantigen	RCD-8	16q22.1
0.001146	259432	FLJ46385 protein	FLJ46385	19q13.42
0.001243	66353	NADH dehydrogenase (ubiquinone) 1,	NDUFC1	4q28.2-q31.1
0.001302	245076	Hypothetical protein FLJ10241	FLJ10241	19q13.2
0.001321	172421	Transforming growth factor, alpha	TGFA	2p13
0.001347	35093	Dual specificity phosphatase 14	DUSP14	17q12
0.0014	364825	NA	NA	NA
0.001414	176543	TAO kinase 2	TAOK2	16p11.2
0.001462	137790	Rho-related BTB domain containing 1	RHOBTB1	10q21.2
0.001466	235923	TBC1 domain family, member 10B	DKFZP434P1750	16p11.2
0.001475	259057	HIV-1 rev binding protein 2	HRB2	12q21.1
0.001484	1521302	NA	NA	NA
0.001534	34575	RNA binding protein S1, serine-rich domain	RNPS1	16p13.3
0.001537	27672	NA	NA	NA
0.001579	167181	Ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	UBE2G2	21q22.3
0.001585	122228	Chromosome 20 open reading frame 19	C20orf19	20pter-q11.23
0.001642	23658	SET domain and mariner transposase fusion gene	SETMAR	3p26.1
0.00001029	743828	IGH mRNA for immunoglobulin heavy chain VHDJ region,	NA	NA
0.00001246	148115	Hypothetical protein FLJ10404	FLJ10404	5q35.3
0.00002723	294283	Ras association (RalGDS/AF-6) domain family 5	RASSF5	1q32.1
0.00005723	37450	Pyruvate dehydrogenase (lipoamide) alpha 1	PDHA1	Xp22.2-p22.1
0.0000868	757192	Sideroflexin 2	SFXN2	10q24.32
0.00009582	109278	Dolichyl-phosphate mannosyltransferase polypeptide 3	DPM3	1q22
0.0001105	50104	Molybdenum cofactor synthesis 3	MOCS3	20q13.13
0.000138	143365	Hypothetical protein DKFZp761E198	DKFZp761E198	11q13.1
0.0001566	230402	Zinc finger and BTB domain containing 9	ZBTB9	6p21.32
0.0002184	137645	Full length insert cDNA YH97B03	NA	NA
0.000234	248261	Glycine dehydrogenase (decarboxylating; glycine decarboxylase,	GLDC	9p22
0.0002876	767065	SRY (sex determining region Y)-box 10	SOX10	22q13.1
0.0002879	24843	Tripartite motif-containing 11	TRIM11	1q42.13
0.0002974	265310	Glutathione transferase zeta 1	GSTZ1	14q24.3
0.0003332	1620974	Chromosome 21 open reading frame 119	C21orf119	21q22.11
0.0003514	298089	Frataxin	FXN	9q13-q21.1
0.000405	120599	Breast carcinoma amplified sequence 3	BCAS3	17q23
0.0005377	34092	A kinase (PRKA) anchor protein 10	AKAP10	17p11.1
0.0005483	111192	Cytochrome c oxidase subunit VIc	COX6C	8q22-q23
