Probe set ID	Gene Symbol	Score (d)	Fold Change	q-value (%)
203528_at	SEMA4D	8.7	1.8	0
212776_at	OBSL1	7.2	3.7	0
214551_s_at	CD7	7	4.5	0
212828_at	SYNJ2	6.9	3.2	0
207986_x_at	CYB561	6.7	2.3	0
209195_s_at	ADCY6	6.6	3.4	0
203685_at	BCL2	6.6	2.3	0
221750_at	HMGCS1	6.4	2.3	0
214966_at	GRIK5	6.3	2.2	0
219330_at	VANGL1	6.3	3.4	0
40016_g_at	MAST4	6.2	2.6	0
213167_s_at	SLC5A3	6.2	1.8	0
209518_at	SMARCD1	6.1	1.7	0
220658_at	ARNTL2	6.1	1.7	0
204203_at	CEEBPG	6	4.4	0
220760_x_at	ZNF665	5.9	1.9	0
201247_at	NA	5.8	2	0
215235_at	SPTAN1	5.7	2	0
203182_s_at	SRPK2	5.6	2.2	0
206966_s_at	KLF12	5.5	2.8	0
214049_x_at	CD7	5.3	3.6	0
210958_s_at	MAST4	5.3	2.2	0
210612_s_at	SYNJ2	5.3	2.7	0
204891_s_at	LCK	5.3	7.7	0
201425_at	ALDH2	5.2	3.6	0
200832_s_at	SCD	5.2	5.4	0
203431_s_at	RICS	5.2	2.4	0
210202_s_at	BIN1	5.2	2.1	0
221781_s_at	DNAJC10	5.2	1.5	0
219189_at	FBXL6	5.1	1.5	1
222158_s_at	C1orf121	5.1	1.6	1
212321_at	NA	5.1	2	1
221869_at	GM632	5	2.2	1
213539_at	CD3D	5	7.5	1
212535_at	MEF2A	5	1.6	1
202068_s_at	LDLR	5	3	1
206099_at	PRKCH	4.9	3.4	1
216110_x_at	NA	4.9	1.6	1
203989_x_at	F2R	4.9	3.2	1
209218_at	SQLE	4.9	3.7	1
218562_s_at	ADD3///TMEM57	4.8	1.7	1
218902_at	NOTCH1	4.8	2.4	1
210791_s_at	RICS	4.8	2.1	1
220668_s_at	DNMT3B	4.8	2.8	1
219359_at	ATHL1	4.8	7.5	1
219569_s_at	TMEM22	4.8	2.7	1
202172_at	VEZF1	4.7	1.5	1
214949_at	NA	4.7	1.5	1
217784_at	YKT6	4.7	1.8	1
207163_s_at	AKT1	4.7	1.5	1
58994_at	CC2D1A	4.6	1.7	1
211555_s_at	GUCY1B3	4.6	2.1	1.4
213164_at	SLC5A3	4.6	1.8	1.4
