Deregulated Target Genes	GenBank ID	d-value	q-value	Pearson correlation coefficient§	p-value§
EEF2K	 NM_013302	2.449	0.012	-0.914	0.001
LHFPL2	 NM_005779	1.831	0.037	-0.879	0.002
CCND2	 NM_001759	7.213	<0.001	-0.87	0.002
LRIG3	 NM_153377	3.568	0.002	-0.858	0.003
S1PR1	 NM_001400	1.852	0.036	-0.828	0.006
RAVER2	 NM_018211	2.914	0.006	-0.805	0.009
PELI1	 NM_020651	5.328	<0.001	-0.92	0.0004
TRAF4	 NM_004295	2.201	0.019	-0.865	0.003
ORMDL2	 NM_014182	1.934	0.03	-0.83	0.006
CCND2	 NM_001759	7.213	<0.001	-0.805	0.009
CREG1	 NM_003851	3.36	0.003	-0.696	0.037
RAVER2	 NM_018211	2.914	0.006	-0.683	0.043
TFAP2C	 NM_003222	6.052	<0.001	-0.897	0.001
CDC42SE1	 NM_001038707	2.843	0.007	-0.677	0.045
HMGN3	 NM_004242	2.784	0.007	-0.835	0.005
RASSF5	 NM_182663	2.134	0.021	-0.783	0.013
UBE2R2	 NM_017811	2.105	0.022	-0.76	0.018
WNT5A	 NM_003392	2.446	0.012	-0.925	0.0003
RNF139	 NM_007218	2.383	0.013	-0.855	0.003
UBE2E2	 NM_152653	2.365	0.014	-0.864	0.003
CCDC6	 NM_005436	4.524	<0.001	-0.852	0.004
CNN3	 NM_001839	2.496	0.011	-0.772	0.015
ARRDC3	 NM_020801	1.898	0.032	-0.711	0.032
CPEB2	 NM_182485	2.06	0.024	-0.678	0.045
TMEM183B	 NM_001079809	1.873	0.034	-0.683	0.043
BCL11A	 NM_022893	-3.454	0.003	-0.93	0.0003
GPD2	 NM_001083112	-2.476	0.011	-0.932	0.0003
FZD7	 NM_003507	-2.462	0.011	-0.918	0.0005
GLCCI1	 NM_138426	-4.586	<0.001	-0.901	0.001
FNDC3B	 NM_022763	-2.4	0.013	-0.917	0.001
PDIK1L	 NM_152835	-2.303	0.015	-0.908	0.001
FNDC3A	 NM_001079673	-2.155	0.02	-0.887	0.001
AKAP12	 NM_005100	-2.604	0.009	-0.821	0.007
ASH2L	 NM_004674	-2.109	0.022	-0.801	0.009
C4orf34	 NM_174921	-2.105	0.022	-0.782	0.013
IGFBP5	 NM_000599	-2.601	0.009	-0.71	0.032
FUT8	 NM_178155	-3.148	0.005	-0.885	0.002
