Agilent ProbeName	GeneID	GeneName	logFC	P.Value	adj.P.Val
A_17_P12025814	GPR50	G PROTEIN-COUPLED RECEPTOR 50	1.368985587	1.41E-06	0.095063882
A_17_P15904111	PAPOLB	POLY(A) POLYMERASE BETA (TESTIS SPECIFIC)	1.914460401	7.00E-06	0.18029229
A_17_P11786323	FLJ20105	EXCISION REPAIR CROSS-COMPLEMENTING RODENT REPAIR DEFICIENCY, COMPLEMENTATION GROUP 6-LIKE	1.292523876	2.39E-05	0.201939116
A_17_P17098716	DOHH	DEOXYHYPUSINE HYDROXYLASE/MONOOXYGENASE	1.06426125	0.000115455	0.28175608
A_17_P17398222	MST4	SERINE/THREONINE PROTEIN KINASE MST4	0.866988397	0.000125249	0.28175608
A_17_P16418713	TMEM41B	TRANSMEMBRANE PROTEIN 41B	0.989137045	5.36E-05	0.28175608
A_17_P11917076	ZBTB33	ZINC FINGER AND BTB DOMAIN CONTAINING 33	1.205463292	4.19E-05	0.28175608
A_17_P11741805	HDAC6	HISTONE DEACETYLASE 6	1.5560175	5.84E-05	0.28175608
A_17_P12025810	GPR50	G PROTEIN-COUPLED RECEPTOR 50	1.117375147	9.61E-05	0.28175608
A_17_P11742138	SLC35A2	SOLUTE CARRIER FAMILY 35 (UDP-GALACTOSE TRANSPORTER), MEMBER A2	1.147909957	7.17E-05	0.28175608
A_17_P02558357	KALRN	KALIRIN, RHOGEF KINASE	1.404796523	4.25E-05	0.28175608
A_17_P15762951	TLX3	T-CELL LEUKEMIA HOMEOBOX 3	1.271719598	0.000181982	0.288280835
A_17_P07596645	CHID1	CHITINASE DOMAIN CONTAINING 1	1.304712863	0.000172843	0.288280835
A_17_P11783592	ZMYM3	ZINC FINGER, MYM-TYPE 3	1.717826461	0.000216932	0.288280835
A_17_P15255998	SMYD5	SMYD FAMILY MEMBER 5	0.858111644	0.000184896	0.288280835
A_17_P17330083	GK	GLYCEROL KINASE	1.01071315	0.000202157	0.288280835
A_17_P16174413	RUSC2	RUN AND SH3 DOMAIN CONTAINING 2	1.338861019	0.000217854	0.288280835
A_17_P01796227	COQ10B	COENZYME Q10 HOMOLOG B (YEAST)	1.480267127	0.000206888	0.288280835
A_17_P15876898	TFB1M	TRANSCRIPTION FACTOR B1, MITOCHONDRIAL	1.166919557	0.000243457	0.293396136
A_17_P11858088	MORF4L2	MORTALITY FACTOR 4 LIKE 2	0.947764213	0.000288673	0.312645983
