Accession ID	Gene name	Fold change	P
AA683041	Neuronal pentraxin II	12	0.011
AA670438	Ubiquitin carboxyl-terminal esterase L1	10.1	0.0052
H24007	KIAA1878 protein	9.8	0.004
AA129861	KIAA1878 protein	9.4	0.0051
AA019748	Aryl-hydrocarbon receptor nuclear translocator 2	6.3	0.0052
AA670382	H.sapiens mRNA for 3UTR of unknown protein	5.5	0.017
N21633	ESTs	5.3	0.016
AA435948	Heat shock 40kD protein 1	5	0.023
AA454215	NDRG family, member 4	5	0.016
AA775957	ATPase, Na+/K+ transporting, alpha 3 polypeptide	4.8	0.017
AA137072	ESTs	4.8	0.0052
N50428	Hypothetical protein FLJ10582	4.4	0.0039
AA463251	Nucleosome assembly protein 1-like 3	4.4	0.0096
N66104	Kinesin family member 5C	4.2	0.01
R74171	KIAA0871 protein	4.1	0.0052
AA099820	ESTs	-4.8	0.024
AA465521	SMC (mouse) homolog, Y chromosome	-5.3	0.017
AA412053	CD9 antigen (p24)	-5.6	0.031
AA431347	GATA-binding protein 4	-5.9	0.0062
T73468	Glutathione S-transferase A2	-5.9	0.018
H06273	Keratin 8	-6.1	0.01
AA872020	Protease, serine, 8 (prostasin)	-6.1	0.0052
W37780	Hypothetical protein	-7	0.0038
T73090	Plasminogen	-7.4	0.028
AA430665	Claudin 4	-7.5	0.033
AA148737	Syndecan 4 (amphiglycan, ryudocan)	-7.6	0.0076
AA598517	Keratin 8	-9.4	0.0052
N62394	Gap junction protein, beta 1, 32kD	-9.6	0.019
N53214	RIBONUCLEASE INHIBITOR-RELATED	-12.3	0.0048
AA458849	Serine protease inhibitor, Kunitz type, 2	-14.1	0.0041
