Category	Genbank	Description	Ave Fold Change
Antioxidant	AI839138	Thioredoxininteractingprotein(Txnip)	5.7
Antioxidant	AW125408	Thioredoxindomaincontaining4(Txndc4)	4.7
Antioxidant	AI851983	Glutathionereductase1(Gsr1)	4.4
Antioxidant	M84147	Alcohol dehydrogenase 5 (Adh5)	3.5
Antioxidant	AI841920	Thioredoxindomaincontaining5(Txndc5)	3.3
Antioxidant	L39879	Ferritinlightchain1(Ftl1)	3.2
Antioxidant	M28723	Peroxiredoxin 3 (Prdx3)	3.0
Antioxidant	AB027565	Thioredoxinreductase1(Txnrd1)	3.0
Antioxidant	U05809	Transketolase(Tkt)	2.8
Antioxidant	AW046552	Thioredoxindomaincontaining14(Txndc14)	2.7
Antioxidant	U85414	Glutamate-cysteineligase,catalytic(Gclc)	2.7
Antioxidant	AF093853	Peroxiredoxin 6 (Prdx6)	2.6
Antioxidant	X52561	Ferritinheavychain(Fth)	2.6
Antioxidant	X57024	Glutamate dehydrogenase (Gdh)	2.5
Antioxidant	D87896	Glutathioneperoxidase4(Gpx4)	2.5
Antioxidant	U51167	Isocitratedehydrogenase2(NADP1)(Idh2)	2.5
Antioxidant	U95053	Glutamate-cysteineligase,modifier(Gclm)	2.5
Detoxification	X78445	CytochromeP450,1b1(Cyp1b1)	18.8
Detoxification	U12961	NAD(P)Hdehydrogenase,quinone1(Nqo1)	7.5
Detoxification	AW120804	Aldehyde dehydrogenase 9, member A1 (Aldh9a1)	4.1
Detoxification	AF033034	Aldehyde dehydrogenase 3, member A1 (Aldh3a1)	4.0
Detoxification	AI835718	Succinate dehydrogenase, subunit A (Sdha)	3.8
Detoxification	AI839814	Aldo-keto reductase family 1, member A4 (Akr1a4)	3.5
Detoxification	AF061017	UDP-glucosedehydrogenase(Ugdh)	3.2
Detoxification	AI324801	Carbonyl reductase (Cbr3)	2.9
Detoxification	AB025408	EsteraseD(EsD)	3.0
Detoxification	M25558	Glycerol-3-phosphate dehydrogenase 1 (Gdc1)	2.8
Detoxification	AB025048	Phosphoribosyl pyrophosphate synthetase 1 (Prps1)	2.8
Detoxification	J04696	GlutathioneS-transferase,mu2(Gstm2)	2.6
Detoxification	AI837493	NADH dehydrogenase ubiquinone Fe-S 2 (Ndufs2)	2.5
Detoxification	AW123273	CytochromeP450,2s1(Cyp2s1)	2.5
Detoxification	J03928	Phosphofructokinase, liver, B-type (Pfkl)	2.5
Detoxification	AI843119	GlutathioneS-transferaseomega1(Gsto1)	2.5
Detoxification	AI835461	Aldehyde dehydrogenase 7, member A1 (Aldh7a1)	2.5
Transcription	U70475	p45NF-E2relatedfactor2(Nfe2l2;Nrf2)	3.9
