GenBank ID	Gene Description
AV138783	GADD45 beta (3 UTR)
D78382	Transducer of ERBB2
X54149	GADD45 beta (cDNA)
V00727	cFOS
U00937	GADD45 alpha
U35623	Myeloid cell leukemia sequence 1
AI547051	CDK4 binding protein p34SEI1
AA615100	NA
AB028272	DnaJ/Hsp40 homolog
AF055638	GADD45 epsilon
AW122337	NA
U20735	JunB
AI645050	NA
AW047583	NA
AI841311	Microtubule associated protein
X68273	CD68 antigen
AI848851	NA
LI5435	Tumor necrosis factor ligand
K02060	Ribosomal protein L32
M32459	NA
AW046273	Electron transfer flavoprotein beta
AF023482	HS1 binding protein
AI850893	Transcription factor IIIA
M32459	NA
AW046181	Serum glucocort regulated kinase
AF091432	Cyclin E2
X51829	Protein phosphatase 1 inhibitor
AI841579	NA
AI851815	NA
AI429868	Ligatin
AW123271	NA
AI840996	Selenoprotein X
X78304	Signal recognition particle 9kD
AW125294	NA
AI847879	NA
U88325	JAK binding protein
AV246189	NA
AI848841	NA
AW122326	Zinc finger protein
AI552922	NA
AI837010	Pumilio Drosophila homolog 2
U58513	Rho kinase ROCK2
AF001797	Glucosidase 1
AF041060	NA
AI836641	NA
AW046963	U6 snRNA associated LSm8
C76063	NA
AI842326	NA
AA981154	NA
AV175719	Develop and different factor 1
AW121826	NA
AI595382	NA
AI852829	MKB leukemia translocation 1
AW120925	GDP mannose pyrophosphorylase B
AI036466	Phosphatidic acid phospholipase A1
AF013490	Protein tyrosine phosphatase MEG2
AI854602	NA
AW048854	NA
X61172	Alpha mannosidase II
AW125510	NA
AW046376	NA
AW048484	NA
AA867123	NA
D76432	Transcription factor 8
AI847650	HT002 protein
AF073523	RAD1 S pombe homolog
AW122332	NA
AW047399	NA
AW123269	Actin binding protein
AI047076	Fidgetin like 1
AA832935	NA
