ORF	[change in] Fold	SEM	Encoded protein	Function	Other Function
W41070	18.2	3.8	DNA-repair protein XP-E	DNA Excision repair	Stress response
AA008244	13.3	1.5	5 -AMP-activated protein kinase (AMPKgamma -1)	Energy homeostasis	Stress response
X54149	13.1	1.1	DNA-damage inducible protein GADD45beta	Growth arrest/DNA damage response	Stress response
X51829	13.1	0.9	GADD34	Growth arrest/DNA damage response	Stress response
AA061016	13.1	0.8	Mitogen and stress-activated protein kinase-2	Growth arrest	Stress response
W30116	13.1	0.6	Casein kinase 1 delta	DNA repair	Stress response
AA061086	12.7	0.5	DNAJ protein homolog (HSP40)	Chaperone	Stress response
AA016411	12.7	0.8	HSP27	Chaperone	Stress response
V00835	12.3	0.5	Metallothionein-I (MT-I)	Oxidative stress induced response	Stress response
U19799	12.3	0.3	Nuclear factor kappaB Inhibitor (IkappaBalpha)	NFkappaB nuclear translocation inhibition	Stress response
U19854	12.3	0.4	Ubiquitin-conjugating enzyme (E2)	Ubiquitin-dependent pathway and stress	Stress response
X58876	12.1	0.3	MDM2	Oncogene	Stress response
AA020101	114.3	5.2	Peanut-like protein 1	Cell cycle control	Cell cycle/growth control
X66032	15	2.1	G2/mitotic-specific cyclin B2	Cell cycle control	Cell cycle/growth control
U06924	14.9	3.5	Interleukin-6 receptor (STAT3)	Cell signaling/oncogenesis	Cell cycle/growth control
U00454	13.7	0.6	Homeobox protein CDX-2	Intestinal development/tumor-suppressor	Cell cycle/growth control
U77630	13.7	2.3	Adrenomedullin	Peptide hormone/tumor growth	Cell cycle/growth control
X06762	13.3	1.1	Homeobox protein HOX-B7	Development/tumor progression	Cell cycle/growth control
U27323	12.9	0.7	M-phase inducer phosphatase 2	Cell cycle control	Cell cycle/growth control
AA103691	12.8	0.6	Cell division control protein 2	Cell cycle control	Cell cycle/growth control
AA000276	12.8	0.3	Dual specificity protein phosphatase PAC-1	Cell cycle control	Cell cycle/growth control
W49108	12.8	0.5	Insulin-like growth factor 1 receptor	Tumor progression	Cell cycle/growth control
W16389	12.6	0.5	TGF-beta1-BP-1	Growth suppressor	Cell cycle/growth control
D63902	12.6	0.4	Estrogen-responsive finger protein	Hormone response/tumor growth	Cell cycle/growth control
W82181	12.5	0.4	Protein phosphatase inhibitor 2 (IPP-2)	Cell cycle control	Cell cycle/growth control
AA080176	12.5	0.8	Phospholipase C (PLC-III)	Cell signaling	Cell cycle/growth control
U22399	12.4	0.6	Cyclin-dependent kinase inhibitor 1C	Cell cycle control	Cell cycle/growth control
M34094	12.4	0.9	Midkine homolog	Growth factor	Cell cycle/growth control
U37465	12.3	0.4	Protein-tyrosine-phosphatase IA-2	Cell cycle control	Cell cycle/growth control
U01841	12.3	0.4	Peroxisome proliferator activated receptor gamma	Nuclear steroid receptor/tumor development	Cell cycle/growth control
W64759	12.2	0.3	Serine/Threonine protein phosphatase 2A	Cell cycle control	Cell cycle/growth control
U21103	12.1	0.7	STAT5A	Cell signaling	Cell cycle/growth control
X82457	12.1	0.5	MLN 64 protein	Steroid synthesis/tumor development	Cell cycle/growth control
AA003323	17.9	5	Filamin 1 (actin-binding protein-280)	Cytoskeletal protein	Angiogenesis/cell adhesion
U43298	14.7	1.5	Laminin  beta-1 chain	Membrane attachment	Angiogenesis/cell adhesion
M28730	14.1	1.4	Tubulin beta chain	Cytoskeletal protein	Angiogenesis/cell adhesion
U43836	13.9	0.7	Vascular endothelial growth factor beta	Angiogenesis	Angiogenesis/cell adhesion
M90365	13.6	1.9	Junction plakoglobin	Cell adhesion	Angiogenesis/cell adhesion
W34697	13.2	0.9	Myosin light chain 1	Cytoskeletal protein	Angiogenesis/cell adhesion
U39200	12.8	1.5	Arachidonate 12-LOX	Tumor metastasis	Angiogenesis/cell adhesion
W07963	12.7	0.8	RNA-binding protein FUS/TLS	Angiogenesis	Angiogenesis/cell adhesion
X03491	12.6	1	Keratin (cytokeratin 4)	12-LOX trafficking	Angiogenesis/cell adhesion
U60150	12.5	1.1	Associated membrane protein 2	Organelle specific trafficking	Angiogenesis/cell adhesion
U18343	12.1	0.3	Tyrosine-protein kinase receptor RSE	Cell adhesion	Angiogenesis/cell adhesion
