Gene Symbol	Gene	Function
	chondroitin sulfate proteoglycan 2 (versican)	Cell adhesion molecules/ECM-related
	fibrinogen-like 2	Cell adhesion molecules/ECM-related
	fibromodulin	Cell adhesion molecules/ECM-related
	follistatin-like 1	Cell adhesion molecules/ECM-related
	lumican	Cell adhesion molecules/ECM-related
	mannosidase, alpha, class 2B, member 1	Cell adhesion molecules/ECM-related
	matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)	Cell adhesion molecules/ECM-related
	osteoblast specific factor 2 (fasciclin I-like)	Cell adhesion molecules/ECM-related
	secreted protein, acidic, cysteine-rich (osteonectin)	Cell adhesion molecules/ECM-related
	thrombospondin 1	Cell adhesion molecules/ECM-related
	thrombospondin 2	Cell adhesion molecules/ECM-related
	Thy-1 cell surface antigen	Cell adhesion molecules/ECM-related
	transmembrane protein 1	Cell adhesion molecules/ECM-related
	vascular cell adhesion molecule 1	Cell adhesion molecules/ECM-related
	coronin, actin-binding protein, 1A	Cell movement
Cdc42GEF6	Rac/Cdc42 guanine exchange factor (GEF) 6	Cell movement
	ectonucleoside triphosphate diphosphohydrolase 1	Cell-Cell communication
	synaptotagmin 5	Cell-Cell communication
	zyxin	Cell-Cell communication
Mip-1b	small inducible cytokine A4 (homologous to mouse Mip-1b)	Chemokines
RANTES	small inducible cytokine A5 (RANTES)	Chemokines
IP10	small inducible cytokine subfamily B (Cys-X-Cys), member 10 (IP-10)	Chemokines
	adenosine deaminase	Leukocyte-related
	allograft inflammatory factor 1	Leukocyte-related
CD14	CD14 antigen	Leukocyte-related
CD163	CD163 antigen	Leukocyte-related
CD163	CD163 antigen	Leukocyte-related
CD2	CD2 antigen (p50), sheep red blood cell receptor	Leukocyte-related
CD38	CD38 antigen (p45)	Leukocyte-related
CD3Z	CD3Z antigen, zeta polypeptide (TiT3 complex)	Leukocyte-related
CD53	CD53 antigen	Leukocyte-related
CXCR4	chemokine (C-X-C motif), receptor 4 (fusin)	Leukocyte-related
	complement component 1, r subcomponent	Leukocyte-related
	complement component 1, s subcomponent	Leukocyte-related
	complement component 3a receptor 1	Leukocyte-related
CD32	Fc fragment of IgG, low-affinity IIb, receptor for (CD32)	Leukocyte-related
FYB120	FYN-binding protein (FYB-120/130)	Leukocyte-related
	granulysin	Leukocyte-related
	granzyme B (granzyme 2, cytotoxic) T-lymphocyte-associated serine esterase 1)	Leukocyte-related
I114	H. sapiens mRNA for rearranged Igkappa light chain variable region (I.114)	Leukocyte-related
	Human anti-streptococcal/anti-myosin immunoglobulin lambda light chain variable region mRNA, partial cds	Leukocyte-related
	Human T-cell receptor active  alpha-chain mRNA from JM cell line, complete cds	Leukocyte-related
	immunoglobulin heavy constant gamma3 (G3m marker)	Leukocyte-related
	immunoglobulin heavy constant gamma3 (G3m marker)	Leukocyte-related
	immunoglobulin heavy constant  mu	Leukocyte-related
	immunoglobulin heavy constant  mu	Leukocyte-related
	immunoglobulin kappa constant	Leukocyte-related
IAPR3	baculoviral IAP repeat-containing 3	Oncogenes/Apoptosis inhibitor
PIM1	pim-1 oncogene	Oncogenes/Apoptosis inhibitor
PIM2	pim-2 oncogene	Oncogenes/Apoptosis inhibitor
	v-rel avian reticuloendotheliosis viral oncogene homolog B (nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	Oncogenes/Apoptosis inhibitor
C1	host cell factor C1 (VP16-accessory protein)	Transcription factor
	POU domain, class 2, associating factor 1	Transcription factor
	growth arrest-specific 1	Tumor suppressor
	EST	Unknown
	glioma pathogenesis-related protein	Unknown
KIAA0053	KIAA0053 gene product	Unknown
KIAA0246	KIAA0246 protein	Unknown
	singed (Drosophila)-like (sea urchin fascin homolog like)	Unknown
	TRAM-like protein	Unknown
	guanine nucleotide binding protein (G protein),  alpha inhibiting activity polypeptide 2	Signal transduction
	guanylate-binding protein 1, IFN-inducible, 67kD	Signal transduction
	POU domain, class 2, transcription factor 2	Signal transduction
	protein tyrosine phosphatase, receptor type, C	Signal transduction
P2YG6	pyrimidinergic receptor P2Y, G-protein coupled, 6	Signal transduction
	regulator of G-protein signaling 1	Signal transduction
	signal transducer and activator of transcription 1, 91kD	Signal transduction
	actin,  alpha2, smooth muscle, aorta	Cytostructural
	cadherin 11, type 2, OB-cadherin (osteoblast)	Cytostructural
	caldesmon 1	Cytostructural
	collagen, type I,  alpha1	Cytostructural
	collagen, type I,  alpha2	Cytostructural
	collagen, type III,  alpha1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	Cytostructural
	collagen, type IV,  alpha1	Cytostructural
	collagen, type V,  alpha2	Cytostructural
	collagen, type VI,  alpha1	Cytostructural
	collagen, type VI,  alpha2	Cytostructural
	collagen, type VI,  alpha3	Cytostructural
	collagen, type XV,  alpha1	Cytostructural
	collagen, type XVI,  alpha1	Cytostructural
	enigma (LIM domain protein)	Cytostructural
	glycophorin C (Gerbich blood group)	Cytostructural
CD51	integrin,  alpha V (vitronectin receptor,  alpha polypeptide, antigen CD51)	Cytostructural
CD29	integrin,  beta1 (fibronectin receptor,  beta polypeptide, antigen CD29 includes MDF2, MSK12)	Cytostructural
LAMB2	laminin, gamma1 (formerly LAMB2)	Cytostructural
	lysyl oxidase-like 1	Cytostructural
	microfibrillar-associated protein 2	Cytostructural
	small proline-rich protein 2A	Cytostructural
	tryptophanyl-tRNA synthetase	Cytostructural
	immunoglobulin lambda locus	Cytostructural
	interleukin 10 receptor,  alpha	Cytostructural
	interleukin 2 receptor,  beta	Cytostructural
	interleukin 7 receptor	Cytostructural
	lymphocyte cytosolic protein 1 (L-plastin)	Cytostructural
	lymphocyte cytosolic protein 1 (L-plastin)	Cytostructural
SH2	lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD)	Cytostructural
TNF3	lymphotoxin  beta (TNF superfamily, member 3)	Cytostructural
	major histocompatibility complex, class I, F	Cytostructural
PA28B	proteasome (prosome, macropain) activator subunit 2 (PA28beta)	Cytostructural
	protein tyrosine phosphatase, receptor type, C-associated protein	Cytostructural
	putative chemokine receptor; GTP-binding protein	Cytostructural
	ribonuclease, RNase A family, k6	Cytostructural
	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	Cytostructural
	T-cell receptor  beta locus	Cytostructural
	tumor necrosis factor receptor superfamily, member 1B	Cytostructural
	connective tissue growth factor	Growth factors/Cell proliferation/Cell differentiation
	endothelial cell growth factor 1 (platelet-derived)	Growth factors/Cell proliferation/Cell differentiation
	inhibin,  beta A (activin A, activin AB alpha polypeptide)	Growth factors/Cell proliferation/Cell differentiation
	platelet-derived growth factor receptor, alpha polypeptide	Growth factors/Cell proliferation/Cell differentiation
	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	Growth factors/Cell proliferation/Cell differentiation
	serine (or cysteine) proteinase inhibitor, clade F ( alpha-2 antiplasmin, pigment epithelium derived factor), member 1	Growth factors/Cell proliferation/Cell differentiation
	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1	Growth factors/Cell proliferation/Cell differentiation
	RNA binding motif, single-stranded interacting protein 1	Cell cycle-related
	signal transducer and activator of transcription 4	Cell cycle-related
	Src-like-adapter	Cell cycle-related
	TAR (HIV) RNA-binding protein 2	Cell cycle-related
	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	Cell cycle-related
	zinc finger protein 274	Cell cycle-related
	acid phosphatase 2, lysosomal	Metabolism/Protein synthesis
	aconitase 2, mitochondrial	Metabolism/Protein synthesis
	butyrophilin, subfamily 3, member A1	Metabolism/Protein synthesis
	cathepsin B	Metabolism/Protein synthesis
	cathepsin L	Metabolism/Protein synthesis
	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)	Metabolism/Protein synthesis
	dihydropyrimidine dehydrogenase	Metabolism/Protein synthesis
	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	Metabolism/Protein synthesis
	isoleucine-tRNA synthetase	Metabolism/Protein synthesis
	nicotinamide N-methyltransferase	Metabolism/Protein synthesis
DECD	nuclear RNA helicase, DECD variant of DEAD box family	Metabolism/Protein synthesis
	phospholipid transfer protein	Metabolism/Protein synthesis
	phosphoribosyl pyrophosphate synthetase 2	Metabolism/Protein synthesis
	pleckstrin	Metabolism/Protein synthesis
	pleckstrin homology, Sec7 and coiled/coil domains, binding protein	Metabolism/Protein synthesis
	signal sequence receptor, alpha (translocon-associated protein alpha)	Metabolism/Protein synthesis
	solute carrier family 5 (sodium iodide symporter), member 5	Metabolism/Protein synthesis
	superoxide dismutase 2, mitochondrial	Metabolism/Protein synthesis
	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	Metabolism/Protein synthesis
